Reference	Prediction	Ref_words	Pred_words	Diff_num_words	Lev_distance	Lev_distance_words	Average_lev_dist_words
mmm… ʁo˧qʰwɤ˩ le˧pv̩˩kʰɯ˩	mmm… ʁo˧qʰwɤ˩ le˧pv̩˩kʰɯ˩	['mmm…', 'ʁo˧qʰwɤ˩', 'le˧pv̩˩kʰɯ˩']	['mmm…', 'ʁo˧qʰwɤ˩', 'le˧pv̩˩kʰɯ˩']	0	1.0	[1.0, 1.0, 1.0]	1.0
tʰi˩˥ njæ˧sɯ˩kv̩˩ hĩ˧ ɲi˧tsi˧kv̩˧ɲi˥ ə˩gi˩ lɑ˧tʰɑ˧mi˧ɻ̍˧pi˥	tʰi˩˥ njæ˧sɯ˩kv̩˩ hĩ˧ ɲi˧tsi˧kv̩˧ ɲi˥ ə˩gi˩ lɑ˧tʰɑ˧mi˧ɻ̍˧pi˥	['tʰi˩˥', 'njæ˧sɯ˩kv̩˩', 'hĩ˧', 'ɲi˧tsi˧kv̩˧ɲi˥', 'ə˩gi˩', 'lɑ˧tʰɑ˧mi˧ɻ̍˧pi˥']	['tʰi˩˥', 'njæ˧sɯ˩kv̩˩', 'hĩ˧', 'ɲi˧tsi˧kv̩˧', 'ɲi˥', 'ə˩gi˩', 'lɑ˧tʰɑ˧mi˧ɻ̍˧pi˥']	1	0.9917355371900827	[1.0, 1.0, 1.0, 0.88, 0.25, 0.09523809523809523]	0.7042063492063492
tʰv̩˧v̩˧ ʂɯ˧se˥kwɤ˩tɕɯ˩lɑ˩ kʰv̩˧ʈʂʰɯ˧ ɲi˧kʰv̩˧so˧kʰv̩˥ le˧ʂɯ˧ze˧ le˧ʂe˧mɤ˧ɖɯ˧ ɲi˧kʰv̩˧so˧kʰv̩˥ le˧ʂɯ˧ze˧ le˧ʂe˧mɤ˧ɖɯ˧ ʈʂʰɯ˧ tsʰe˩kʰv̩˩hĩ˥ ɖɯ˧v̩˧ɳɯ˧ʈʂʰɯ˧ ʈʂʰɯ˧lɑ˩ ɑ˩ʁo˧ tʰi˧pʰæ˧dʑo˥ hɑ˧ tʰi˧ki˧dʑo˩ gɯ˩ʝi˥ tsʰe˩kʰv̩˩ze˩ gv̩˩ɳɯ˥ ʂɯ˧	ʈʂʰɯ˧v̩˧ ɖɯ˧sɑ˥ kwɤ˩tɕɯ˩ kʰv̩˧ʈʂʰɯ˧ ɲi˧kʰv̩˥ so˩kʰv̩˩˥ le˧ʂɯ˧ze˧ ɲi˧kʰv̩˥ so˩kʰv̩˩˥ le˧ʂɯ˧ze˧ ʈʂʰɯ˧ tsʰe˩kʰv̩˩hĩ˥ ɖɯ˧v̩˧ɳɯ˧ ʈʂʰɯ˧ ʈʂʰɯ˧lɑ˩ ɑ˩ʁo˧ tʰi˧pʰæ˧dʑo˥ hɑ˧ tʰi˧ki˧dʑo˥ gɯ˩ʝi˥ tsʰe˩kʰv̩˩˥ gv̩˩ɳɯ˥ ʂɯ˧	['tʰv̩˧v̩˧', 'ʂɯ˧se˥kwɤ˩tɕɯ˩lɑ˩', 'kʰv̩˧ʈʂʰɯ˧', 'ɲi˧kʰv̩˧so˧kʰv̩˥', 'le˧ʂɯ˧ze˧', 'le˧ʂe˧mɤ˧ɖɯ˧', 'ɲi˧kʰv̩˧so˧kʰv̩˥', 'le˧ʂɯ˧ze˧', 'le˧ʂe˧mɤ˧ɖɯ˧', 'ʈʂʰɯ˧', 'tsʰe˩kʰv̩˩hĩ˥', 'ɖɯ˧v̩˧ɳɯ˧ʈʂʰɯ˧', 'ʈʂʰɯ˧lɑ˩', 'ɑ˩ʁo˧', 'tʰi˧pʰæ˧dʑo˥', 'hɑ˧', 'tʰi˧ki˧dʑo˩', 'gɯ˩ʝi˥', 'tsʰe˩kʰv̩˩ze˩', 'gv̩˩ɳɯ˥', 'ʂɯ˧']	['ʈʂʰɯ˧v̩˧', 'ɖɯ˧sɑ˥', 'kwɤ˩tɕɯ˩', 'kʰv̩˧ʈʂʰɯ˧', 'ɲi˧kʰv̩˥', 'so˩kʰv̩˩˥', 'le˧ʂɯ˧ze˧', 'ɲi˧kʰv̩˥', 'so˩kʰv̩˩˥', 'le˧ʂɯ˧ze˧', 'ʈʂʰɯ˧', 'tsʰe˩kʰv̩˩hĩ˥', 'ɖɯ˧v̩˧ɳɯ˧', 'ʈʂʰɯ˧', 'ʈʂʰɯ˧lɑ˩', 'ɑ˩ʁo˧', 'tʰi˧pʰæ˧dʑo˥', 'hɑ˧', 'tʰi˧ki˧dʑo˥', 'gɯ˩ʝi˥', 'tsʰe˩kʰv̩˩˥', 'gv̩˩ɳɯ˥', 'ʂɯ˧']	2	0.864367816091954	[0.625, 0.34782608695652173, 0.2222222222222222, 0.46153846153846156, 0.11764705882352941, 0.0, 0.24, 0.11764705882352941, 0.0, 0.42857142857142855, 0.10526315789473684, 0.14285714285714285, 0.23529411764705882, 0.2, 0.2, 0.5, 0.6956521739130435, 0.0, 0.25, 0.46153846153846156, 0.0]	0.2548122557517208
ə˧mi˧ dzɑ˧hĩ˧ki˧ ə˧sɯ˩kv̩˩ tɑ˧ho˧bi˧ze˧ pi˧ dʑɤ˩hĩ˧ki˧ tɑ˧ho˧bi˧ze˧ pi˧	ə˧mi˧ dzɑ˧hĩ˧ki˧ ə˧sɯ˩kv̩˩ tɑ˧ho˧ bi˩ze˩ pi˧ dʑɤ˩hĩ˧ ki˥ tɑ˧ho˧ bi˧zo˧ʝi˧	['ə˧mi˧', 'dzɑ˧hĩ˧ki˧', 'ə˧sɯ˩kv̩˩', 'tɑ˧ho˧bi˧ze˧', 'pi˧', 'dʑɤ˩hĩ˧ki˧', 'tɑ˧ho˧bi˧ze˧', 'pi˧']	['ə˧mi˧', 'dzɑ˧hĩ˧ki˧', 'ə˧sɯ˩kv̩˩', 'tɑ˧ho˧', 'bi˩ze˩', 'pi˧', 'dʑɤ˩hĩ˧', 'ki˥', 'tɑ˧ho˧', 'bi˧zo˧ʝi˧']	2	0.9054054054054054	[1.0, 1.0, 1.0, 0.6666666666666666, 0.2222222222222222, 0.2857142857142857, 0.3, 0.3333333333333333]	0.6009920634920635
qwæ˩ʈʂæ˩qo˥ sɑ˧ tʰi˧ʈʰæ˧˥ ʈʂʰ ɖɯ˧kʰwɤ˥ɖɯ˩kʰwɤ˩ le˧kʰi˥ ʈʂʰɯ˧ne˧ʝi˥ le˧ɲi˩	qwæ˩ɖʐæ˩qo˥ sɑ˧ tʰi˧ʈʰæ˧˥ ɖɯ˧kʰwɤ˥ɖɯ˩kʰwɤ˩ le˧kʰi˧˥ ʈʂʰɯ˧ne˧ʝi˥ le˧ɲi˩	['qwæ˩ʈʂæ˩qo˥', 'sɑ˧', 'tʰi˧ʈʰæ˧˥', 'ʈʂʰ', 'ɖɯ˧kʰwɤ˥ɖɯ˩kʰwɤ˩', 'le˧kʰi˥', 'ʈʂʰɯ˧ne˧ʝi˥', 'le˧ɲi˩']	['qwæ˩ɖʐæ˩qo˥', 'sɑ˧', 'tʰi˧ʈʰæ˧˥', 'ɖɯ˧kʰwɤ˥ɖɯ˩kʰwɤ˩', 'le˧kʰi˧˥', 'ʈʂʰɯ˧ne˧ʝi˥', 'le˧ɲi˩']	-1	0.9370629370629371	[0.8181818181818182, 1.0, 1.0, 0.10526315789473684, 0.3333333333333333, 0.4444444444444444, 0.35294117647058826, 0.0]	0.5067704912906151
njæ˧ɻæ˩dʑo˩ kʰv̩˩mi˩pi˥hĩ˩dʑo˩ ɑ˩ʁo˥ ʈʰææ̃˧ kʰv̩˧ ʂe˧ le˧ʁ hĩ˧ɻæ˥ ʝi˧kʰv̩˥ ɑ˩ʁo˥ kʰv̩˧ ʂe˧ tɕɤ˧kʰɯ˥ mɤ˧kv̩˧˥	njæ˧ɻæ˩dʑo˩ kʰv̩˩mi˩ki˥dʑo˩ ɑ˩ʁo˧ ʈʰææ̃˧ kʰv̩˧ʂe˧ le˧hæ̃˧˥ ʝi˧kʰv̩˥ ɑ˩ʁo˧ kʰv̩˧ʂe˧ tɕɯ˩kʰɯ˩ mɤ˧kv̩˧˥	['njæ˧ɻæ˩dʑo˩', 'kʰv̩˩mi˩pi˥hĩ˩dʑo˩', 'ɑ˩ʁo˥', 'ʈʰææ̃˧', 'kʰv̩˧', 'ʂe˧', 'le˧ʁ', 'hĩ˧ɻæ˥', 'ʝi˧kʰv̩˥', 'ɑ˩ʁo˥', 'kʰv̩˧', 'ʂe˧', 'tɕɤ˧kʰɯ˥', 'mɤ˧kv̩˧˥']	['njæ˧ɻæ˩dʑo˩', 'kʰv̩˩mi˩ki˥dʑo˩', 'ɑ˩ʁo˧', 'ʈʰææ̃˧', 'kʰv̩˧ʂe˧', 'le˧hæ̃˧˥', 'ʝi˧kʰv̩˥', 'ɑ˩ʁo˧', 'kʰv̩˧ʂe˧', 'tɕɯ˩kʰɯ˩', 'mɤ˧kv̩˧˥']	-3	0.8857142857142857	[1.0, 0.8235294117647058, 0.8, 1.0, 0.7692307692307693, 0.36363636363636365, 0.16666666666666666, 0.16666666666666666, 0.5, 0.15384615384615385, 0.6153846153846154, 0.0, 0.0, 0.0]	0.4542114747997101
ʈʂʰɯ˧ne˧ʝi˥ ɖɯ˧hɑ̃˧˥ ɖɯ˧hɑ̃˧˥ ɖɯ˧hɑ̃˧ɳɯ˥ tʰi˩˥ bi˧ lo˧gv̩˩ so˩hɑ̃˩ hɑ̃˥kv̩˩tsɯ˩ mv̩˩	ʈʂʰɯ˧ne˧ʝi˥ ɖɯ˧hɑ̃˧ ɖɯ˧hɑ̃˧ ɖɯ˧hɑ̃˧ɳɯ˥ tʰi˩˥ bi˧ lo˧gv̩˩ so˩hɑ̃˩ hõ˧kv̩˥ tɕɯ˩ mv̩˩	['ʈʂʰɯ˧ne˧ʝi˥', 'ɖɯ˧hɑ̃˧˥', 'ɖɯ˧hɑ̃˧˥', 'ɖɯ˧hɑ̃˧ɳɯ˥', 'tʰi˩˥', 'bi˧', 'lo˧gv̩˩', 'so˩hɑ̃˩', 'hɑ̃˥kv̩˩tsɯ˩', 'mv̩˩']	['ʈʂʰɯ˧ne˧ʝi˥', 'ɖɯ˧hɑ̃˧', 'ɖɯ˧hɑ̃˧', 'ɖɯ˧hɑ̃˧ɳɯ˥', 'tʰi˩˥', 'bi˧', 'lo˧gv̩˩', 'so˩hɑ̃˩', 'hõ˧kv̩˥', 'tɕɯ˩', 'mv̩˩']	1	0.9341317365269461	[1.0, 0.9333333333333333, 0.9333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.25]	0.8616666666666667
ə˧tso˧ ɲi˩kv̩˩hɤ˩ pi˧zo˩	ə˧tso˧ ɲi˩kv̩˩hɯ˩ pi˧zo˩	['ə˧tso˧', 'ɲi˩kv̩˩hɤ˩', 'pi˧zo˩']	['ə˧tso˧', 'ɲi˩kv̩˩hɯ˩', 'pi˧zo˩']	0	0.9583333333333334	[1.0, 0.9, 1.0]	0.9666666666666667
zo˩no˧ne˩ʝi˩zo˩ ə˧tso˧ə˧tso˥ ɖɯ˧qʰwɤ˧ɖɯ˥qʰwɤ˩ pi˧zo˩ ɖɯ˧ʈʂo˩ɖɯ˩ʈʂo˩ dʑo˧mɤ˧kv̩˧˥	zo˩no˧ni˩zo˩ ə˧tso˧ə˧tso˥ ɖɯ˧qʰwɤ˧ ɖɯ˧qʰwɤ˧ pi˥zo˩ ɖɯ˧ʈʂwɤ˧ɖɯ˧ʈʂwɤ˧ dʑo˧mɤ˧kv̩˧	['zo˩no˧ne˩ʝi˩zo˩', 'ə˧tso˧ə˧tso˥', 'ɖɯ˧qʰwɤ˧ɖɯ˥qʰwɤ˩', 'pi˧zo˩', 'ɖɯ˧ʈʂo˩ɖɯ˩ʈʂo˩', 'dʑo˧mɤ˧kv̩˧˥']	['zo˩no˧ni˩zo˩', 'ə˧tso˧ə˧tso˥', 'ɖɯ˧qʰwɤ˧', 'ɖɯ˧qʰwɤ˧', 'pi˥zo˩', 'ɖɯ˧ʈʂwɤ˧ɖɯ˧ʈʂwɤ˧', 'dʑo˧mɤ˧kv̩˧']	1	0.8553459119496856	[0.8888888888888888, 1.0, 0.6666666666666666, 0.14285714285714285, 0.2, 0.2857142857142857]	0.5306878306878307
le˧dzɯ˥zo˩ tʰi˩˥ ʈʂʰɯ˧ne˧ʝi˥ le˧ʈʰæ˧˥ dʑo˩ mɤ˩ʈʂʰɯ˥ tʰi˧di˩ le˧tsʰɯ˩ tsɯ˩ mv̩˩	le˧dzɯ˥ tʰi˩˥ ʈʂʰɯ˧ne˧ʝi˥ le˧ʈʰæ˧˥ dʑo˩ mo˧ʈʂʰɯ˥ tʰi˧di˩ le˧tsɑ˩tsɑ˩ mv̩˩	['le˧dzɯ˥zo˩', 'tʰi˩˥', 'ʈʂʰɯ˧ne˧ʝi˥', 'le˧ʈʰæ˧˥', 'dʑo˩', 'mɤ˩ʈʂʰɯ˥', 'tʰi˧di˩', 'le˧tsʰɯ˩', 'tsɯ˩', 'mv̩˩']	['le˧dzɯ˥', 'tʰi˩˥', 'ʈʂʰɯ˧ne˧ʝi˥', 'le˧ʈʰæ˧˥', 'dʑo˩', 'mo˧ʈʂʰɯ˥', 'tʰi˧di˩', 'le˧tsɑ˩tsɑ˩', 'mv̩˩']	-1	0.9139072847682119	[0.8235294117647058, 1.0, 1.0, 1.0, 1.0, 0.75, 1.0, 0.631578947368421, 0.25, 0.0]	0.7455108359133127
tʰi˩˥ dɑ˧pɤ˧ ʈʂʰɯ˧v̩˧ɳɯ˩ ɖɯ˧ʑi˩ɖɯ˩ʑi˩ mv̩˧ ɻwæ˧kv̩˩ze˩	tʰi˩˥ dɑ˧pɤ˧ ʈʂʰɯ˧v̩˧ɳɯ˩ ɖɯ˧ʑi˩ ɖɯ˧ʑi˩ɻ̍˩ mv̩˩ ɻwæ˧kv̩˩ze˩mæ˩	['tʰi˩˥', 'dɑ˧pɤ˧', 'ʈʂʰɯ˧v̩˧ɳɯ˩', 'ɖɯ˧ʑi˩ɖɯ˩ʑi˩', 'mv̩˧', 'ɻwæ˧kv̩˩ze˩']	['tʰi˩˥', 'dɑ˧pɤ˧', 'ʈʂʰɯ˧v̩˧ɳɯ˩', 'ɖɯ˧ʑi˩', 'ɖɯ˧ʑi˩ɻ̍˩', 'mv̩˩', 'ɻwæ˧kv̩˩ze˩mæ˩']	1	0.9043478260869565	[1.0, 1.0, 1.0, 0.6666666666666666, 0.15384615384615385, 0.4]	0.7034188034188034
