Reference	Prediction
ɕɤrzaŋ nɯra chɯβzunɯ tɕe nɯra 	ɕɤrzaŋ nɯra chɯβzunɯ tɕe nɯra
kɯɤmtɕoʁ ɯstu nɯ pɯkɤʁndzɤr tɕe 	ɯkɯɤmtɕoʁ tunɯ pɯkɤʁndzɤr tɕe
akɤnɯzdɯɣ ri kɯtu me tɕe	kɤnɯzdɯɣ ri kɯtu metɕ
cai ɯjwaʁ ɯtaʁ ri ɲɯβze ɲɯŋu	ɣɤʑu qhe ʑɯrɯʑɤri
tɕendɤre ɯŋga maka kɯtu maŋe nɯ tɯŋga toŋga maŋe nɯ nɯra toti	tɕendɤre ɯŋga maka kɯtu maŋe nɯtɯrga toŋga maŋe nɯnɯra toti
tɯrme ɣɯ tɯŋgo ɲɯŋu tɕe	tɯrme ɣɯ tuŋgo ɲɯŋutɕe
tɕe toŋ ɲɯfse tɕe núndʐa toŋphɯl tukɯti ŋu	tɕe toŋ ɲɯfse tɕe núndʐa toŋphɯl tukɯti
wuma ʑo mɯ́jnɯɣɯ mɯ́jnɯɣɯjpa tɕe	wumaʑo mɯ́jnɯɣɯjpa ɣɯjpa tɕe
rtazga nɯ pjɯ́wɣta ŋu	rganɯ pjɯ́wɣta ŋu
tɕe ma nɤkinɯ ɯru nɯnɯ fsapaʁndza pe	tɕema nɤkinɯ ɯru nɯnɯ fsapaʁndza pe
pɯnɯcinɯ ʑo tɕe nɯ kunaχthɤβ tɕe	pjɯnɯjinɯ ʑo tɕetɕe nɯku athɤr tɕe
tɤrɤku ra ɣɯmɯrki ra ma me	tɤrɤku ra kɯmɯrkɯ ra mae
tɕe li kɯnɯkho joɕe	tɕeli kɯnɯkho joɕe
iɕqha tɤtɕɯ tɯlɤt nɯnɯ nɤkinɯ kɯmaʁ li kɯrɤtsɣe ra nɯrca joɕe tɕe 	tɤtɕɯ tɯlɤt nɯnɯ nɤkinɯ kɯmaʁ li kɯrɤtsɣe ra nɯrca joɕe tɕe
ma nɯnɯ zrɯɣ nɯ li saʁnɤt	ma nɯnɯ zrɯɣ nɯɣli saʁnɤt
nɯnɯ nɯɬoʁ ʑo tɕe tɕe tukɯnɯna pjɤjɤɣ ɲɯŋu	nɯnɯ nɯɬoʁ ʑo tɕetɕe tukɯnɯna pjɤjɤɣ ɲɯŋu
tuʁndi pjɯsat nɯra ɲɯŋgrɤl tɕe tɕe	tuʁndi pjɯsat nɯra ɲɯŋgrɤl tɕetɕe
si nɯ apɯndzur qhe 	si nɯkɯmdza qhi
longtou ɯpɤrthɤβ ri nɯro ki ʑo tustunɯ ra	ʁloŋthɤr pɤrthɤβ ri nɯro ki ʑo tustunɯ ra
sɯŋgɯ ri kurɤʑi ɕti tɕe 	sɯŋgɯ ri kurɤʑiti tɕe
χsɯɣjɤn tɤatɕhɯza tɕe tɕendɤre nɯ spjaŋkɯ ɲɯβzea ŋu tɕe	χsɯɣjɤn tɤatɕhɯz tɕetɕendɤre spjaŋkɯ ɲɯβzea ŋu tɕe
kɤtaʁ kɤ́wɣthɯ tɕe tɕendɤre	kɤtaʁ kɤ́wɣthɯ tɕetɕendɤre
tɕendɤre ʑmbrɯ ɯtaʁ toɕe tɕe nɯ ɕɯŋgɯ ɯʑo ɯsɤtɕha nɯ tɕu nɤki yalishan kɤti nɯnɯtɕu	tɕendɤre ʑmbrɯ ɯtaʁ toɕe tɕe nɯɕɯŋgɯ ɯʑo ɯsɤtɕha nɯtɕu nɤki ali shang ti nɯnɯtɕu
ɲɤlɤt tɕe tɕendɤre iɕqha nɯ 	ɲɤlɤt tɕetɕendɤre iɕqhanɯ
ɯku ɯtaʁ kutɯtɯɣ ʑo tɕe tɕendɤre	ɲɤsɯso ri ɯku ɯtaʁ kɯtɯt ɣʑo tɕetɕendɤre
nɯ ɯtaʁ nɯtɕu iɕqha pjɯrɯ chonɤ rɯnbotɕhi nɯra kundzoʁ ɲɯŋgrɤl tɕe tɕe iɕqha 	nɯtaʁ nɯtɕu iɕqha pjɯrɯ chonɤ rɯnbotɕhi nɯra kundzoʁ ɲɯŋgrɤl tɕetɕe ɕqha
ki sakaβ ɯrkɯ nɯtɕu si ɯɣɤ́ʑu toti	ki sakaβ ɯrkɯ tɕeri ɣɤʑu toti
tɕe nɯnɯ ndʑɯrwɯz ŋu	tɕe nɯnɯ ndʑɯrwɯz ŋu
nɤki hehua kunɤmɲama ɲɯɕti ma aʑo hehua ɲɯmaʁa 	nɤki hehua kunɤmɲɤm ɲɯɕti malache hua ɲɯma
tɕendɤre iɕqha khɯɣɲɟɯ ɣɯ ɯjɤlwa χchoʁe jorɤɕi toti ɲɯŋu	tɕendɤre iɕqha khɯɣɲɟɯ ɣɯ ɯpɤl anɯɬoʁ jorɤɕi toti
tɕe tuɣɤzjɤɣlɤɣ ʑo kɯfse ɲɯɕti wo	tɕetu zju ɣʑo kɯfse ɲɯɕti wo
tɯrme ci nɯɕar tɕe kɯki nɤki iɕqha	tɯrme ci nɯɕar tɕe kɯki nɤki iɕqha
pjɯxtsɯnɯ nɤ pjɯxtsɯnɯ tɕe	pjɯxtsɯnɯ pjɯxtsɯnɯ tɕe
sɲikuku ʑo nɯtɕu lunɤtsoʁ pjɤŋu	sɲikuku ʑo nɯtɕu lunɤtsoʁ pjɤŋu
tsuku ɲaʁ tsuku aqarŋɯrŋe 	tsuku ɲaʁ tsuku aqarŋɯrŋe
li ɯkha jozɣɯt	li kha jozɣɯt
kúwɣrtoʁ ɲɯsaχsɤl jamar ci ma maŋe	kúwɣrtoʁ ɲɯsaχsɤl jamar ci ma maŋe
iʑora tɤrte chɯnɯβzunɯ ŋu tɕe	iʑora tɤrte chɯnɯβzunɯ ŋu tɕe
tɕe dɯxpa ma nɯ ɯpɤro ra joɣɯt 	tɕe dɯxpa ma nɯpɤri ra joɣɯt
tɕendɤre iɕqha nɯ rɟɤlpu ɣɯ ɯχpi pjɤfɕɤt nɤki ɯtɯfɕɤt pjɤβzu tɕe	tɕendɤre iɕqha nɯrɟɤlpu ɣɯ ɯχpi pjɤfɕɤt nɤki ɯtɯfɕɤt pjɤβzu tɕe
tɕendɤre kɯrɯtshoŋpa nɯ ɲɤrga qhe nɯ rŋɯl nɯkɤmbi nɯnɯ tondo qhendɤre ɯkha pɕoʁ jonɯɕe	tɕendɤre kɯrɯtshoŋpa nɯ ɲɤrga qhe ɯrŋɯl nɯkɤmbi nɯnɯ tondo qhendɤre ɯkha ɯpɕoʁ jonɯɕe
nɯnɯ kumarnɯ ŋu tɕe tɕe nɯnɯ	nɯnɯ kumarnɯ ŋu tɕetɕe nɯnɯ
tɕendɤre nɯ jamar ri tɕe kɯki tɤtɕɯ ki nɯnɯ jɤarinɯ jɤɕqhlɤtnɯ ɯqhu tɕe tɕendɤre ɯŋga nɯnɯ toŋga	tɕendɤre nɯ jamar ritɕe kɯki tɤtɕɯ ki nɯnɯ jɤarinɯ ɯqhu joɕqhlɤtnɯ ɯqhu tɕetɕendɤre ɯŋga nɯnɯŋa
mbrajqhɤt rcanɯ aʁɤndɯndɤt ʑo tuɬoʁ ɕti	mbri qh rcanɯ aʁɤndɯndɤt ʑo tuɬoʁ ɕti
tɕe nɯ ma ɯɕki jɤɣi ra ɯkɯti pjɤme 	tɕe nɯma ɯɕki jɤɣi ra kɯti pjɤme
si ɯkɯphɯt nɯ kɯ li ci ɯrʑaβ ɲɤɕar	si kɯphɯt nɯkɯ li ci ɯrʑaβ ɲɤɕar
nɯ ɲɯɤʑɴɢɯʑɴɢoʁ qhe 	nɯɲɤm luɴɢaʁ qhe
sɤpɤzrɤzi ɣɯ ɯlocu ri tɕe kɤmɲɯ ɣɯ ɯzgo nɯnɯ	sɤpɤzrɤʑi ɣɯ ɯlocu ritɕe kɤmɲɯ ɯzgo nɯnɯ
núndʐa nɯ lɯlutɯcha ʑo ɲɯŋu	núndʐa nɯl tɯcha ʑo ɲɯŋu
nɯɕa qajɯ ɯpɯ ŋu tɕe nɯ ɲɯkɤɣɤme ftɕaka ʁɟa tuβzu ɕti ma	nɯɕa qajɯ ɯpɯŋu tɕe ɲɯkɤɣɤme ftɕaka ʁɟa tuβzunɯ ɕti ma
apɯŋu nɤ iɕqha spjaŋkɯ ɣɯ ɯndʐi nɯnɯ ɯʑo kɯsɯsu kɯ spjaŋkɯ nɯ ɣɯ ɯndʐi pjɯ́wɣqaʁ tɕe 	apɯŋunɯ iɕqha spjaŋkɯ ɣɯ ɯndʐi nɯnɯkɯ kɯsɯsu ɯspjɯŋ kɯnɯndzoʁ pjɯ́wɣqaʁ tɕe
mɤʑɯ iɕqha  nɯ pɯkɤɣɤla kɯfse ɣɤʑu	mɤʑɯ iɕqhanɯ pɯkɤɣɤntaβ kɯfse ɣɤʑu
tham ɣɯ tɕe tɕendɤre ɯtɯrpa shijin ɣɤʑu gongjin ɣɤʑu	tham tɕetɕendɤre tɯtɯrpa shijin ɣɤʑu gongjin ɣɤʑu
tumbro mɤcha sna ra kɯtu me	sŋo
tɕe nɯnɯ tɕu sɯŋgɯ jɤazɣɯt tɕe sɯŋgɯ ɯrkɯ nɯtɕu nɤkinɯ qachɣa ci pjɤkɤmdzɯci	tɕe nɯnɯtɕu sɯŋgɯ jɤazɣɯt tɕe sɯŋgɯ ɯrkɯ nɯtɕu nɤkinɯ qachɣa ci pjɤkɤmdzɯci
tɕeri nɯnɯ tɤmdzɤrgi tɯrdoʁ ɣɯ ɯmɯntoʁ nɯ 	tɕeri nɯnɯ tɤmdzɤrgi tɯrdoʁ ɣɯ ɯmɯntoʁ nɯ
tɕe ɯkɤpa ɲɤme qhe tɕendɤre nɯtɕu tɕe tɯsi ʑo kɤnɤjo pjɤɕti 	tɕe kɤpa ɲɤme qhe tɕendɤre nɯtɕu tɕe tɯsi ʑo kɤnɤjo pjɤɕti
ki tɕhɯkɤɣar ɣɯ ʑmbri sthɯci mɯ́jwxti	ki tɕhɯkɤɣar ɣɯ ʑmbri sthɯci mɯ́jwxti
tɤkhe pɣɤtɕɯ nɯ kɯ nɤki kuɕɯm	tɤkhepɣɤtɕɯ ɣɯ nɯkɯ nɤki kuɕɯm
tɕendɤre nɤʑo rcanɯ maka pɣa ra ɣɯ nɯtɤru ɲɯtɯsna toti ɲɯŋu	tɕendɤre nɤʑo rcanɯ maka pɣa ra ɣɯ nɯtɤru mɯɲɯtɯsna toti ɲɯŋu
tɤɕime nɯ khɯɣɲɟɯ ɯrkɯ nɯtɕu thɯari tɕe 	tɤɕime ɯkhɯɣɲɟɯ ɯrkɯ nɯtɕu thari tɕe
rŋɯl kɯ qaʁ pjɤsɯβzu rŋɯl kɯ ldɯɣɯ pjɤsɯβzu rŋɯl kɯ tɯrpa pjɤsɯβzunɯ	rŋɯl kɤqaʁ pjɤsɯz rŋɯlkɤ ldɯɣɯ pjɤnɯβzunɯ rŋɯlkɤ tɯrpa pjɤnɯβzunɯ
nɯ ɯŋgɯ pjɯɣinɯ tɕe tɕe 	nɯŋgɯ pjɯɣinɯ tɕetɕe
jiqi pjɯlɤtnɯ ɲɯɕti tɕe 	ɯtɕhi pjɯlɤt ɲɯɕti tɕe
tɕe nɯnɯ chɯnɯtsɯm qhe 	tɕe nɯnɯ chɯnɯtsɯma qhe
khɯna ndɤre 	khɯna mɯpɯfɕɤttɕi ŋu
tɕheme kɯpɣi nɯ kɯ nɤkinɯ rɟɤlpu ɣɯ ɯjaʁ nɯ ɲɤ ɯtɕɯ nɯ ɯjaʁ ɲɤsɯɕlɯɣ qhendɤre jo	tɕheme kɯpɣi nɯkɯ nɤkinɯ rɟɤlpu ɣɯ ɯjaʁ nɯtɕɯ nɯjaʁ ɲɤsɯɣlɯɣ qhendɤre
tɕendɤre nɤki tshɤ tshɤnmu nɯ tɤrga kɯ pjɤsɤre	tɕendɤre nɤtshɯɣ tshɤnmu nɯ tɤrga pjɤsɤre
tu ɲɯŋgrɤl ŋgrɤl mɤŋgrɤl mɤxsi	tu ɲɯŋgrɤl ŋgrɤl mɤŋgrɤl mɤxsi
ma nɯnɯ koŋla sɯŋgɯ ri kurɤʑi ɕti qhe	ma nɯnɯ koŋla sɯŋgɯ ri kurɤʑi ɕti qhe
nɯnɯ zgo ɯpa nɯtɕu pjɤsɯxɕe tɕe 	nɯnɯ zgo ɯpa nɯtɕu pjɤsɯxɕe tɕe
tɕe nɯ qaʑo nɯnɯ qibashi jin bajiushi jin jamar apɯtu tɕe	tɕenɯ qaʑo nɯnɯɣi shijin baijiu shijin jamar apɯtu tɕe
nɤʑo aʑo kɯ tɯtatɯt tɯtɤtɯta nɯ tɤste tɕe tɕendɤre	nɤʑo aʑo kɯ tɯtatɯta nɯt ste tɕetɕendɤre
tɕendɤre ɯʑo kɯ tshitsuku ɲɤndɯn tɕe khɤndɯn ra ɲɤβzu tɕe tɕendɤre nɤkinɯ iɕqha nɯ	tɕendɤre ɯʑo kɯtshi tsuku ɲɤndɯn khɤndɯn ra ɲɤβzu tɕe tɕendɤrenɤkinɯ iɕqhanɯ
kɯmaʁ tɯrme ɯxso tɯrme ra nɯtɕhaʁra pjɤŋu	kɯmaʁ tɯrme ɯxso tɯrme ra nɯtɕhaʁra pjɤŋu
tɕe tówɣzrɤŋgat tɕe tɕendɤre nɯnɯ kɯ iɕqha nɯ  tɯci tɯtɤste torku	tɕe tozrɤŋgatnɯ tɕetɕendɤre nɯnɯkɯ iɕqhanɯ tɯci tɯtɤste totia
tɕe nɤki nɯ ɯfso tɕe tɕendɤre li nɯ pjɤfse ɲɯŋu tɕendɤre iɕqha nɯ iɕqha nɯ nɤkinɯ	tɕe nɤkinɯ ɯfso tɕetɕendɤre li nɯmpja fse ɲɯŋu tɕetɕendɤre iɕqhanɯ iɕqhanɯ nɤkinɯ
tɕe nɯ kɯfse tuntɕhoznɯ ɲɯŋu	tɕenɯ kɯfse tuntɕhoznɯ ɲɯŋu
ma sɤznɤrɯre kɯ ʑo jonɯɕe 	ma sɤznɤrɯre ɯʑo jonɯɕe
kɯnɯsuwa tɕe kɯnɯzhangang 站岗	kɯnɯsuwa tɕe kɯnɯzhangang fengshi
aʑo nɤki tɤɕime ci ŋua ri koŋla ʑo tɤɕime ŋua toti	aʑo nɤki tɤɕime ci ŋua ri koŋlaʑo tɤɕime ŋua toti
nɯreri praʁ ɯŋgɯ ri tʂu tukɯɣi ra tɕe	nɯreri praʁ ɯŋgɯ ri tʂu tukɯɣi ra tɕe
tɕe tɯrmɯ kɤɣe jamar tɕe tɕendɤre	tɕetɯrme kɤɣe jamar tɕetɕendɤre
arŋi	arŋi
tɕe mɯntoʁ mɤʑɯ kɯmpɕɤr ɲɯtɯɤpanɯ ɕti toti ɲɯŋu	tɕe mɯntoʁ mɤʑɯ ʑo kɯmpɕɤr ɲɯtanɯ ɕti toti ɲɯŋu
tɕendɤre kɯki tɤtɕɯ ki kɯ nɯnɯ wuma ʑo nɯnɯ pɯkɤnɤtsɯ nɯnɯ nɤkinɯ nɤkinɯ tosɯsaχsɤl ɕti ndɤre 	tɕendɤre kɯki tɤtɕɯ ɯkɯnɯ ɯwɯ ma ʑo nɯnɯ pɯkɤɣɤtsɯr nɯnɯ nɤkinɯ nɤkinɯ tusaχsɤl ndɤre
ɯzwa ɯʑoz ɯci ɯʑoz kɯfse ɲɯɤrɤmgrɯndɯr ŋu	ɯzwa ɯʑoz ɯci ɯʑoz kɯfse ɲɯɤrɤt rɯnd
kɯki nɯ ma aʑo fɕata me tɕe kɯki aʑo ɕkom tumtshia ki ɣɯ ɯχpi ci pjɯfɕata toti	nɯma aʑo fɕata metɕi kɯki ɕkom tumtshi akɤti ci pjɯfɕata toti
tɕe nɤkinɯ iɕqha	tɕe nɤkinɯ iɕqha
qachɣa nɯnɯ qachɣa ɣɯ ɯndʐi nɯnɯ nɤkinɯ	chɣa nɯnɯ qachɣa ɣɯ ɯndʐi nɯnɯ nɤki
mɯpjɤnɯtso tɕe tɕe 	mɯpjɤnɤtsa tɕeki mit
nɯ ɕkrɤz ʁɟa ʑo sɯŋgɯ ŋu tɕe	nɯ ɕkrɤz ʁɟa ʑo sɯŋgɯ ŋu tɕe
tɕe prɤm pjɯ́wɣlɤt qhae tɕe qartsɯ tɕe paʁndza nɯnɯ stoʁ ɯβɣi nɯ ŋu	tɕe ɯprɤm pjɯ́wɣlɤt qhetɕe qartsɯ tɕe paʁndza ɯstoʁ ɯβɣi nɯŋu
tɕe nɯ toʁde tɤnɯna tɕe tɕe li kɤndza ra khro tondza tɕe tɕendɤre	tɕenɯ toʁde tonɯna tɕe tɕeli kɤndza ra khro tondza tɕetɕendɤre
ɯʑo kɯ iɕqha χɕɤlkɯm nɯtɕu juru tɕe tɕendɤre	ɯʑo kɯ iɕqha χɕɤl kɯm nɯtɕu juru tɕetɕendɤre
ɯtɯjpum ɯtɯrɲɟi ɲɯsaχaʁ ʑo tɕe	ɯtɯjpum ɯtɯrɲɟi ɲɯsaχaʁ ʑo tɕe
tɕe nɯnɯ ma zoŋzoŋ ʑo pa tɕe tɕe nɯnɯ ɕkɤzoŋzoŋ tukɯti ŋu	tɕe nɯnɯrɤma zoŋzoŋ ʑo pa tɕetɕe nɯnɯ ɕkɤzoŋzoŋ tukɯti ŋu
mtha ɯndɤcu ri woχco kɤti ci tu tɕe nɯ tɯji ɯrmi	mtha ɯlocu ri woχco kɤti ci tuɕenɯ
kɯxtɕi nɯnɯ alibaba pjɤrmi	kɯxtɕi nɯnɯ alibaba pjɤrmi
tɕe ɯxtɤpa cho ɯmi ɯjaʁ ɯŋgɯchu nɯra ɲɯwɣrum	tɕe ɯxtɤpa cho ɯmi ɯjaʁ ɯŋg chu nɯra ɲɯwɣrum
tɕendɤre ɯpɕi ɬoʁ ʑo pɯŋu tɕe tɕendɤre lɯlu kɯ nɯɕɯmɯma ʑo kówɣndo	tɕendɤre pɯɬoʁ ʑo pɯŋu tɕetɕendɤre lɯlu kɯnɯɕɯʁjɯ aʑo kówɣndo
aʑo kutɕu kɯki kɤntɕhaʁ ɯŋgɯ kɯ kuŋkea tɕe	aʑo kutɕu kɯki kɤntɕhaʁ ɯŋgɯ ɯkɯŋga tɕeki
tɯrme ra tɯrme ra tsuku kɯdɤn kɯ ʑo maka tukɤnɤjoʁjoʁ tukɤfstɤt nɯ ɲɯrganɯ ma khramba pɯnnɯŋu kɯnɤ 	tɯrme ra tɯrme ra tsuku kɯdɤn ɯʑo maka kɤnɤjoʁjoʁ tukɤstu nɯtɯrga nɯma khramba pɯnɯŋu kɯnɤ
tɕendɤre to tɤmu nɯ kɯ tɤtʂu nɯ tu nɤkinɯ iɕqha nɯ ɯthoʁ nɯtɕu thɤlwa tɯspra tomɟa tɕe nɤkinɯ 	tɕendɤre tɤmu nɯkɯ tɤtʂu nɤkinɯ iɕqhanɯ ɯthoʁ nɯtɕu thɤlwa tɯspra tomɟa tɕe nɤkinɯ
nɯ ɯŋgɯ kurɤʑi ɲɯsɯsɤm toti	nɯŋgɯ kurɤʑi ɲɯsɯsɤm toti
mɯɕɯku kɤti nɯnɯ nɯ praʁwɯ ɯlɤcu 	mɯɕɯku kɤti ɯnɯnɯnɯ praʁwɯ ɯlocu
tɕendɤre kɯki pɤjkhu raz nɯ ɲɯɤsɯtaʁ ɕti toti	tɕendɤre kɯki pɤjku ɯraz nɯɲɤm taʁ ɕti toti
tɕendɤre nɯ kɯfse pjɤŋu tɕe	tɕendɤre nɯkɯfse pjɤŋu tɕe
ɕtuɣɤŋoʁ mɤjɤɣ toti	ɕtuɣɤŋoʁa mɤjɤɣ toti
nɯ kɯ tɕhi tatɯt ʑo nɯnɯ iɕqha tɤru ɯtɕɯ nɯ kɯ kusɤŋɤm pjɤŋu	nɯkɯ tɕhi tatɯt ʑo nɯnɯiɕqha torɯstɯnmɯ kusɤŋɤm pjɤŋu
nɯnɯ tɕe nɤkinɯ ɯŋgɯ nɯtɕu βʑɯ ci pjɤ pjɤrɤʑi	nɯnɯtɕe nɤkinɯ ɯŋgɯ nɯtɕu βʑɯ ci pjɤ pjɤrɤʑi
tɕendɤre iɕqha nɯ tɕeri tɕe iɕqha chake nɯ kɯ 	tɕendɤre iɕqhanɯ tɕeri thi ɕqha chake nɯkɯ
api ra tɯrme ra ɲɯ́wɣsɤβzu kɯcha kɯɣe ɲɯsɯsɤm chɯnɯzdɯɣ pjɤŋu	api ra tɯrme ɲɯ́wɣsɤβzu kɯcha kɯɣe ɲɯsɯsɤm chɯnɯzdɯɣ pjɤŋu
sqamŋutɯrpa jamar	sqamŋutɯrpa jamar
li ɯʁɤri nɯ tɕu chɯ́wɣtsɯm chɯ́wɣlɤt tɕe 	li ɯʁɤri nɯtɕu chɤ́wɣtsɯm chɯ́wɣlɤt tɕe
tɕendɤre rɟɤlpu nɯ nɤki xinbada ɯkɯrtoʁ joɣi tɕe	tɕendɤre rɟɤlpu nɯni xinbada ɯkɯrtoʁ joɣi tɕe
tɤpi ni li toɣɤɕqalindʑi tɕe mɤjɤɣ ma	tɤpi li toɣɤɕqali ndʑitɕɯ mɤjɤɣ ma
tɕe tɯŋke ɯmɤtaʑa ɯmɤnɯmɯnmu qhe mɯ́jsɤmto 	tɕe tɯŋke mɤtata ɯmɤnɯmɯnmu qhe mɯ́jsɤmto
ma nɤkinɯ tɤkɤzbɣaʁ nɯ tɕe tɕe	nɤkinɯ tɤkɤzbɣaʁ nɯ tɕetɕe
tɕe nɯnɯ kunɯmge qhe nɯnɯ ʑo tundze qhe	tɕe nɯnɯ kunɯmge qhendɤre tundze qhe
fsapaʁ ɯmɤsɤxɕe tuβzunɯ ŋgrɤl 	fsapaʁ mɤsɤɕɯɕe tuβzunɯ ŋgrɤl
rgargɯn nɯ kɯ kurtoʁ qhe nɯra sthɯci pjɤŋgɯnɯ ɕti qhe	rgargɯn nɯkɯ kurtoʁ qhe nɯra sthɯci pjɤŋgɯndʑi qhe
tɯrgi nɯ koŋla kɯpe ŋu tɕe	tɯrgi nɯ koŋla kɯpe ŋu tɕe
tɕe qro kɯfse kɯdɯdɤn ʑo jɤɣenɯ tɕe lozonɯ tɕe qha	tɕe qro kɯfse kɯdɯdɤn ʑo jɤɣenɯ lɤzonɯ tɕetɕe iɕqha
tɕendɤre kɯki rcanɯ maka nɯra kɤsthɯt kɯsɤcha nɯ pjɤmaʁ	tɕendɤre kɯki rcanɯ maka nɯra kɤsthɯt kɯsɤcha mɯpjɤnaʁ
nɯ kɯfse nɯnɯ liangcai kɯfse low	nɯkɯfse nɯnɯ liang cai kɯfse low
