Reference	Prediction	Ref_words	Pred_words	Diff_num_words	Lev_distance	Lev_distance_words	Average_lev_dist_words
mmm… ʁo˧qʰwɤ˩ le˧pv̩˩kʰɯ˩	mm… ʁo˧qʰwɤ˩ le˧pv̩˩kʰɯ˩	['mmm…', 'ʁo˧qʰwɤ˩', 'le˧pv̩˩kʰɯ˩']	['mm…', 'ʁo˧qʰwɤ˩', 'le˧pv̩˩kʰɯ˩']	0	0.9795918367346939	[0.8571428571428571, 1.0, 1.0]	0.9523809523809523
tʰi˩˥ njæ˧sɯ˩kv̩˩ hĩ˧ ɲi˧tsi˧kv̩˧ɲi˥ ə˩gi˩ lɑ˧tʰɑ˧mi˧ɻ̍˧pi˥	tʰi˩˥ njæ˧sɯ˩kv̩˩ hĩ˧ ɲi˧tsi˧kv̩˧ɲi˥ ə˩gi˩ lɑ˧tʰɑ˧mi˧ pi˥	['tʰi˩˥', 'njæ˧sɯ˩kv̩˩', 'hĩ˧', 'ɲi˧tsi˧kv̩˧ɲi˥', 'ə˩gi˩', 'lɑ˧tʰɑ˧mi˧ɻ̍˧pi˥']	['tʰi˩˥', 'njæ˧sɯ˩kv̩˩', 'hĩ˧', 'ɲi˧tsi˧kv̩˧ɲi˥', 'ə˩gi˩', 'lɑ˧tʰɑ˧mi˧', 'pi˥']	1	0.9661016949152542	[1.0, 1.0, 1.0, 1.0, 1.0, 0.7692307692307693]	0.9615384615384616
tʰv̩˧v̩˧ ʂɯ˧se˥kwɤ˩tɕɯ˩lɑ˩ kʰv̩˧ʈʂʰɯ˧ ɲi˧kʰv̩˧so˧kʰv̩˥ le˧ʂɯ˧ze˧ le˧ʂe˧mɤ˧ɖɯ˧ ɲi˧kʰv̩˧so˧kʰv̩˥ le˧ʂɯ˧ze˧ le˧ʂe˧mɤ˧ɖɯ˧ ʈʂʰɯ˧ tsʰe˩kʰv̩˩hĩ˥ ɖɯ˧v̩˧ɳɯ˧ʈʂʰɯ˧ ʈʂʰɯ˧lɑ˩ ɑ˩ʁo˧ tʰi˧pʰæ˧dʑo˥ hɑ˧ tʰi˧ki˧dʑo˩ gɯ˩ʝi˥ tsʰe˩kʰv̩˩ze˩ gv̩˩ɳɯ˥ ʂɯ˧	ʈʂʰɯ˧v̩˧ ʂɯ˧se˥kʰwɤ˩tɕɯ˩ kʰv̩˧ʈʂʰɯ˧ ɲi˧kʰv̩˧ so˧kʰwɤ˥ le˧ʂɯ˧ze˧ ɲi˧kʰv̩˧ so˧kʰwɤ˥ le˧ʂɯ˧ze˧ ʈʂʰɯ˧ tsʰe˩kʰv̩˩hĩ˥ ɖɯ˧v̩˧ɳɯ˧ ʈʂʰɯ˧ ʈʂʰɯ˧lɑ˩ ɑ˩ʁo˧ tʰi˧pʰæ˧dʑo˥ hɑ˧ tʰi˧ki˧dʑo˩ gɯ˩ʝi˥ tsʰe˩kʰv̩˩ze˩ gv̩˩ɳɯ˥ ʂɯ˧	['tʰv̩˧v̩˧', 'ʂɯ˧se˥kwɤ˩tɕɯ˩lɑ˩', 'kʰv̩˧ʈʂʰɯ˧', 'ɲi˧kʰv̩˧so˧kʰv̩˥', 'le˧ʂɯ˧ze˧', 'le˧ʂe˧mɤ˧ɖɯ˧', 'ɲi˧kʰv̩˧so˧kʰv̩˥', 'le˧ʂɯ˧ze˧', 'le˧ʂe˧mɤ˧ɖɯ˧', 'ʈʂʰɯ˧', 'tsʰe˩kʰv̩˩hĩ˥', 'ɖɯ˧v̩˧ɳɯ˧ʈʂʰɯ˧', 'ʈʂʰɯ˧lɑ˩', 'ɑ˩ʁo˧', 'tʰi˧pʰæ˧dʑo˥', 'hɑ˧', 'tʰi˧ki˧dʑo˩', 'gɯ˩ʝi˥', 'tsʰe˩kʰv̩˩ze˩', 'gv̩˩ɳɯ˥', 'ʂɯ˧']	['ʈʂʰɯ˧v̩˧', 'ʂɯ˧se˥kʰwɤ˩tɕɯ˩', 'kʰv̩˧ʈʂʰɯ˧', 'ɲi˧kʰv̩˧', 'so˧kʰwɤ˥', 'le˧ʂɯ˧ze˧', 'ɲi˧kʰv̩˧', 'so˧kʰwɤ˥', 'le˧ʂɯ˧ze˧', 'ʈʂʰɯ˧', 'tsʰe˩kʰv̩˩hĩ˥', 'ɖɯ˧v̩˧ɳɯ˧', 'ʈʂʰɯ˧', 'ʈʂʰɯ˧lɑ˩', 'ɑ˩ʁo˧', 'tʰi˧pʰæ˧dʑo˥', 'hɑ˧', 'tʰi˧ki˧dʑo˩', 'gɯ˩ʝi˥', 'tsʰe˩kʰv̩˩ze˩', 'gv̩˩ɳɯ˥', 'ʂɯ˧']	1	0.8919540229885058	[0.625, 0.875, 1.0, 0.6666666666666666, 0.11764705882352941, 0.5714285714285714, 0.6666666666666666, 0.11764705882352941, 0.5714285714285714, 1.0, 1.0, 0.782608695652174, 0.7692307692307693, 0.3076923076923077, 0.11764705882352941, 0.13333333333333333, 0.14285714285714285, 0.11764705882352941, 0.10526315789473684, 0.3, 0.2]	0.4851316246735742
ə˧mi˧ dzɑ˧hĩ˧ki˧ ə˧sɯ˩kv̩˩ tɑ˧ho˧bi˧ze˧ pi˧ dʑɤ˩hĩ˧ki˧ tɑ˧ho˧bi˧ze˧ pi˧	ə˧mi˧ dzɑ˧hĩ˧ki˧ ə˩sɯ˩kv̩˩ tɑ˧ho˧bi˧ze˧ pi˧ dʑɤ˩hĩ˧ki˥ tɑ˧ho˧bi˧ze˧ pi˧	['ə˧mi˧', 'dzɑ˧hĩ˧ki˧', 'ə˧sɯ˩kv̩˩', 'tɑ˧ho˧bi˧ze˧', 'pi˧', 'dʑɤ˩hĩ˧ki˧', 'tɑ˧ho˧bi˧ze˧', 'pi˧']	['ə˧mi˧', 'dzɑ˧hĩ˧ki˧', 'ə˩sɯ˩kv̩˩', 'tɑ˧ho˧bi˧ze˧', 'pi˧', 'dʑɤ˩hĩ˧ki˥', 'tɑ˧ho˧bi˧ze˧', 'pi˧']	0	0.9726027397260274	[1.0, 1.0, 0.8888888888888888, 1.0, 1.0, 0.9090909090909091, 1.0, 1.0]	0.9747474747474747
qwæ˩ʈʂæ˩qo˥ sɑ˧ tʰi˧ʈʰæ˧˥ ʈʂʰ ɖɯ˧kʰwɤ˥ɖɯ˩kʰwɤ˩ le˧kʰi˥ ʈʂʰɯ˧ne˧ʝi˥ le˧ɲi˩	qwæ˩ɖʐæ˩qɑ˥sɑ˩ tʰi˧ʈʰæ˧˥ ɖɯ˧ʐɯ˧kʰwɤ˥kʰwɤ˩ le˧ʝkʰi˧ ʈʂʰɯ˧ne˧ʝi˥ le˧ɲi˩	['qwæ˩ʈʂæ˩qo˥', 'sɑ˧', 'tʰi˧ʈʰæ˧˥', 'ʈʂʰ', 'ɖɯ˧kʰwɤ˥ɖɯ˩kʰwɤ˩', 'le˧kʰi˥', 'ʈʂʰɯ˧ne˧ʝi˥', 'le˧ɲi˩']	['qwæ˩ɖʐæ˩qɑ˥sɑ˩', 'tʰi˧ʈʰæ˧˥', 'ɖɯ˧ʐɯ˧kʰwɤ˥kʰwɤ˩', 'le˧ʝkʰi˧', 'ʈʂʰɯ˧ne˧ʝi˥', 'le˧ɲi˩']	-2	0.8450704225352113	[0.64, 0.16666666666666666, 0.24, 0.18181818181818182, 0.2222222222222222, 0.6153846153846154, 0.0, 0.0]	0.2582614607614608
njæ˧ɻæ˩dʑo˩ kʰv̩˩mi˩pi˥hĩ˩dʑo˩ ɑ˩ʁo˥ ʈʰææ̃˧ kʰv̩˧ ʂe˧ le˧ʁ hĩ˧ɻæ˥ ʝi˧kʰv̩˥ ɑ˩ʁo˥ kʰv̩˧ ʂe˧ tɕɤ˧kʰɯ˥ mɤ˧kv̩˧˥	njæ˧ɻæ˩dʑo˩ kʰv̩˩mi˩pi˥dʑo˩ ɑ˩ʁo˧ ʈʰææ̃˧ kʰv̩˧ʂe˧ le˧w hĩ˧ɻæ˥ ʝi˧kʰv̩˥ ɑ˩ʁo˧ kʰv̩˧ʂɯ˧ tɕɤ˧kʰɯ˥ mɤ˧kv̩˧˥	['njæ˧ɻæ˩dʑo˩', 'kʰv̩˩mi˩pi˥hĩ˩dʑo˩', 'ɑ˩ʁo˥', 'ʈʰææ̃˧', 'kʰv̩˧', 'ʂe˧', 'le˧ʁ', 'hĩ˧ɻæ˥', 'ʝi˧kʰv̩˥', 'ɑ˩ʁo˥', 'kʰv̩˧', 'ʂe˧', 'tɕɤ˧kʰɯ˥', 'mɤ˧kv̩˧˥']	['njæ˧ɻæ˩dʑo˩', 'kʰv̩˩mi˩pi˥dʑo˩', 'ɑ˩ʁo˧', 'ʈʰææ̃˧', 'kʰv̩˧ʂe˧', 'le˧w', 'hĩ˧ɻæ˥', 'ʝi˧kʰv̩˥', 'ɑ˩ʁo˧', 'kʰv̩˧ʂɯ˧', 'tɕɤ˧kʰɯ˥', 'mɤ˧kv̩˧˥']	-2	0.9345794392523364	[1.0, 0.8823529411764706, 0.8, 1.0, 0.7692307692307693, 0.5714285714285714, 0.18181818181818182, 0.4, 0.15384615384615385, 0.0, 0.3076923076923077, 0.18181818181818182, 0.0, 0.0]	0.4462990790721883
ʈʂʰɯ˧ne˧ʝi˥ ɖɯ˧hɑ̃˧˥ ɖɯ˧hɑ̃˧˥ ɖɯ˧hɑ̃˧ɳɯ˥ tʰi˩˥ bi˧ lo˧gv̩˩ so˩hɑ̃˩ hɑ̃˥kv̩˩tsɯ˩ mv̩˩	ʈʂʰɯ˧ne˧ʝi˥ ɖɯ˧hɑ̃˧ ɖɯ˧hɑ̃˧ ɖɯ˧hɑ̃˧ɳɯ˥ tʰi˩˥ bi˧ lo˧gv̩˩ so˩hɑ̃˩ hɑ̃˥kv̩˩tsɯ˩ mv̩˩	['ʈʂʰɯ˧ne˧ʝi˥', 'ɖɯ˧hɑ̃˧˥', 'ɖɯ˧hɑ̃˧˥', 'ɖɯ˧hɑ̃˧ɳɯ˥', 'tʰi˩˥', 'bi˧', 'lo˧gv̩˩', 'so˩hɑ̃˩', 'hɑ̃˥kv̩˩tsɯ˩', 'mv̩˩']	['ʈʂʰɯ˧ne˧ʝi˥', 'ɖɯ˧hɑ̃˧', 'ɖɯ˧hɑ̃˧', 'ɖɯ˧hɑ̃˧ɳɯ˥', 'tʰi˩˥', 'bi˧', 'lo˧gv̩˩', 'so˩hɑ̃˩', 'hɑ̃˥kv̩˩tsɯ˩', 'mv̩˩']	0	0.9879518072289156	[1.0, 0.9333333333333333, 0.9333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	0.9866666666666667
ə˧tso˧ ɲi˩kv̩˩hɤ˩ pi˧zo˩	ə˧tso˧  ɲi˩kv̩˩ hɯ˩ pi˧zo˩	['ə˧tso˧', 'ɲi˩kv̩˩hɤ˩', 'pi˧zo˩']	['ə˧tso˧', '', 'ɲi˩kv̩˩', 'hɯ˩', 'pi˧zo˩']	2	0.92	[1.0, 0.0, 0.3076923076923077]	0.4358974358974359
zo˩no˧ne˩ʝi˩zo˩ ə˧tso˧ə˧tso˥ ɖɯ˧qʰwɤ˧ɖɯ˥qʰwɤ˩ pi˧zo˩ ɖɯ˧ʈʂo˩ɖɯ˩ʈʂo˩ dʑo˧mɤ˧kv̩˧˥	zo˩no˧ni˩dzo˩ ə˧tso˧ə˧tso˥ ɖɯ˧qʰwɤ˧ɖɯ˧qʰwɤ˧ pi˥zo˩ ɖɯ˧ʈʂo˩ ɖɯ˧ʈʂe˩ dʑo˩mɤ˧kv̩˧	['zo˩no˧ne˩ʝi˩zo˩', 'ə˧tso˧ə˧tso˥', 'ɖɯ˧qʰwɤ˧ɖɯ˥qʰwɤ˩', 'pi˧zo˩', 'ɖɯ˧ʈʂo˩ɖɯ˩ʈʂo˩', 'dʑo˧mɤ˧kv̩˧˥']	['zo˩no˧ni˩dzo˩', 'ə˧tso˧ə˧tso˥', 'ɖɯ˧qʰwɤ˧ɖɯ˧qʰwɤ˧', 'pi˥zo˩', 'ɖɯ˧ʈʂo˩', 'ɖɯ˧ʈʂe˩', 'dʑo˩mɤ˧kv̩˧']	1	0.8860759493670886	[0.8571428571428571, 1.0, 0.875, 0.8333333333333334, 0.6666666666666666, 0.10526315789473684]	0.7229010025062657
le˧dzɯ˥zo˩ tʰi˩˥ ʈʂʰɯ˧ne˧ʝi˥ le˧ʈʰæ˧˥ dʑo˩ mɤ˩ʈʂʰɯ˥ tʰi˧di˩ le˧tsʰɯ˩ tsɯ˩ mv̩˩	le˧dzɯ˧zo˥ tʰi˩˥ ʈʂʰɯ˧ne˧ʝi˥ le˧ʈʰæ˧˥ dʑo˩ mɤ˩ʈʂʰɯ˥ tʰi˧di˩ le˧tsɯ˩tsɯ˩ mv̩˩	['le˧dzɯ˥zo˩', 'tʰi˩˥', 'ʈʂʰɯ˧ne˧ʝi˥', 'le˧ʈʰæ˧˥', 'dʑo˩', 'mɤ˩ʈʂʰɯ˥', 'tʰi˧di˩', 'le˧tsʰɯ˩', 'tsɯ˩', 'mv̩˩']	['le˧dzɯ˧zo˥', 'tʰi˩˥', 'ʈʂʰɯ˧ne˧ʝi˥', 'le˧ʈʰæ˧˥', 'dʑo˩', 'mɤ˩ʈʂʰɯ˥', 'tʰi˧di˩', 'le˧tsɯ˩tsɯ˩', 'mv̩˩']	-1	0.961038961038961	[0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7368421052631579, 0.25, 0.0]	0.7786842105263158
tʰi˩˥ dɑ˧pɤ˧ ʈʂʰɯ˧v̩˧ɳɯ˩ ɖɯ˧ʑi˩ɖɯ˩ʑi˩ mv̩˧ ɻwæ˧kv̩˩ze˩	tʰi˩˥ dɑ˧pɤ˧ ʈʂʰɯ˧v̩˧ɳɯ˩ ɖɯ˧ʑi˩ɖɯ˩ʑi˩ɻ̍˩ mv̩˧ɻæ˩kv̩˩ze˩mæ˩	['tʰi˩˥', 'dɑ˧pɤ˧', 'ʈʂʰɯ˧v̩˧ɳɯ˩', 'ɖɯ˧ʑi˩ɖɯ˩ʑi˩', 'mv̩˧', 'ɻwæ˧kv̩˩ze˩']	['tʰi˩˥', 'dɑ˧pɤ˧', 'ʈʂʰɯ˧v̩˧ɳɯ˩', 'ɖɯ˧ʑi˩ɖɯ˩ʑi˩ɻ̍˩', 'mv̩˧ɻæ˩kv̩˩ze˩mæ˩']	-1	0.9107142857142857	[1.0, 1.0, 1.0, 0.8888888888888888, 0.38095238095238093, 0.0]	0.7116402116402116
