tʰi˩˥	tʰ i ˩˥  
nɑ˩ʈʂʰɯ˥dʑo˩	n ɑ ˩ ʈʂʰ ɯ ˥ dʑ o ˩  
õ˧	õ ˧  
tso˧tso˧	ts o ˧ ts o ˧  
tʰv̩˧v̩˧ɳɯ˩	tʰ v̩ ˧ v̩ ˧ ɳ ɯ ˩  
æ˧ʂæ˧tɑ˩mv̩˩	æ ˧ ʂ æ ˧ t ɑ ˩ m v̩ ˩  
ɖɯ˧	ɖ ɯ ˧  
ə˧dɑ˧	ə ˧ d ɑ ˧  
ʁo˧dɑ˧	ʁ o ˧ d ɑ ˧  
ʑi˧mi˧	ʑ i ˧ m i ˧  
dɑ˧pɤ˧	d ɑ ˧ p ɤ ˧  
kʰv̩˩mi˩˥	kʰ v̩ ˩ m i ˩˥  
le˧dzɯ˥	l e ˧ dz ɯ ˥  
le˧qæ˧˥	l e ˧ q æ ˧˥  
lɑ˧	l ɑ ˧  
mo˧˥	m o ˧˥  
ni˧	n i ˧  
njɤ˧ɳɯ˧	n jɤ ˧ ɳ ɯ ˧  
no˧ɻ̍˩	n o ˧ ɻ̍ ˩  
pɤ˩jɤ˧	p ɤ ˩ jɤ ˧  
ɖɯ˧sɑ˥	ɖ ɯ ˧ s ɑ ˥  
ɖɯ˧ɲi˥	ɖ ɯ ˧ ɲ i ˥  
ɖɯ˧ʑi˩	ɖ ɯ ˧ ʑ i ˩  
ɖʐe˧	ɖʐ e ˧  
ɲi˩ze˩	ɲ i ˩ z e ˩  
ɳɯ˩dʑɯ˥	ɳ ɯ ˩ dʑ ɯ ˥  
ʐwæ˧ʈʂʰɯ˧	ʐ wæ ˧ ʈʂʰ ɯ ˧  
dzo˧	dz o ˧  
dʑo˩˥	dʑ o ˩˥  
hɯ˧	h ɯ ˧  
le˧dɑ˧˥	l e ˧ d ɑ ˧˥  
le˧se˥	l e ˧ s e ˥  
le˧tsʰɯ˩	l e ˧ tsʰ ɯ ˩  
le˧ŋv̩˩	l e ˧ ŋ v̩ ˩  
le˧ʂɯ˧	l e ˧ ʂ ɯ ˧  
mɤ˧sɯ˥	m ɤ ˧ s ɯ ˥  
tsʰi˧ɲi˧	tsʰ i ˧ ɲ i ˧  
zo˩	z o ˩  
zo˩no˧	z o ˩ n o ˧  
ɖɯ˧kʰwɤ˧	ɖ ɯ ˧ kʰ wɤ ˧  
ɖɯ˧so˩	ɖ ɯ ˧ s o ˩  
ʁwɤ˧	ʁ wɤ ˧  
ʁwɤ˧qo˧	ʁ wɤ ˧ q o ˧  
ʝi˥dʑo˩	ʝ i ˥ dʑ o ˩  
ʝi˧kʰv̩˥dʑo˩	ʝ i ˧ kʰ v̩ ˥ dʑ o ˩  
bɑ˩lɑ˩˥	b ɑ ˩ l ɑ ˩˥  
di˧qo˧	d i ˧ q o ˧  
di˩	d i ˩  
dzɯ˩	dz ɯ ˩  
dʑo˩kv̩˩	dʑ o ˩ k v̩ ˩  
gv̩˩	g v̩ ˩  
gɯ˩ʝi˥	g ɯ ˩ ʝ i ˥  
jɤ	jɤ  
kv̩˧	k v̩ ˧  
le˧hwæ˧	l e ˧ h wæ ˧  
le˧tɕɯ˧le˥po˩tsʰɯ˩	l e ˧ tɕ ɯ ˧ l e ˥ p o ˩ tsʰ ɯ ˩  
le˧ʈʂʰo˧	l e ˧ ʈʂʰ o ˧  
nɑ˩ʈʂʰɯ˥	n ɑ ˩ ʈʂʰ ɯ ˥  
qv̩˧ɻ̍˧ʁo˧qʰwɤ˥	q v̩ ˧ ɻ̍ ˧ ʁ o ˧ qʰ wɤ ˥  
si˧	s i ˧  
tɕʰi˩	tɕʰ i ˩  
ŋv̩˧	ŋ v̩ ˧  
ɕi˧ʈʂʰwæ˧	ɕ i ˧ ʈʂʰ wæ ˧  
ɖwæ˩mɤ˧zo˧	ɖ wæ ˩ m ɤ ˧ z o ˧  
ɖɯ˧ʁo˩	ɖ ɯ ˧ ʁ o ˩  
ɖɯ˧ʝi˧	ɖ ɯ ˧ ʝ i ˧  
ə	ə  
ə˧mv̩˧˥	ə ˧ m v̩ ˧˥  
ə˧sɯ˩kv̩˩	ə ˧ s ɯ ˩ k v̩ ˩  
ə˧tse˧	ə ˧ ts e ˧  
ɳɯ˩	ɳ ɯ ˩  
ʂe˧ʈʂe˩	ʂ e ˧ ʈʂ e ˩  
ʈʂe˧	ʈʂ e ˧  
ʐwɤ˩	ʐ wɤ ˩  
dɑ˧˥	d ɑ ˧˥  
dʑɤ˩pi˧	dʑ ɤ ˩ p i ˧  
gv̩˥	g v̩ ˥  
hwɤ˧tɕi˥ʁo˩bv̩˩	h wɤ ˧ tɕ i ˥ ʁ o ˩ b v̩ ˩  
kɤ˧kɤ˩	k ɤ ˧ k ɤ ˩  
kʰi˧	kʰ i ˧  
le˧tʰv̩˧	l e ˧ tʰ v̩ ˧  
le˧ɖʐɤ˧˥	l e ˧ ɖʐ ɤ ˧˥  
le˧ʁɑ˥ʂe˩	l e ˧ ʁ ɑ ˥ ʂ e ˩  
mɤ˧tʰɑ˧˥	m ɤ ˧ tʰ ɑ ˧˥  
o	o  
õ˧ʈʂʰɯ˧ne˧	õ ˧ ʈʂʰ ɯ ˧ n e ˧  
pi˧ɲi˥tsɯ˩	p i ˧ ɲ i ˥ ts ɯ ˩  
po˧˥	p o ˧˥  
qæ˧do˧	q æ ˧ d o ˧  
tsɯ˩	ts ɯ ˩  
tsʰi˧qʰæ˧˥	tsʰ i ˧ qʰ æ ˧˥  
tsʰo˧pæ˧	tsʰ o ˧ p æ ˧  
wo˩˥	w o ˩˥  
ɖɯ˧pʰæ˧	ɖ ɯ ˧ pʰ æ ˧  
ɖɯ˧v̩˧dʑo˧	ɖ ɯ ˧ v̩ ˧ dʑ o ˧  
ɖɯ˧v̩˧ɳɯ˧	ɖ ɯ ˧ v̩ ˧ ɳ ɯ ˧  
ɖɯ˧ɭɯ˧qo˧	ɖ ɯ ˧ ɭ ɯ ˧ q o ˧  
ɖʐv̩˧	ɖʐ v̩ ˧  
ə˧lɑ˧ʁwɤ˧	ə ˧ l ɑ ˧ ʁ wɤ ˧  
ə˧ʑi˧lɑ˥	ə ˧ ʑ i ˧ l ɑ ˥  
ə˧ʑi˧˥	ə ˧ ʑ i ˧˥  
ə˩sɯ˧kv̩˥	ə ˩ s ɯ ˧ k v̩ ˥  
ə˩zɯ˩˥	ə ˩ z ɯ ˩˥  
ʈʂʰæ˧ɣɯ˧	ʈʂʰ æ ˧ ɣ ɯ ˧  
ʈʰæ˩	ʈʰ æ ˩  
dʑo˧ɲi˥mæ˩	dʑ o ˧ ɲ i ˥ m æ ˩  
dʑɯ˩ʁo˩	dʑ ɯ ˩ ʁ o ˩  
gv̩˩˥	g v̩ ˩˥  
hĩ˧bæ˧	h ĩ ˧ b æ ˧  
le˧po˧jo˥	l e ˧ p o ˧ jo ˥  
le˧pv̩˧	l e ˧ p v̩ ˧  
li˩˥	l i ˩˥  
mɤ˧dʑo˧ze˧	m ɤ ˧ dʑ o ˧ z e ˧  
mɤ˧kv̩˧˥	m ɤ ˧ k v̩ ˧˥  
no˧ɳɯ˧	n o ˧ ɳ ɯ ˧  
pi˧kv̩˩mæ˩	p i ˧ k v̩ ˩ m æ ˩  
pɤ˩jɤ˧˥	p ɤ ˩ jɤ ˧˥  
pʰv̩˧ɖɯ˧	pʰ v̩ ˧ ɖ ɯ ˧  
tɕɯ˧˥	tɕ ɯ ˧˥  
tʰv̩˧ɲi˧	tʰ v̩ ˧ ɲ i ˧  
zo˩no˧dʑo˥	z o ˩ n o ˧ dʑ o ˥  
ɑ˩ʁo˧ɳɯ˧	ɑ ˩ ʁ o ˧ ɳ ɯ ˧  
ɖɯ˧kʰwɤ˥ɖɯ˩kʰwɤ˩	ɖ ɯ ˧ kʰ wɤ ˥ ɖ ɯ ˩ kʰ wɤ ˩  
ɖɯ˧v̩˧lɑ˧	ɖ ɯ ˧ v̩ ˧ l ɑ ˧  
ɖɯ˧v̩˧ɖɯ˧v̩˧	ɖ ɯ ˧ v̩ ˧ ɖ ɯ ˧ v̩ ˧  
ɖɯ˧zɯ˧	ɖ ɯ ˧ z ɯ ˧  
ɖɯ˧ʈv̩˩	ɖ ɯ ˧ ʈ v̩ ˩  
ə˧si˧	ə ˧ s i ˧  
ə˧si˧ɳɯ˧	ə ˧ s i ˧ ɳ ɯ ˧  
ə˧v̩˧ɳɯ˥	ə ˧ v̩ ˧ ɳ ɯ ˥  
ɬi˧di˩	ɬ i ˧ d i ˩  
ɬi˧di˩di˩mi˩qo˩	ɬ i ˧ d i ˩ d i ˩ m i ˩ q o ˩  
ɲi˥ze˩	ɲ i ˥ z e ˩  
ɲi˧kv̩˧˥	ɲ i ˧ k v̩ ˧˥  
ʁɑ˩ʂɯ˧	ʁ ɑ ˩ ʂ ɯ ˧  
ʈʂʰɯ˧v̩˧ɳɯ˩	ʈʂʰ ɯ ˧ v̩ ˧ ɳ ɯ ˩  
ʈʂʰɯ˧ʁo˥	ʈʂʰ ɯ ˧ ʁ o ˥  
ʐo˩	ʐ o ˩  
bi˧	b i ˧  
dɑ˧pɤ˧ɳɯ˧	d ɑ ˧ p ɤ ˧ ɳ ɯ ˧  
dʑo˥	dʑ o ˥  
dʑɤ˩hĩ˥	dʑ ɤ ˩ h ĩ ˥  
dʑɯ˩	dʑ ɯ ˩  
hhh	h h h  
le	l e  
le˧ɲi˩	l e ˧ ɲ i ˩  
le˧ʈʂʰæ˥	l e ˧ ʈʂʰ æ ˥  
lo˧	l o ˧  
lɑ˧ɳɯ˧	l ɑ ˧ ɳ ɯ ˧  
mo˥hĩ˩	m o ˥ h ĩ ˩  
mv̩˩si˧njɤ˧˥	m v̩ ˩ s i ˧ n jɤ ˧˥  
mæ˧qo˩	m æ ˧ q o ˩  
mɤ˧dzɯ˥	m ɤ ˧ dz ɯ ˥  
mɤ˧dʑo˧hĩ˧	m ɤ ˧ dʑ o ˧ h ĩ ˧  
mɤ˧dʑo˧ɲi˥mæ˩	m ɤ ˧ dʑ o ˧ ɲ i ˥ m æ ˩  
mɤ˧dʑo˩	m ɤ ˧ dʑ o ˩  
njɤ˧ki˧	n jɤ ˧ k i ˧  
no˩	n o ˩  
nɑ˩tsʰi˩˥	n ɑ ˩ tsʰ i ˩˥  
pi˥zo˩	p i ˥ z o ˩  
pi˧zo˥	p i ˧ z o ˥  
qo˩	q o ˩  
qo˩ho˧qo˥	q o ˩ h o ˧ q o ˥  
qʰv̩˩tsʰi˧kʰv̩˥	qʰ v̩ ˩ tsʰ i ˧ kʰ v̩ ˥  
si˧dzi˩	s i ˧ dz i ˩  
so˧	s o ˧  
sɯ˧kʰɯ˩	s ɯ ˧ kʰ ɯ ˩  
ti˩	t i ˩  
tsɑ˧˥	ts ɑ ˧˥  
tsɤ˧ʝi˧	ts ɤ ˧ ʝ i ˧  
tsʰe˧	tsʰ e ˧  
tsʰi˧ʝi˧dʑo˩	tsʰ i ˧ ʝ i ˧ dʑ o ˩  
tʰv̩˧v̩˧ki˧	tʰ v̩ ˧ v̩ ˧ k i ˧  
v̩˧	v̩ ˧  
zɯ˧zɯ˧	z ɯ ˧ z ɯ ˧  
æ˧ʂæ˧dʑo˩	æ ˧ ʂ æ ˧ dʑ o ˩  
ŋv̩˩˥	ŋ v̩ ˩˥  
ɖæ˩lɑ˧so˧	ɖ æ ˩ l ɑ ˧ s o ˧  
ɖɯ˧qʰwɤ˧˥	ɖ ɯ ˧ qʰ wɤ ˧˥  
ɖɯ˩hĩ˩˥	ɖ ɯ ˩ h ĩ ˩˥  
ə˧sɯ˥	ə ˧ s ɯ ˥  
ə˧ʝi˧tsʰi˧ʝi˧dʑo˩	ə ˧ ʝ i ˧ tsʰ i ˧ ʝ i ˧ dʑ o ˩  
ʁo˧tʰo˩	ʁ o ˧ tʰ o ˩  
ʂɯ˧ɬi˧mi˧	ʂ ɯ ˧ ɬ i ˧ m i ˧  
ʐæ˩sɯ˩˥	ʐ æ ˩ s ɯ ˩˥  
ʝi˥kv̩˩	ʝ i ˥ k v̩ ˩  
ʝi˧kʰv̩˥	ʝ i ˧ kʰ v̩ ˥  
bi˩	b i ˩  
dɑ˥	d ɑ ˥  
dʑi˧	dʑ i ˧  
dʑi˧mi˧	dʑ i ˧ m i ˧  
dʑo˧kv̩˧˥	dʑ o ˧ k v̩ ˧˥  
gv̩˧wo˥	g v̩ ˧ w o ˥  
gv̩˩ɬi˩mi˩˥	g v̩ ˩ ɬ i ˩ m i ˩˥  
hĩ˧bi˥	h ĩ ˧ b i ˥  
hĩ˧ki˧	h ĩ ˧ k i ˧  
hĩ˧ki˧ki˩	h ĩ ˧ k i ˧ k i ˩  
hĩ˧ʈʂʰɯ˧dʑo˩	h ĩ ˧ ʈʂʰ ɯ ˧ dʑ o ˩  
hwæ˧	h wæ ˧  
jɤ˧	jɤ ˧  
kʰv̩˧	kʰ v̩ ˧  
kʰv̩˧ʂɯ˥	kʰ v̩ ˧ ʂ ɯ ˥  
kʰv̩˩mi˩ɳɯ˥	kʰ v̩ ˩ m i ˩ ɳ ɯ ˥  
kʰv̩˩mi˩ʈʂʰɯ˥	kʰ v̩ ˩ m i ˩ ʈʂʰ ɯ ˥  
le˧bi˩	l e ˧ b i ˩  
le˧go˩	l e ˧ g o ˩  
le˧qʰæ˧˥	l e ˧ qʰ æ ˧˥  
le˧ʂe˧	l e ˧ ʂ e ˧  
le˧ʂɯ˧hĩ˧	l e ˧ ʂ ɯ ˧ h ĩ ˧  
le˧ʝi˥	l e ˧ ʝ i ˥  
lɑ˩	l ɑ ˩  
mi˩zɯ˩˥	m i ˩ z ɯ ˩˥  
mmm	m m m  
mo˧ɳɯ˥	m o ˧ ɳ ɯ ˥  
mɤ˧do˩	m ɤ ˧ d o ˩  
mɤ˧dʑo˩ze˩	m ɤ ˧ dʑ o ˩ z e ˩  
mɤ˧po˧˥	m ɤ ˧ p o ˧˥  
n	n  
nɑ˩˥	n ɑ ˩˥  
õ˩	õ ˩  
pæ˧kʰwɤ˧	p æ ˧ kʰ wɤ ˧  
pʰi˧	pʰ i ˧  
so˩kv̩˩˥	s o ˩ k v̩ ˩˥  
tsʰe˩so˩kʰv̩˩	tsʰ e ˩ s o ˩ kʰ v̩ ˩  
tv̩˩	t v̩ ˩  
tɕi˩hĩ˩˥	tɕ i ˩ h ĩ ˩˥  
tɕɯ˩zo˩	tɕ ɯ ˩ z o ˩  
tʰi˥kʰɯ˩	tʰ i ˥ kʰ ɯ ˩  
tʰi˧hɑ̃˧˥	tʰ i ˧ h ɑ̃ ˧˥  
tʰi˧tɕɤ˧˥	tʰ i ˧ tɕ ɤ ˧˥  
tʰv̩˧v̩˧dʑo˩	tʰ v̩ ˧ v̩ ˧ dʑ o ˩  
v̩˩tsʰɤ˧	v̩ ˩ tsʰ ɤ ˧  
zo˧mv̩˥ʈʂʰɯ˩	z o ˧ m v̩ ˥ ʈʂʰ ɯ ˩  
ɕjɤ	ɕ jɤ  
ɖwæ˩	ɖ wæ ˩  
ɖɯ˧bæ˧	ɖ ɯ ˧ b æ ˧  
ɖɯ˧kʰɯ˩	ɖ ɯ ˧ kʰ ɯ ˩  
ɖɯ˧pʰæ˧˥	ɖ ɯ ˧ pʰ æ ˧˥  
ɖɯ˧qʰwɤ˧	ɖ ɯ ˧ qʰ wɤ ˧  
ɖɯ˧ɭɯ˧ɖɯ˧ɭɯ˧	ɖ ɯ ˧ ɭ ɯ ˧ ɖ ɯ ˧ ɭ ɯ ˧  
ɖɯ˩ʁo˩	ɖ ɯ ˩ ʁ o ˩  
ə˧dɑ˥	ə ˧ d ɑ ˥  
ə˧dɑ˧ə˧mi˧	ə ˧ d ɑ ˧ ə ˧ m i ˧  
ə˧mv̩˩	ə ˧ m v̩ ˩  
ə˧pʰv̩˧ki˧	ə ˧ pʰ v̩ ˧ k i ˧  
ɬi˧ʈv̩˥	ɬ i ˧ ʈ v̩ ˥  
ɲi˧ɭɯ˧	ɲ i ˧ ɭ ɯ ˧  
ɳɯ˧	ɳ ɯ ˧  
ʂæ˧	ʂ æ ˧  
ʈʂʰɯ˧bæ˧	ʈʂʰ ɯ ˧ b æ ˧  
ʈʂʰɯ˧ɭɯ˧	ʈʂʰ ɯ ˧ ɭ ɯ ˧  
ʈʰæ˧ɻæ˩	ʈʰ æ ˧ ɻ æ ˩  
ʐo˩˥	ʐ o ˩˥  
ʐv̩˩kv̩˩˥	ʐ v̩ ˩ k v̩ ˩˥  
ʝi˥se˩dʑo˩	ʝ i ˥ s e ˩ dʑ o ˩  
bo˩	b o ˩  
dzi˩hĩ˩	dz i ˩ h ĩ ˩  
dʑo˧ze˥	dʑ o ˧ z e ˥  
dʑo˧ɲi˥tsɯ˩	dʑ o ˧ ɲ i ˥ ts ɯ ˩  
dʑo˧˥	dʑ o ˧˥  
dʑɤ˩	dʑ ɤ ˩  
dʑɯ˧li˧	dʑ ɯ ˧ l i ˧  
dʑɯ˩nɑ˩mi˩ʁo˩˥	dʑ ɯ ˩ n ɑ ˩ m i ˩ ʁ o ˩˥  
gv̩˧	g v̩ ˧  
gv̩˩pʰæ˩˥	g v̩ ˩ pʰ æ ˩˥  
gɤ˩ʑi˥	g ɤ ˩ ʑ i ˥  
hɑ˧ʈʂʰɯ˧	h ɑ ˧ ʈʂʰ ɯ ˧  
hɤ˩˥	h ɤ ˩˥  
hɯ˧dʑo˧	h ɯ ˧ dʑ o ˧  
hɯ˧hĩ˧	h ɯ ˧ h ĩ ˧  
kwɤ˩	k wɤ ˩  
kwɤ˩tɕɯ˩	k wɤ ˩ tɕ ɯ ˩  
kʰv̩˩mi˩ki˥	kʰ v̩ ˩ m i ˩ k i ˥  
kʰv̩˩mi˩ʈʂʰɯ˥dʑo˩	kʰ v̩ ˩ m i ˩ ʈʂʰ ɯ ˥ dʑ o ˩  
le˧bi˩kv̩˩ze˩mæ˩	l e ˧ b i ˩ k v̩ ˩ z e ˩ m æ ˩  
le˧bi˩kwɤ˩tɕɯ˩lɑ˩	l e ˧ b i ˩ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
le˧bæ˧˥	l e ˧ b æ ˧˥  
le˧hɯ˩dʑo˩	l e ˧ h ɯ ˩ dʑ o ˩  
le˧lɑ˧˥	l e ˧ l ɑ ˧˥  
le˧mo˩	l e ˧ m o ˩  
le˧po˧˥	l e ˧ p o ˧˥  
le˧pɤ˥pɤ˩	l e ˧ p ɤ ˥ p ɤ ˩  
le˧tsʰɯ˩dʑo˩	l e ˧ tsʰ ɯ ˩ dʑ o ˩  
le˧tv̩˧	l e ˧ t v̩ ˧  
le˧tʰv̩˧ze˧	l e ˧ tʰ v̩ ˧ z e ˧  
le˧wo˥	l e ˧ w o ˥  
le˧ʂɯ˧ze˧	l e ˧ ʂ ɯ ˧ z e ˧  
le˧ʑi˩	l e ˧ ʑ i ˩  
le˧ʝi˩ze˩	l e ˧ ʝ i ˩ z e ˩  
lo˩dʑo˥	l o ˩ dʑ o ˥  
lɑ˧do˧	l ɑ ˧ d o ˧  
mo˧ʈʂʰɯ˧	m o ˧ ʈʂʰ ɯ ˧  
mv	m v  
mv̩˧di˧qo˥	m v̩ ˧ d i ˧ q o ˥  
mv̩˧dze˧	m v̩ ˧ dz e ˧  
mv̩˧ɭɯ˩sɯ˩pʰi˩	m v̩ ˧ ɭ ɯ ˩ s ɯ ˩ pʰ i ˩  
mv̩˩zo˩˥	m v̩ ˩ z o ˩˥  
mv̩˩zɯ˩ʈʂʰɯ˥dʑo˩	m v̩ ˩ z ɯ ˩ ʈʂʰ ɯ ˥ dʑ o ˩  
mv̩˩ɳɯ˥	m v̩ ˩ ɳ ɯ ˥  
mɤ˧tɕʰi˧	m ɤ ˧ tɕʰ i ˧  
õ˧bv̩˥	õ ˧ b v̩ ˥  
pi˧ɲi˥mæ˩	p i ˧ ɲ i ˥ m æ ˩  
pæ˧˥hwɤ˧	p æ ˧˥ h wɤ ˧  
pʰæ˧tɕi˥	pʰ æ ˧ tɕ i ˥  
qv̩˧ɻ̍˧ʈʂʰæ˧nɑ˥	q v̩ ˧ ɻ̍ ˧ ʈʂʰ æ ˧ n ɑ ˥  
qʰo˧˥	qʰ o ˧˥  
se˩	s e ˩  
so˧ɬi˧mi˧	s o ˧ ɬ i ˧ m i ˧  
so˧ɭɯ˧	s o ˧ ɭ ɯ ˧  
so˧ɲi˥	s o ˧ ɲ i ˥  
sɯ˧pʰi˧ɳɯ˧	s ɯ ˧ pʰ i ˧ ɳ ɯ ˧  
tɕɤ˧˥	tɕ ɤ ˧˥  
tɕɯ˩hĩ˩	tɕ ɯ ˩ h ĩ ˩  
tʰi˧di˩	tʰ i ˧ d i ˩  
tʰv̩˧qo˧ɳɯ˧	tʰ v̩ ˧ q o ˧ ɳ ɯ ˧  
tʰv̩˧v̩˧	tʰ v̩ ˧ v̩ ˧  
