Reference	Prediction	Ref_char	Pred_char	F_score_char	Precision_char	Recall_char
tɕe nɯnɯ ɣɯ ɯjwaʁ nɯ rʁɤβrʁɤβ kɯpa ci ŋu tɕ	tɕe nɯnɯ ɣɯ ɯjwaʁ nɯ rʁɤβrʁɤβ kɯpa ci ŋu tɕe	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'ɣ', 'ɯ', 'S', 'ɯ', 'j', 'w', 'a', 'ʁ', 'S', 'n', 'ɯ', 'S', 'r', 'ʁ', 'ɤ', 'β', 'r', 'ʁ', 'ɤ', 'β', 'S', 'k', 'ɯ', 'p', 'a', 'S', 'c', 'i', 'S', 'ŋ', 'u', 'S', 't', 'ɕ', '*']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'ɣ', 'ɯ', 'S', 'ɯ', 'j', 'w', 'a', 'ʁ', 'S', 'n', 'ɯ', 'S', 'r', 'ʁ', 'ɤ', 'β', 'r', 'ʁ', 'ɤ', 'β', 'S', 'k', 'ɯ', 'p', 'a', 'S', 'c', 'i', 'S', 'ŋ', 'u', 'S', 't', 'ɕ', 'e']	0.937	0.976	0.952
tɕendɤre iɕqha nɯ maka ɯʑo ʑo tonɯʑɣɤnɯkon qhe joɕe ɲɯŋ	tɕendɤre iɕqha nɯ maka aʑo ʑo tonɤʑɣɤnɯkonɯ qhe joɕe ɲɯŋu	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'm', 'a', 'k', 'a', 'S', 'ɯ', 'ʑ', 'o', 'S', 'ʑ', 'o', 'S', 't', 'o', 'n', 'ɯ', 'ʑ', 'ɣ', 'ɤ', 'n', 'ɯ', 'k', 'o', 'n', '*', 'S', 'q', 'h', 'e', 'S', 'j', 'o', 'ɕ', 'e', 'S', 'ɲ', 'ɯ', 'ŋ', '*']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'm', 'a', 'k', 'a', 'S', 'a', 'ʑ', 'o', 'S', 'ʑ', 'o', 'S', 't', 'o', 'n', 'ɤ', 'ʑ', 'ɣ', 'ɤ', 'n', 'ɯ', 'k', 'o', 'n', 'ɯ', 'S', 'q', 'h', 'e', 'S', 'j', 'o', 'ɕ', 'e', 'S', 'ɲ', 'ɯ', 'ŋ', 'u']	0.884	0.92	0.939
tɕendɤre sŋi χsɯsŋi ɲówɣznɤʁaʁ ʑo tɕendɤre	tɕendɤre li χsɯsŋi ɲɤ́wɣznɤʁaʁ ʑo tɕendɤre	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 's', 'ŋ', 'i', 'S', 'χ', 's', 'ɯ', 's', 'ŋ', 'i', 'S', 'ɲ', 'o', '́', 'w', 'ɣ', 'z', 'n', 'ɤ', 'ʁ', 'a', 'ʁ', 'S', 'ʑ', 'o', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', '*', 'l', 'i', 'S', 'χ', 's', 'ɯ', 's', 'ŋ', 'i', 'S', 'ɲ', 'ɤ', '́', 'w', 'ɣ', 'z', 'n', 'ɤ', 'ʁ', 'a', 'ʁ', 'S', 'ʑ', 'o', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e']	0.875	0.906	0.944
ɯjwaʁ nɯra qandzɤjo ɯjwaʁ tsa ɲɯfs	ɯjwaʁ nɯra qandzɤ ɯjo ɯjwaʁ tsa ɲɯfse	['ɯ', 'j', 'w', 'a', 'ʁ', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'q', 'a', 'n', 'd', 'z', 'ɤ', '*', '*', 'j', 'o', 'S', 'ɯ', 'j', 'w', 'a', 'ʁ', 'S', 't', 's', 'a', 'S', 'ɲ', 'ɯ', 'f', 's', '*']	['ɯ', 'j', 'w', 'a', 'ʁ', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'q', 'a', 'n', 'd', 'z', 'ɤ', 'S', 'ɯ', 'j', 'o', 'S', 'ɯ', 'j', 'w', 'a', 'ʁ', 'S', 't', 's', 'a', 'S', 'ɲ', 'ɯ', 'f', 's', 'e']	0.884	0.928	0.947
ɲɤnɤrɯra ri rcanɯ ɯtɯqanɯ pjɤsɤre ʑo	ɲɤnɤrɯra ri rcanɯ ɯtɯqa  nɯ pjɤsɤre ʑo	['ɲ', 'ɤ', 'n', 'ɤ', 'r', 'ɯ', 'r', 'a', 'S', 'r', 'i', 'S', 'r', 'c', 'a', 'n', 'ɯ', 'S', 'ɯ', 't', 'ɯ', 'q', 'a', '*', '*', 'n', 'ɯ', 'S', 'p', 'j', 'ɤ', 's', 'ɤ', 'r', 'e', 'S', 'ʑ', 'o']	['ɲ', 'ɤ', 'n', 'ɤ', 'r', 'ɯ', 'r', 'a', 'S', 'r', 'i', 'S', 'r', 'c', 'a', 'n', 'ɯ', 'S', 'ɯ', 't', 'ɯ', 'q', 'a', 'S', 'S', 'n', 'ɯ', 'S', 'p', 'j', 'ɤ', 's', 'ɤ', 'r', 'e', 'S', 'ʑ', 'o']	0.935	0.984	0.944
tɕendɤre nɤkinɯ tɕe nɯra pɯfse nɯra pɯraŋ tɕe kɯre jɤɣea pɯra tot	tɕendɤre nɤkinɯ tɕe nɯra pɯfse nɯra pɯraŋ tɕe kɯre jɤɣea pɯra toti	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 't', 'ɕ', 'e', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'p', 'ɯ', 'f', 's', 'e', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'p', 'ɯ', 'r', 'a', 'ŋ', 'S', 't', 'ɕ', 'e', 'S', 'k', 'ɯ', 'r', 'e', 'S', 'j', 'ɤ', 'ɣ', 'e', 'a', 'S', 'p', 'ɯ', 'r', 'a', 'S', 't', 'o', 't', '*']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 't', 'ɕ', 'e', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'p', 'ɯ', 'f', 's', 'e', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'p', 'ɯ', 'r', 'a', 'ŋ', 'S', 't', 'ɕ', 'e', 'S', 'k', 'ɯ', 'r', 'e', 'S', 'j', 'ɤ', 'ɣ', 'e', 'a', 'S', 'p', 'ɯ', 'r', 'a', 'S', 't', 'o', 't', 'i']	0.933	0.975	0.95
ɯmɯntoʁ wuma ʑo mpɕɤr ɯdi sɤjlo	ɯmɯntoʁ wuma ʑo mpɕɤr ɯdi sɤjloʁ	['ɯ', 'm', 'ɯ', 'n', 't', 'o', 'ʁ', 'S', 'w', 'u', 'm', 'a', 'S', 'ʑ', 'o', 'S', 'm', 'p', 'ɕ', 'ɤ', 'r', 'S', 'ɯ', 'd', 'i', 'S', 's', 'ɤ', 'j', 'l', 'o', '*']	['ɯ', 'm', 'ɯ', 'n', 't', 'o', 'ʁ', 'S', 'w', 'u', 'm', 'a', 'S', 'ʑ', 'o', 'S', 'm', 'p', 'ɕ', 'ɤ', 'r', 'S', 'ɯ', 'd', 'i', 'S', 's', 'ɤ', 'j', 'l', 'o', 'ʁ']	0.937	0.976	0.952
chɯtɯt tɕe tɕe nɯnɯ thɯtɯt ri tɕe tɕendɤr	chɯtɯt tɕe tɕe nɯnɯ thɯtɯt ri tɕe tɕendɤre	['c', 'h', 'ɯ', 't', 'ɯ', 't', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 't', 'h', 'ɯ', 't', 'ɯ', 't', 'S', 'r', 'i', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', '*']	['c', 'h', 'ɯ', 't', 'ɯ', 't', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 't', 'h', 'ɯ', 't', 'ɯ', 't', 'S', 'r', 'i', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e']	0.915	0.985	0.923
tɕendɤre iɕqha tɤrte ɯkɯnɤrte tɯrme nɯ kɯ wo mɤʁdɯɣ manɯtɯ manɯtɯnɯzdɯɣnɯ kɤmbɣom mɤra ma aʑo aβlu tu tot	tɕendɤre iɕqha tɤrte kɯnɤrte tɯrme nɯ kɯ wo mɤʁdɯɣ manɯtɯmanɯtɯnɯzdɯɣ nɯ kɤmbɣo ma ra ma ʑo aβlu tu toti	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 't', 'ɤ', 'r', 't', 'e', 'S', 'ɯ', 'k', 'ɯ', 'n', 'ɤ', 'r', 't', 'e', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'w', 'o', 'S', 'm', 'ɤ', 'ʁ', 'd', 'ɯ', 'ɣ', 'S', 'm', 'a', 'n', 'ɯ', 't', 'ɯ', 'S', 'm', 'a', 'n', 'ɯ', 't', 'ɯ', 'n', 'ɯ', 'z', 'd', 'ɯ', 'ɣ', '*', 'n', 'ɯ', 'S', 'k', 'ɤ', 'm', 'b', 'ɣ', 'o', 'm', 'S', 'm', '*', 'ɤ', 'r', 'a', 'S', 'm', 'a', 'S', 'a', 'ʑ', 'o', 'S', 'a', 'β', 'l', 'u', 'S', 't', 'u', 'S', 't', 'o', 't', '*']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 't', 'ɤ', 'r', 't', 'e', 'S', '*', 'k', 'ɯ', 'n', 'ɤ', 'r', 't', 'e', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'w', 'o', 'S', 'm', 'ɤ', 'ʁ', 'd', 'ɯ', 'ɣ', 'S', 'm', 'a', 'n', 'ɯ', 't', 'ɯ', '*', 'm', 'a', 'n', 'ɯ', 't', 'ɯ', 'n', 'ɯ', 'z', 'd', 'ɯ', 'ɣ', 'S', 'n', 'ɯ', 'S', 'k', 'ɤ', 'm', 'b', 'ɣ', 'o', '*', 'S', 'm', 'a', 'S', 'r', 'a', 'S', 'm', 'a', 'S', '*', 'ʑ', 'o', 'S', 'a', 'β', 'l', 'u', 'S', 't', 'u', 'S', 't', 'o', 't', 'i']	0.932	0.933	0.94
ɯŋgɯ lɤɣi jɤɣ ma sɤcɯ mɤalɤt nɯra toti	ɯŋgɯ lɤɣi jɤɣ ma sɤcɯ malɤt nɯra toti	['ɯ', 'ŋ', 'g', 'ɯ', 'S', 'l', 'ɤ', 'ɣ', 'i', 'S', 'j', 'ɤ', 'ɣ', 'S', 'm', 'a', 'S', 's', 'ɤ', 'c', 'ɯ', 'S', 'm', 'ɤ', 'a', 'l', 'ɤ', 't', 'S', 'n', 'ɯ', 'r', 'a', 'S', 't', 'o', 't', 'i']	['ɯ', 'ŋ', 'g', 'ɯ', 'S', 'l', 'ɤ', 'ɣ', 'i', 'S', 'j', 'ɤ', 'ɣ', 'S', 'm', 'a', 'S', 's', 'ɤ', 'c', 'ɯ', 'S', 'm', '*', 'a', 'l', 'ɤ', 't', 'S', 'n', 'ɯ', 'r', 'a', 'S', 't', 'o', 't', 'i']	0.938	0.944	0.989
ɯβri chɤmar rcanɯ tɕendɤre	ɯβri chama rcanɯ tɕendɤre	['ɯ', 'β', 'r', 'i', 'S', 'c', 'h', 'ɤ', 'm', 'a', 'r', 'S', 'r', 'c', 'a', 'n', 'ɯ', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e']	['ɯ', 'β', 'r', 'i', 'S', 'c', 'h', 'a', 'm', 'a', '*', 'S', 'r', 'c', 'a', 'n', 'ɯ', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e']	0.895	0.917	0.953
staʁpɯ nɤki tɯsqar ri ɯcu ɲɯlɤt mɯpɯŋɡrɤl	staʁpɯ nɤki tɯsqarcu ɲɯlɤtnɯ mɯpɯŋgrɤl	['s', 't', 'a', 'ʁ', 'p', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'S', 't', 'ɯ', 's', 'q', 'a', 'r', 'S', 'r', 'i', 'S', 'ɯ', 'c', 'u', 'S', 'ɲ', 'ɯ', 'l', 'ɤ', 't', '*', '*', 'S', 'm', 'ɯ', 'p', 'ɯ', 'ŋ', 'ɡ', 'r', 'ɤ', 'l']	['s', 't', 'a', 'ʁ', 'p', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'S', 't', 'ɯ', 's', 'q', 'a', 'r', '*', '*', '*', '*', '*', 'c', 'u', 'S', 'ɲ', 'ɯ', 'l', 'ɤ', 't', 'n', 'ɯ', 'S', 'm', 'ɯ', 'p', 'ɯ', 'ŋ', 'g', 'r', 'ɤ', 'l']	0.808	0.879	0.848
χajaŋ nɯ kɯrɯ skɤt ŋ	χaja nɯ kɯrɯskɤt ŋu	['χ', 'a', 'j', 'a', 'ŋ', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'r', 'ɯ', 'S', 's', 'k', 'ɤ', 't', 'S', 'ŋ', '*']	['χ', 'a', 'j', 'a', '*', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'r', 'ɯ', '*', 's', 'k', 'ɤ', 't', 'S', 'ŋ', 'u']	0.823	0.857	0.875
iʑora tɕe sɤndɤɣ tutinɯ ɕt	iʑora tɕe sɤndɤɣ tutinɯ ɕti	['i', 'ʑ', 'o', 'r', 'a', 'S', 't', 'ɕ', 'e', 'S', 's', 'ɤ', 'n', 'd', 'ɤ', 'ɣ', 'S', 't', 'u', 't', 'i', 'n', 'ɯ', 'S', 'ɕ', 't', '*']	['i', 'ʑ', 'o', 'r', 'a', 'S', 't', 'ɕ', 'e', 'S', 's', 'ɤ', 'n', 'd', 'ɤ', 'ɣ', 'S', 't', 'u', 't', 'i', 'n', 'ɯ', 'S', 'ɕ', 't', 'i']	0.929	0.98	0.941
ɕɤrzaŋ nɯra chɯβzunɯ tɕe nɯra	ɕɤrzaŋ nɯra chɯβzunɯ tɕe nɯra	['ɕ', 'ɤ', 'r', 'z', 'a', 'ŋ', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'c', 'h', 'ɯ', 'β', 'z', 'u', 'n', 'ɯ', 'S', 't', 'ɕ', 'e', 'S', 'n', 'ɯ', 'r', 'a']	['ɕ', 'ɤ', 'r', 'z', 'a', 'ŋ', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'c', 'h', 'ɯ', 'β', 'z', 'u', 'n', 'ɯ', 'S', 't', 'ɕ', 'e', 'S', 'n', 'ɯ', 'r', 'a']	1.0	1.0	1.0
