Reference	Prediction
ɯmɯntoʁ wuma ʑo mpɕɤr ɯdi sɤjloʁ	ɯmɯntoʁ wuma ʑo mpɕɤr ɯdi sɤjloʁ
chɯtɯt tɕe tɕe nɯnɯ thɯtɯt ri tɕe tɕendɤre	chɯtɯt tɕe tɕe nɯnɯ thɯtɯt ri tɕe tɕendɤre
tɕendɤre iɕqha tɤrte ɯkɯnɤrte tɯrme nɯ kɯ wo mɤʁdɯɣ manɯtɯ manɯtɯnɯzdɯɣnɯ kɤmbɣom mɤra ma aʑo aβlu tu toti	tɕendɤre iɕqha tɤrte kɯnɤrte tɯrme nɯ kɯ wo mɤʁdɯɣ manɯtɯmanɯtɯnɯzdɯɣ nɯ kɤmbɣo ma ra ma ʑo aβlu tu toti
ɯŋgɯ lɤɣi jɤɣ ma sɤcɯ mɤalɤt nɯra toti 	ɯŋgɯ lɤɣi jɤɣ ma sɤcɯ malɤt nɯra toti
ɯβri chɤmar rcanɯ tɕendɤre 	ɯβri chama rcanɯ tɕendɤre
staʁpɯ nɤki tɯsqar ri ɯcu ɲɯlɤt mɯpɯŋɡrɤl 	staʁpɯ nɤki tɯsqarcu ɲɯlɤtnɯ mɯpɯŋgrɤl
χajaŋ nɯ kɯrɯ skɤt ŋu	χaja nɯ kɯrɯskɤt ŋu
iʑora tɕe sɤndɤɣ tutinɯ ɕti	iʑora tɕe sɤndɤɣ tutinɯ ɕti
ɕɤrzaŋ nɯra chɯβzunɯ tɕe nɯra 	ɕɤrzaŋ nɯra chɯβzunɯ tɕe nɯra
kɯɤmtɕoʁ ɯstu nɯ pɯkɤʁndzɤr tɕe 	kɤmtɕoʁ stu nɯ pɯkɤʁndzɤr tɕe
akɤnɯzdɯɣ ri kɯtu me tɕe	akɤnɯzdɯɣ ri kɯtu me tɕe
cai ɯjwaʁ ɯtaʁ ri ɲɯβze ɲɯŋu	ɣɤʑu qhe ʑɯrɯʑɤri
tɕendɤre ɯŋga maka kɯtu maŋe nɯ tɯŋga toŋga maŋe nɯ nɯra toti	tɕendɤre ɯŋga maka kɯtu maŋe nɤ tɯŋga toŋga maŋe nɯ nɯra toti
tɯrme ɣɯ tɯŋgo ɲɯŋu tɕe	tɯrme ɣɯ tuŋgo ɲɯŋu tɕe
tɕe toŋ ɲɯfse tɕe núndʐa toŋphɯl tukɯti ŋu	tɕe toŋ ɲɯfse tɕe núndʐa toŋphɯl tukɯti ŋu
wuma ʑo mɯ́jnɯɣɯ mɯ́jnɯɣɯjpa tɕe	wuma ʑo mini ɣɯ mɯj nɯɣɯ jpa tɕe
rtazga nɯ pjɯ́wɣta ŋu	tazga nɯ pjɯ́wɣta ŋu
tɕe ma nɤkinɯ ɯru nɯnɯ fsapaʁndza pe	tɕe ma nɤkinɯ ɯru nɯnɯ fsapaʁndza pe
pɯnɯcinɯ ʑo tɕe nɯ kunaχthɤβ tɕe	pɯnɯcinɯ ʑo tɕe tɕe nɯ kunaχthɤβ tɕe
tɤrɤku ra ɣɯmɯrki ra ma me	tɤrɤku ra ɣɯmɯrki ra ma me
tɕe li kɯnɯkho joɕe	tɕe li kɯnɯkho joɕe
iɕqha tɤtɕɯ tɯlɤt nɯnɯ nɤkinɯ kɯmaʁ li kɯrɤtsɣe ra nɯrca joɕe tɕe 	iɕqha tɤtɕɯ tɯlɤt nɯnɯ nɤkinɯ kɯmaʁ ali kɯrɤtsɣe ra nɯrca joɕe tɕe
ma nɯnɯ zrɯɣ nɯ li saʁnɤt	ma nɯnɯ zrɯɣ nɯ li saʁnɤt
nɯnɯ nɯɬoʁ ʑo tɕe tɕe tukɯnɯna pjɤjɤɣ ɲɯŋu	nɯnɯnɯɬoʁ ʑo tɕe tɕe tukɯnɯna pjɤjɤɣ ɲɯŋu
tuʁndi pjɯsat nɯra ɲɯŋgrɤl tɕe tɕe	tuʁndi pjɯsat nɯra ɲɯŋgrɤl tɕe tɕe
si nɯ apɯndzur qhe 	si nɯ apɯmdzo qhea
longtou ɯpɤrthɤβ ri nɯro ki ʑo tustunɯ ra	longthu pɤrthɤβ ri nɯroki ʑo tustunɯ ra
sɯŋgɯ ri kurɤʑi ɕti tɕe 	sɯŋgɯ kurɤʑi ɕti tɕe
χsɯɣjɤn tɤatɕhɯza tɕe tɕendɤre nɯ spjaŋkɯ ɲɯβzea ŋu tɕe	χsɯjɤn ta tɕhɯza tɕe tɕendɤre spjaŋkɯ ɲɯβzea ŋu tɕe
kɤtaʁ kɤ́wɣthɯ tɕe tɕendɤre	kɤtaʁ kɤ́wɣthɯ tɕe tɕendɤre
tɕendɤre ʑmbrɯ ɯtaʁ toɕe tɕe nɯ ɕɯŋgɯ ɯʑo ɯsɤtɕha nɯ tɕu nɤki yalishan kɤti nɯnɯtɕu	tɕendɤre ʑmbrɯ ɯtaʁ toɕe tɕe nɯ ɕɯŋgɯ ɯʑo sɤtɕha nɯtɕu nɤki yalishan kɤti nɯnɯtɕu
ɲɤlɤt tɕe tɕendɤre iɕqha nɯ 	ɲɤlɤt tɕe tɕendɤre iɕqha nɯ
ɯku ɯtaʁ kutɯtɯɣ ʑo tɕe tɕendɤre	ra ɲɤsɯso ri ɯku ɯtaʁ kɯtɯtɯɣ ʑo tɕe tɕendɤre
nɯ ɯtaʁ nɯtɕu iɕqha pjɯrɯ chonɤ rɯnbotɕhi nɯra kundzoʁ ɲɯŋgrɤl tɕe tɕe iɕqha 	nɯ ɯtaʁ nɯtɕu iɕqha pjɯrɯ chondɤ rɯnbotɕhi nɯra kundzoʁ ɲɯŋgrɤl tɕe tɕe iɕqha
ki sakaβ ɯrkɯ nɯtɕu si ɯɣɤ́ʑu toti	ki saka ɯrkɯ tɯ tɕe si ɣɤʑu toti
tɕe nɯnɯ ndʑɯrwɯz ŋu	tɕe nɯnɯ ndʑɯrwɯz ŋu
nɤki hehua kunɤmɲama ɲɯɕti ma aʑo hehua ɲɯmaʁa 	ihuehua kunɤmɲa ma ɲɯɕti ma aʑo huehua ɲɯmaʁa
tɕendɤre iɕqha khɯɣɲɟɯ ɣɯ ɯjɤlwa χchoʁe jorɤɕi toti ɲɯŋu	tɕendɤre iɕqha nɯ khɯɣɲɟɯ ɣɯ ɯjɤlwa nɯ χchoʁe jɤrɤɕi toti ɲɯŋu
tɕe tuɣɤzjɤɣlɤɣ ʑo kɯfse ɲɯɕti wo	tɕe tuɣɤzjɤɣlɤɣ ʑo kɯfse ɲɯɕti wo
tɯrme ci nɯɕar tɕe kɯki nɤki iɕqha	tɯrme ci nɯɕar tɕe kɯki nɤki iɕqha
pjɯxtsɯnɯ nɤ pjɯxtsɯnɯ tɕe	bjɯxtsɯ nɯ pjɯstsɯnɯ tɕe
sɲikuku ʑo nɯtɕu lunɤtsoʁ pjɤŋu	sɲikuku ʑo nɯtɕu lunɤtsoʁ pjɤŋu
tsuku ɲaʁ tsuku aqarŋɯrŋe 	tsuku ɲaʁ tsuko ɯqar ŋɯrŋe
li ɯkha jozɣɯt	li ikha jozɣɯt
kúwɣrtoʁ ɲɯsaχsɤl jamar ci ma maŋe	kúwɣrtoʁ ɲɯsaχsɤl jamar ci ma maŋe
iʑora tɤrte chɯnɯβzunɯ ŋu tɕe	iʑora tɤrte chɯnɯβzunɯ ŋu tɕe
tɕe dɯxpa ma nɯ ɯpɤro ra joɣɯt 	tɕe dɯxpa ma ŋɤpɤro ra joɣɯt
tɕendɤre iɕqha nɯ rɟɤlpu ɣɯ ɯχpi pjɤfɕɤt nɤki ɯtɯfɕɤt pjɤβzu tɕe	tɕendɤre iɕqha nɯ rɟɤlpu ɣɯ ɯχpi pjɤfɕɤt nɤki ɯtɯfɕɤt pjɤβzu tɕe
tɕendɤre kɯrɯtshoŋpa nɯ ɲɤrga qhe nɯ rŋɯl nɯkɤmbi nɯnɯ tondo qhendɤre ɯkha pɕoʁ jonɯɕe	tɕendɤre kɯrɯtshoŋpa nɯ ɲɤrga qhe nɯ rŋɯl nɯkɤmbi nɯnɯ tondo qhendɤre ɯkha ɯpɕoʁ jonɯɕe
nɯnɯ kumarnɯ ŋu tɕe tɕe nɯnɯ	nɯnɯ kumar nɯ ŋu tɕe tɕe nɯnɯ ɕe
tɕendɤre nɯ jamar ri tɕe kɯki tɤtɕɯ ki nɯnɯ jɤarinɯ jɤɕqhlɤtnɯ ɯqhu tɕe tɕendɤre ɯŋga nɯnɯ toŋga	tɕendɤre nɯ jamar tɕe kɯki tɤtɕɯ ki nɯnɯ jɤari nɯ ɯ jɤɕqhlɤt nɯ ɯqhu tɕe tɕendɤre ɯŋga nɯnɯ toŋga
mbrajqhɤt rcanɯ aʁɤndɯndɤt ʑo tuɬoʁ ɕti	mbriqhɤ rcanɯ aʁɤndɯndɤt ʑo tuɬoʁ ɕti
tɕe nɯ ma ɯɕki jɤɣi ra ɯkɯti pjɤme 	tɕe nɯ ma ɯɕki jɤɣi ra kɯti pjɤme
si ɯkɯphɯt nɯ kɯ li ci ɯrʑaβ ɲɤɕar	si kɯphɯt nɯ kɯ li ci ɯrʑaβ ɲɤɕar
nɯ ɲɯɤʑɴɢɯʑɴɢoʁ qhe 	nɯ ɲɤʑɢuʑɴɢoʁ qhe
sɤpɤzrɤzi ɣɯ ɯlocu ri tɕe kɤmɲɯ ɣɯ ɯzgo nɯnɯ	sɤpɤz rɤʑi ɣɯ ɯlɤcu ri tɕe kɯɤmɲɯ ɣ ɯzgo nɯnɯ
núndʐa nɯ lɯlutɯcha ʑo ɲɯŋu	núndʐa nɯ lɯlu tɯcha ʑo ɲɯŋu q
nɯɕa qajɯ ɯpɯ ŋu tɕe nɯ ɲɯkɤɣɤme ftɕaka ʁɟa tuβzu ɕti ma	nɯɕa qajɯ ɯpɯ ŋu tɕe ɲɯkɤɣɤme ftɕaka ʁɟa tuβzunɯ ɕti ma
apɯŋu nɤ iɕqha spjaŋkɯ ɣɯ ɯndʐi nɯnɯ ɯʑo kɯsɯsu kɯ spjaŋkɯ nɯ ɣɯ ɯndʐi pjɯ́wɣqaʁ tɕe 	apɯŋu nɤ iɕqha spjaŋkɯ ɣɯ ɯndʐi nɯnɯ ɯʑo kɯsɯsu kɯ spjaŋkɯ nɯ ɣɯ ɯndʐi pjɯ́wɣqaʁ tɕe
mɤʑɯ iɕqha  nɯ pɯkɤɣɤla kɯfse ɣɤʑu	mɤʑɯ iɕqha nɯ pɯkɤɣɤla kɯfse ɣɤʑu
tham ɣɯ tɕe tɕendɤre ɯtɯrpa shijin ɣɤʑu gongjin ɣɤʑu	pham ɣɯ tɕe tɕendɤre ɯtɯrpa shijin ɣɤʑu gongjin ɣɤʑu
tumbro mɤcha sna ra kɯtu me	ɯsɯŋo kumɯtɕa u
tɕe nɯnɯ tɕu sɯŋgɯ jɤazɣɯt tɕe sɯŋgɯ ɯrkɯ nɯtɕu nɤkinɯ qachɣa ci pjɤkɤmdzɯci	tɕe nɯnɯ tɕu sɯŋgɯ jɤazɣɯt tɕe sɯŋgɯ ɯrkɯ nɯ tɕu nɤkinɯ qachɣa ci pjɤkɤmdzɯci
tɕeri nɯnɯ tɤmdzɤrgi tɯrdoʁ ɣɯ ɯmɯntoʁ nɯ 	tɕeri nɯnɯ tɤmdzɤrgi tɯrdoʁ ɣɯ ɯmɯntoʁ nɯ
tɕe ɯkɤpa ɲɤme qhe tɕendɤre nɯtɕu tɕe tɯsi ʑo kɤnɤjo pjɤɕti 	tɕe ɯkɤpa ɲɤme qhe tɕendɤre nɯtɕu tɕe tɯsi ʑo kɤnɤjo pjɤɕti
ki tɕhɯkɤɣar ɣɯ ʑmbri sthɯci mɯ́jwxti	ki tɕhɯkɤɣar ɣɯ ʑmbri sthɯci mɯ́jwxti
tɤkhe pɣɤtɕɯ nɯ kɯ nɤki kuɕɯm	tɤkhe pɣɤtɕɯ ɣɯ ɯnɯ kɯ nɤki kuɕɯm
tɕendɤre nɤʑo rcanɯ maka pɣa ra ɣɯ nɯtɤru ɲɯtɯsna toti ɲɯŋu	tɕendɤre nɤʑo rcanɯ maka pɣa ra ɣɯ nɯtɤru ɲɯtɯsna toti ɲɯŋu
tɤɕime nɯ khɯɣɲɟɯ ɯrkɯ nɯtɕu thɯari tɕe 	tɤɕime nɯ khɯwɣɲɟɯ ɯrkɯ nɯ tɕu thɯari tɕe
rŋɯl kɯ qaʁ pjɤsɯβzu rŋɯl kɯ ldɯɣɯ pjɤsɯβzu rŋɯl kɯ tɯrpa pjɤsɯβzunɯ	rŋɯl kɯ qaʁ pjɤsɯβzu rŋɯl kɯl ʑdɯɣ pjɤsɯβzu rŋɯl kɯ tɯrpa pjɤsɯβzunɯ
nɯ ɯŋgɯ pjɯɣinɯ tɕe tɕe 	nɯ ɯŋgɯ pjɯɣinɯ tɕe tɕe
jiqi pjɯlɤtnɯ ɲɯɕti tɕe 	yiqhi pjɯlɤtnɯ ɕti tɕe
tɕe nɯnɯ chɯnɯtsɯm qhe 	tɕe nɯnɯ chɯnɯtsɯm qhe
khɯna ndɤre 	khɯna mɯpɯfɕɤt tɕi ɯŋu kɯna ndɤre
tɕheme kɯpɣi nɯ kɯ nɤkinɯ rɟɤlpu ɣɯ ɯjaʁ nɯ ɲɤ ɯtɕɯ nɯ ɯjaʁ ɲɤsɯɕlɯɣ qhendɤre jo	tɕheme ɯkɯpɣi nɯ kɯ nɤkinɯ rɟɤlpu ɣɯ ɯjaʁ nɯ ɤɯtɕɯ nɯ ɯjaʁ ɲɤsɯɕlɯɣ qhendɤre
tɕendɤre nɤki tshɤ tshɤnmu nɯ tɤrga kɯ pjɤsɤre	tɕendɤre nɤki tshɯ tshɤtnmu nɯ tɤrga kɯ pjɤsere
tu ɲɯŋgrɤl ŋgrɤl mɤŋgrɤl mɤxsi	tu ɲɯŋgrɤl ŋgrɤmɤ ŋgrɤl mɤxsi
ma nɯnɯ koŋla sɯŋgɯ ri kurɤʑi ɕti qhe	ma nɯnɯ koŋla sɯŋgɯ i kurɤʑi ɕti qhe
nɯnɯ zgo ɯpa nɯtɕu pjɤsɯxɕe tɕe 	nɯnɯ zgo ɯpa nɯ tɕu pjɤsɯxɕe tɕe
tɕe nɯ qaʑo nɯnɯ qibashi jin bajiushi jin jamar apɯtu tɕe	tɕe nɯ qaʑo nɯnɯ tɕhipa shi ci  baju shiji nɯ jamar apɯtu tɕe
nɤʑo aʑo kɯ tɯtatɯt tɯtɤtɯta nɯ tɤste tɕe tɕendɤre	nɤʑo aʑo kɯ tɯta ta nɯ tɤste tɕe tɕendɤre
tɕendɤre ɯʑo kɯ tshitsuku ɲɤndɯn tɕe khɤndɯn ra ɲɤβzu tɕe tɕendɤre nɤkinɯ iɕqha nɯ	tɕendɤre ɯʑo kɯtshi tsuku ɲɤndɯn tɕe khɤndɯn ra ɲɤβzu tɕe tɕendɤre nɤkinɯ iɕqha nɯ
kɯmaʁ tɯrme ɯxso tɯrme ra nɯtɕhaʁra pjɤŋu	kɯmaʁ tɯrme ɯxso tɯrme ra nɯtɕhaʁra pjɤŋu
tɕe tówɣzrɤŋgat tɕe tɕendɤre nɯnɯ kɯ iɕqha nɯ  tɯci tɯtɤste torku	tɕe tozraŋga tɕe tɕendɤre nɯnɯ kɯ iɕqha nɯ tɯci tɯtɤste toto ti
tɕe nɤki nɯ ɯfso tɕe tɕendɤre li nɯ pjɤfse ɲɯŋu tɕendɤre iɕqha nɯ iɕqha nɯ nɤkinɯ	tɕe nɤki nɯ ɯfso tɕe tɕendɤre li nɯ pjɤfse ɲɯŋu tɕe tɕendɤre iɕqha nɯ iɕqha nɯ nɤkinɯ
tɕe nɯ kɯfse tuntɕhoznɯ ɲɯŋu	tɕe nɯ kɯfse tuntɕhoznɯ ɲɯŋu
ma sɤznɤrɯre kɯ ʑo jonɯɕe 	ma sɤz znɤrɯre kɯ ʑo jonɯɕe
kɯnɯsuwa tɕe kɯnɯzhangang 站岗	kɯnɯsoa tɕe kɯnɯtʂan kɯaŋ fangshaodi
aʑo nɤki tɤɕime ci ŋua ri koŋla ʑo tɤɕime ŋua toti	aʑo nɤki tɤɕime ci ŋua ri koŋla ʑo tɤɕime ŋua toti
nɯreri praʁ ɯŋgɯ ri tʂu tukɯɣi ra tɕe	nɯreri praʁ ɯŋgɯ ri tʂu tukɯɣi ra tɕe
tɕe tɯrmɯ kɤɣe jamar tɕe tɕendɤre	tɕe tɯrmɯ kɤɣe jamar tɕe tɕendɤre
arŋi	arŋi
tɕe mɯntoʁ mɤʑɯ kɯmpɕɤr ɲɯtɯɤpanɯ ɕti toti ɲɯŋu	tɕe mɯntoʁ mɤʑɯ ʑo kɯmpɕɤr ɲɯtɤpanɯ ɕti toti ɲɯŋu
tɕendɤre kɯki tɤtɕɯ ki kɯ nɯnɯ wuma ʑo nɯnɯ pɯkɤnɤtsɯ nɯnɯ nɤkinɯ nɤkinɯ tosɯsaχsɤl ɕti ndɤre 	tɕendɤre kɯki tɤtɕɯ kɯ kɯ nɯnɯ wuma ʑo nɯnɯ pɯkɤnɤtsɯ nɯnɯ nɤkinɯ nɤkinɯ tossaχsɤl ɕti ndɤre
ɯzwa ɯʑoz ɯci ɯʑoz kɯfse ɲɯɤrɤmgrɯndɯr ŋu	ɯzwa ɯʑoz ɯci ɯʑoz kɯfse ɲɯɤrɤmgrɯndɯr m
kɯki nɯ ma aʑo fɕata me tɕe kɯki aʑo ɕkom tumtshia ki ɣɯ ɯχpi ci pjɯfɕata toti	nɯ ma aʑo fɕata me tɕe kɯki aʑo ɕkom tumtshia kɯ ɣɤχpi ci pjɯfɕata toti
tɕe nɤkinɯ iɕqha	tɕe nɤkinɯ iɕqha
qachɣa nɯnɯ qachɣa ɣɯ ɯndʐi nɯnɯ nɤkinɯ	chɣa nɯnɯ qachɣa ɣɯ ɯndʐi nɯnɯ ɤki
mɯpjɤnɯtso tɕe tɕe 	mɯpjɤnɯtso tɕe ɕe aie
nɯ ɕkrɤz ʁɟa ʑo sɯŋgɯ ŋu tɕe	nɯ ɕkrɤz ʁɟa ʑo sɯŋgɯ ŋu tɕe
tɕe prɤm pjɯ́wɣlɤt qhae tɕe qartsɯ tɕe paʁndza nɯnɯ stoʁ ɯβɣi nɯ ŋu	tɕe ɯprɤm pjɯ́wɣlɤt qhe tɕe qartsɯ tɕe paʁndza nɯ stoʁ ɯβɣi nɯ ŋu
tɕe nɯ toʁde tɤnɯna tɕe tɕe li kɤndza ra khro tondza tɕe tɕendɤre	tɕe nɯ toʁde tonɯna tɕe tɕe li kɤndza ra khro tondza tɕe tɕendɤre
ɯʑo kɯ iɕqha χɕɤlkɯm nɯtɕu juru tɕe tɕendɤre	ɯʑo kɯ iɕqha χɕɤl kɯm nɯtɕu juru tɕe tɕendɤre
ɯtɯjpum ɯtɯrɲɟi ɲɯsaχaʁ ʑo tɕe	ɯtɯjpum ɯtɯrɲɟi ɲɯsaχaʁ ʑo tɕe
tɕe nɯnɯ ma zoŋzoŋ ʑo pa tɕe tɕe nɯnɯ ɕkɤzoŋzoŋ tukɯti ŋu	tɕe nɯnɯ ma zoŋzoŋ ʑo pa tɕe ɕe nɯnɯ ɕkɤzɯŋzaŋ tukɯti ŋu
mtha ɯndɤcu ri woχco kɤti ci tu tɕe nɯ tɯji ɯrmi	ɯmtha ɯlɤcu ri wo ɯχco kɤti ci tu tɕe nɯ
kɯxtɕi nɯnɯ alibaba pjɤrmi	kɯxtɕi nɯnɯ alibapa pjɤrmi
tɕe ɯxtɤpa cho ɯmi ɯjaʁ ɯŋgɯchu nɯra ɲɯwɣrum	tɕe xtɤpa cho ɯmi ɯjaʁ ɯŋgɯchu nɯra ɲɯwɣrum
tɕendɤre ɯpɕi ɬoʁ ʑo pɯŋu tɕe tɕendɤre lɯlu kɯ nɯɕɯmɯma ʑo kówɣndo	tɕendɤre ɯpɕiɬoʁ ʑo pɯpɯŋu tɕe tɕendɤre lɯlu kɯnɯɕɯmɯma ʑo koɣndo
aʑo kutɕu kɯki kɤntɕhaʁ ɯŋgɯ kɯ kuŋkea tɕe	aʑo kutɕu kɯki kɤntɕhaʁ ɯŋgɯ ki kɯŋkea tɕe kɯ
tɯrme ra tɯrme ra tsuku kɯdɤn kɯ ʑo maka tukɤnɤjoʁjoʁ tukɤfstɤt nɯ ɲɯrganɯ ma khramba pɯnnɯŋu kɯnɤ 	tɯrme ra tɯrme ra tsuku kɯdɤn kɯ ʑo maka tukɤnɤjoʁjoʁ tukɤstɤn nɯ ɲɯrganɯ ma khramba pɯnɯŋu kɯnɤ
tɕendɤre to tɤmu nɯ kɯ tɤtʂu nɯ tu nɤkinɯ iɕqha nɯ ɯthoʁ nɯtɕu thɤlwa tɯspra tomɟa tɕe nɤkinɯ 	tɕendɤre tɤmun kɯ tɤtʂu nɯ nɤkinɯ iɕqha nɯ ɯthoʁ nɯ tɕe thɤlwa tɯsprat tomɟa tɕe nɤkinɯ
nɯ ɯŋgɯ kurɤʑi ɲɯsɯsɤm toti	nɯ ɯŋgɯ kurɤʑi ɲɯsɯsɤm toti
mɯɕɯku kɤti nɯnɯ nɯ praʁwɯ ɯlɤcu 	mɯɕɯku kɤti nɯ nɯnɯ praʁβɯlɤcu
tɕendɤre kɯki pɤjkhu raz nɯ ɲɯɤsɯtaʁ ɕti toti	tɕendɤre kɯki pɤjkhɯ raz nɯ ɲɤsɯtaʁ ɕti toti tɕendɤre
tɕendɤre nɯ kɯfse pjɤŋu tɕe	tɕendɤre nɯ kɯfse pjɤŋu tɕe
ɕtuɣɤŋoʁ mɤjɤɣ toti	ɕtuɣɤŋoʁ mɤjɤɣ i
nɯ kɯ tɕhi tatɯt ʑo nɯnɯ iɕqha tɤru ɯtɕɯ nɯ kɯ kusɤŋɤm pjɤŋu	nɯ kɯ tɕhi tatɯtɯt ʑo nɯnɯ iɕqha tɤrutɕɯ nɯ kɯ kusɤŋɤm pjɤŋu
nɯnɯ tɕe nɤkinɯ ɯŋgɯ nɯtɕu βʑɯ ci pjɤ pjɤrɤʑi	nɯnɯ tɕe nɤkinɯ ɯŋgɯ nɯ tɕu ʑɯ ci pjɤ pjɤrɤʑi
tɕendɤre iɕqha nɯ tɕeri tɕe iɕqha chake nɯ kɯ 	tɕendɤre iɕqha nɯ tɕeri tɕe iɕqha chake nɯ kɯ
api ra tɯrme ra ɲɯ́wɣsɤβzu kɯcha kɯɣe ɲɯsɯsɤm chɯnɯzdɯɣ pjɤŋu	api ra tɯrme ɲɯ́wɣsɤβzu kɯcha kɯɣe ɲɯsɯsɤm chɯnɯzdɯɣ pjɤŋu
sqamŋutɯrpa jamar	sqamŋu tɯrpa jamarz
li ɯʁɤri nɯ tɕu chɯ́wɣtsɯm chɯ́wɣlɤt tɕe 	li ɯʁɤri nɯtɕu chɯ́wɣtsɯm chɯ́wɣlɤt tɕe
tɕendɤre rɟɤlpu nɯ nɤki xinbada ɯkɯrtoʁ joɣi tɕe	tɕendɤre rɟɤlpu nɯ nɤki xinbada ɯkɯrtoʁ joɣi tɕe
tɤpi ni li toɣɤɕqalindʑi tɕe mɤjɤɣ ma	tɤpi nɯ li toɣɤɕqalɤtndʑi tɕe mɤjɤɣ ma
tɕe tɯŋke ɯmɤtaʑa ɯmɤnɯmɯnmu qhe mɯ́jsɤmto 	tɕe tɯŋke ɯmata ʑo amɤnɯmɯtnmu qhe mɯ́jsɤmto
ma nɤkinɯ tɤkɤzbɣaʁ nɯ tɕe tɕe	nɤkinɯ tɤkɤzbɣaʁ nɯ tɕe tɕe
tɕe nɯnɯ kunɯmge qhe nɯnɯ ʑo tundze qhe	tɕe nɯnɯ kunɯmge qhe nɯndri tundze qhe
fsapaʁ ɯmɤsɤxɕe tuβzunɯ ŋgrɤl 	fsapa amɤsɤxɕe tuβzunɯ ŋgrɤl
rgargɯn nɯ kɯ kurtoʁ qhe nɯra sthɯci pjɤŋgɯnɯ ɕti qhe	rgargɯn nɯ kɯ kurtoʁ qhe nɯra sthɯci pjɤŋgɯnɯ tɕi qhe
