tɕe	t ɕ e
ɯskɤt	ɯ s k ɤ t
qro	q r o
thamtɕɤt	t h a m t ɕ ɤ t
tɤrɤku	t ɤ r ɤ k u
tʂu	t ʂ u
ɯʁɤri	ɯ ʁ ɤ r i
ftɕar	f t ɕ a r
jonɯɕe	j o n ɯ ɕ e
tufse	t u f s e
tɕhemɤpɯ	t ɕ h e m ɤ p ɯ
ɲɯlɤt	ɲ ɯ l ɤ t
iʑo	i ʑ o
mɯ́jcha	m ɯ ́ j c h a
núndʐa	n u ́ n d ʐ a
tɤŋe	t ɤ ŋ e
ɯndʐi	ɯ n d ʐ i
tumbro	t u m b r o
khɯna	k h ɯ n a
kóʁmɯz	k o ́ ʁ m ɯ z
pa	p a
qaʑo	q a ʑ o
ɯmi	ɯ m i
ʁmaʁmi	ʁ m a ʁ m i
kɯm	k ɯ m
kɯɤrŋi	k ɯ ɤ r ŋ i
nɯni	n ɯ n i
ɲɯwxti	ɲ ɯ w x t i
tuβzunɯ	t u β z u n ɯ
ɯkha	ɯ k h a
ɕɯmɯma	ɕ ɯ m ɯ m a
kɯɣɯrni	k ɯ ɣ ɯ r n i
tɕetu	t ɕ e t u
tɤmu	t ɤ m u
βʑɯ	β ʑ ɯ
hanɯni	h a n ɯ n i
qartsɯ	q a r t s ɯ
toʁde	t o ʁ d e
kɯcha	k ɯ c h a
pɯwɯ	p ɯ w ɯ
stɤmku	s t ɤ m k u
zgo	z g o
ɯxɕɤt	ɯ x ɕ ɤ t
kɯspoʁ	k ɯ s p o ʁ
mɯm	m ɯ m
wxti	w x t i
ɯŋga	ɯ ŋ g a
aʑɯɣ	a ʑ ɯ ɣ
tɕetha	t ɕ e t h a
ɯsɯm	ɯ s ɯ m
rɟɤlsa	r ɟ ɤ l s a
stoʁ	s t o ʁ
túwɣndza	t u ́ w ɣ n d z a
ɯthɤcu	ɯ t h ɤ c u
kɤntɕhaʁ	k ɤ n t ɕ h a ʁ
kɯdɤn	k ɯ d ɤ n
qale	q a l e
tɯʑo	t ɯ ʑ o
ɲɯmaʁ	ɲ ɯ m a ʁ
ɲɯpe	ɲ ɯ p e
low	l o w
qapri	q a p r i
tondo	t o n d o
tɤru	t ɤ r u
ɕɯ	ɕ ɯ
ɯdi	ɯ d i
joɕenɯ	j o ɕ e n ɯ
kurtoʁ	k u r t o ʁ
qandʑi	q a n d ʑ i
zgoku	z g o k u
ɯŋgɯz	ɯ ŋ g ɯ z
ɲɯɬoʁ	ɲ ɯ ɬ o ʁ
khɯ	k h ɯ
nɯɕki	n ɯ ɕ k i
pjɤrɤʑi	p j ɤ r ɤ ʑ i
qajdo	q a j d o
sɯŋgi	s ɯ ŋ g i
taʁ	t a ʁ
tɕhindʐa	t ɕ h i n d ʐ a
tɯldʑa	t ɯ l d ʑ a
xɕaj	x ɕ a j
ɯrtaʁ	ɯ r t a ʁ
ɯʁar	ɯ ʁ a r
fsapaʁ	f s a p a ʁ
kɯpɣi	k ɯ p ɣ i
qaɕpa	q a ɕ p a
yilisha	y i l i s h a
pjɤmto	p j ɤ m t o
ɯci	ɯ c i
ɯrca	ɯ r c a
kɯmpɕɯmpɕɤr	k ɯ m p ɕ ɯ m p ɕ ɤ r
laχtɕha	l a χ t ɕ h a
smɤn	s m ɤ n
totɕɤt	t o t ɕ ɤ t
ɯfso	ɯ f s o
ɯɕa	ɯ ɕ a
ɲɯme	ɲ ɯ m e
api	a p i
jozɣɯt	j o z ɣ ɯ t
jɤazɣɯt	j ɤ a z ɣ ɯ t
kɯβde	k ɯ β d e
pɤjkhu	p ɤ j k h u
pɯŋgrɤl	p ɯ ŋ g r ɤ l
rɟɤmtshu	r ɟ ɤ m t s h u
to	t o
toɕe	t o ɕ e
ɯmu	ɯ m u
ʑɯmkhɤm	ʑ ɯ m k h ɤ m
mu	m u
ɕa	ɕ a
ɲɯmpɕɤr	ɲ ɯ m p ɕ ɤ r
joɣinɯ	j o ɣ i n ɯ
nɤmkha	n ɤ m k h a
qaliaʁ	q a l i a ʁ
qartshaz	q a r t s h a z
rɟɤlkhɤβ	r ɟ ɤ l k h ɤ β
tɤtɕɯpɯ	t ɤ t ɕ ɯ p ɯ
tɯjaʁ	t ɯ j a ʁ
ɯmtɕhi	ɯ m t ɕ h i
ɯmŋu	ɯ m ŋ u
ɯro	ɯ r o
ɯχpi	ɯ χ p i
ʑatsa	ʑ a t s a
jla	j l a
tɤwa	t ɤ w a
ɯzda	ɯ z d a
ɯʁrɯ	ɯ ʁ r ɯ
ɲɤrga	ɲ ɤ r g a
kukutɕu	k u k u t ɕ u
kɯlɤɣ	k ɯ l ɤ ɣ
mɤŋgrɤl	m ɤ ŋ g r ɤ l
ʑmbrɯ	ʑ m b r ɯ
jinde	j i n d e
kɯndɯndɯβ	k ɯ n d ɯ n d ɯ β
kɯqarŋe	k ɯ q a r ŋ e
tɤtʂu	t ɤ t ʂ u
ɯwa	ɯ w a
ɲɤɕar	ɲ ɤ ɕ a r
ɲɯβzunɯ	ɲ ɯ β z u n ɯ
ʑara	ʑ a r a
kɯʑru	k ɯ ʑ r u
rɯŋgu	r ɯ ŋ g u
tundzanɯ	t u n d z a n ɯ
tɯxpa	t ɯ x p a
ɯrna	ɯ r n a
arŋi	a r ŋ i
mɤkhɯ	m ɤ k h ɯ
pjɤsɤre	p j ɤ s ɤ r e
tha	t h a
ɯkɯβzu	ɯ k ɯ β z u
ɯsni	ɯ s n i
apɯtu	a p ɯ t u
nɯnɯreri	n ɯ n ɯ r e r i
praʁ	p r a ʁ
qala	q a l a
tolɤt	t o l ɤ t
woja	w o j a
ʑaʑa	ʑ a ʑ a
lujinɯ	l u j i n ɯ
mɤpe	m ɤ p e
staχpɯ	s t a χ p ɯ
ɕkrɤz	ɕ k r ɤ z
ɲɯkhɯ	ɲ ɯ k h ɯ
βdaʁmu	β d a ʁ m u
alading	a l a d i n g
arʑaβ	a r ʑ a β
kɤsɯfse	k ɤ s ɯ f s e
kɯkɯra	k ɯ k ɯ r a
kɯmŋɤm	k ɯ m ŋ ɤ m
kɯŋu	k ɯ ŋ u
kɯɣɤrʁaʁ	k ɯ ɣ ɤ r ʁ a ʁ
loɕe	l o ɕ e
sŋaʁspa	s ŋ a ʁ s p a
tshɤt	t s h ɤ t
ɯkɯm	ɯ k ɯ m
ɯsta	ɯ s t a
ɲɯdɤn	ɲ ɯ d ɤ n
a	a
chɯβze	c h ɯ β z e
kɯpɯpe	k ɯ p ɯ p e
kɯŋɤn	k ɯ ŋ ɤ n
mɯpjɤcha	m ɯ p j ɤ c h a
pjɤ	p j ɤ
pjɤsaχaʁ	p j ɤ s a χ a ʁ
tɤrca	t ɤ r c a
wortɕhi	w o r t ɕ h i
yazi	y a z i
χpi	χ p i
juɣi	j u ɣ i
kumpɣa	k u m p ɣ a
nɯrɟɤlpu	n ɯ r ɟ ɤ l p u
phɤn	p h ɤ n
pjɤfse	p j ɤ f s e
pɯme	p ɯ m e
rɯdaʁ	r ɯ d a ʁ
sɯku	s ɯ k u
tasa	t a s a
ɯndo	ɯ n d o
ɲɯnaχtɕɯɣ	ɲ ɯ n a χ t ɕ ɯ ɣ
ɲɯsɯsama	ɲ ɯ s ɯ s a m a
khu	k h u
kɯma	k ɯ m a
kɯsna	k ɯ s n a
ndʐa	n d ʐ a
pjɯŋgra	p j ɯ ŋ g r a
pɯtu	p ɯ t u
thamtham	t h a m t h a m
tɯɣjɤn	t ɯ ɣ j ɤ n
ɯzrɤm	ɯ z r ɤ m
ɲɯti	ɲ ɯ t i
atɕɯ	a t ɕ ɯ
grɯβgrɯβ	g r ɯ β g r ɯ β
koʁmɯz	k o ʁ m ɯ z
kúwɣrtoʁ	k u ́ w ɣ r t o ʁ
kɯɤrqhɯrqhi	k ɯ ɤ r q h ɯ r q h i
mtshalu	m t s h a l u
rgɤnmɯ	r g ɤ n m ɯ
túwɣstu	t u ́ w ɣ s t u
tɕaχpa	t ɕ a χ p a
tɤjmɤɣ	t ɤ j m ɤ ɣ
tɯtɯphu	t ɯ t ɯ p h u
ɕlaʁ	ɕ l a ʁ
ɯkɤχcɤl	ɯ k ɤ χ c ɤ l
ɲɯ́wɣphɯt	ɲ ɯ ́ w ɣ p h ɯ t
ɴɢoɕna	ɴ ɢ o ɕ n a
aʁi	a ʁ i
chɯβzunɯ	c h ɯ β z u n ɯ
kɤβzu	k ɤ β z u
kɯrɯ	k ɯ r ɯ
kɯɤrtɯm	k ɯ ɤ r t ɯ m
lo	l o
mɯpɯrɲota	m ɯ p ɯ r ɲ o t a
nɯkha	n ɯ k h a
pjɤɕe	p j ɤ ɕ e
qandʐe	q a n d ʐ e
rgargɯn	r g a r g ɯ n
tostu	t o s t u
tunɯɬoʁ	t u n ɯ ɬ o ʁ
tɯxtsa	t ɯ x t s a
ɯsi	ɯ s i
ɯxtu	ɯ x t u
ʁnaʁna	ʁ n a ʁ n a
joɕendʑi	j o ɕ e n d ʑ i
kɯmbro	k ɯ m b r o
kɯmɯrkɯ	k ɯ m ɯ r k ɯ
mɤra	m ɤ r a
mɤsna	m ɤ s n a
mɯ́jkhɯ	m ɯ ́ j k h ɯ
ntsi	n t s i
paχɕi	p a χ ɕ i
túwɣβzu	t u ́ w ɣ β z u
tɤkhe	t ɤ k h e
tɤkɤβzu	t ɤ k ɤ β z u
tɤɕi	t ɤ ɕ i
ɕom	ɕ o m
ɯmke	ɯ m k e
ɲɯsna	ɲ ɯ s n a
ame	a m e
pɯra	p ɯ r a
tɯndʐi	t ɯ n d ʐ i
tʂha	t ʂ h a
xinbada	x i n b a d a
ɲɤkho	ɲ ɤ k h o
ɲɤnɤmtshɤr	ɲ ɤ n ɤ m t s h ɤ r
ʁnɯtɯphu	ʁ n ɯ t ɯ p h u
χchoʁe	χ c h o ʁ e
kurɤʑinɯ	k u r ɤ ʑ i n ɯ
kɯpa	k ɯ p a
nɯme	n ɯ m e
rɟaspa	r ɟ a s p a
taqaβ	t a q a β
tuɕe	t u ɕ e
ɣa	ɣ a
ɯʁjoʁ	ɯ ʁ j o ʁ
ɲɯjpum	ɲ ɯ j p u m
ɲɯntshi	ɲ ɯ n t s h i
ʁmɯrcɯ	ʁ m ɯ r c ɯ
ʑmbri	ʑ m b r i
ʑŋgri	ʑ ŋ g r i
khɯtsa	k h ɯ t s a
kɯmŋu	k ɯ m ŋ u
pjɤcha	p j ɤ c h a
pjɯ́wɣlɤt	p j ɯ ́ w ɣ l ɤ t
rasti	r a s t i
tuɣi	t u ɣ i
tɤse	t ɤ s e
ɣʑo	ɣ ʑ o
ɯfkɯm	ɯ f k ɯ m
ɯkhɯkha	ɯ k h ɯ k h a
ɲɤkɤβzuci	ɲ ɤ k ɤ β z u c i
ɲɯɣɯrni	ɲ ɯ ɣ ɯ r n i
jɤari	j ɤ a r i
kɯkhɯ	k ɯ k h ɯ
kɯrɲɟi	k ɯ r ɲ ɟ i
mɯpjɤkhɯ	m ɯ p j ɤ k h ɯ
phu	p h u
smɤnba	s m ɤ n b a
sɯmat	s ɯ m a t
tɤfkɯm	t ɤ f k ɯ m
tɤtɯta	t ɤ t ɯ t a
ɯnmaʁ	ɯ n m a ʁ
ɯphaʁ	ɯ p h a ʁ
ɯpɕoʁ	ɯ p ɕ o ʁ
ɯtɯmpɕɤr	ɯ t ɯ m p ɕ ɤ r
ɯʁi	ɯ ʁ i
ɲɯmŋɤm	ɲ ɯ m ŋ ɤ m
ɲɯwɣrum	ɲ ɯ w ɣ r u m
ftɕaka	f t ɕ a k a
nɯrca	n ɯ r c a
nɯsthɯci	n ɯ s t h ɯ c i
sakaβ	s a k a β
sɲikuku	s ɲ i k u k u
tuwxti	t u w x t i
tɤpi	t ɤ p i
tɤŋu	t ɤ ŋ u
tɤɬoʁ	t ɤ ɬ o ʁ
tɯrʑaʁ	t ɯ r ʑ a ʁ
ŋua	ŋ u a
ɯmuj	ɯ m u j
ɯri	ɯ r i
awa	a w a
daltsɯtsa	d a l t s ɯ t s a
jukɯru	j u k ɯ r u
juɕea	j u ɕ e a
mɤʁdɯɣ	m ɤ ʁ d ɯ ɣ
qaj	q a j
rɤɣo	r ɤ ɣ o
saχaʁ	s a χ a ʁ
smi	s m i
tuste	t u s t e
tɤ	t ɤ
tɤmda	t ɤ m d a
tɤrʑaʁ	t ɤ r ʑ a ʁ
tɯka	t ɯ k a
tɯthɯ	t ɯ t h ɯ
ɕaŋtaʁ	ɕ a ŋ t a ʁ
ɕɤmɯɣdɯ	ɕ ɤ m ɯ ɣ d ɯ
ɯndzrɯ	ɯ n d z r ɯ
ɯphe	ɯ p h e
ɯqhuchu	ɯ q h u c h u
ɯxtɤpa	ɯ x t ɤ p a
chɯz	c h ɯ z
isɤtɕha	i s ɤ t ɕ h a
jima	j i m a
joɣɯt	j o ɣ ɯ t
jɤɕe	j ɤ ɕ e
kɤlɤt	k ɤ l ɤ t
kɯmbɯmbro	k ɯ m b ɯ m b r o
kɯphɤn	k ɯ p h ɤ n
kɯrtsɤɣ	k ɯ r t s ɤ ɣ
mɯ́jpe	m ɯ ́ j p e
pjɯlɤtnɯ	p j ɯ l ɤ t n ɯ
pɯnɯŋu	p ɯ n ɯ ŋ u
thaŋ	t h a ŋ
toʑɣɤpa	t o ʑ ɣ ɤ p a
tumŋɤm	t u m ŋ ɤ m
tustunɯ	t u s t u n ɯ
tɯmɲaʁ	t ɯ m ɲ a ʁ
tɯɕɣa	t ɯ ɕ ɣ a
xtɕi	x t ɕ i
ɯjmŋo	ɯ j m ŋ o
ɯlu	ɯ l u
ɯrɟit	ɯ r ɟ i t
chɯ́wɣlɤt	c h ɯ ́ w ɣ l ɤ t
jotsɯm	j o t s ɯ m
kɤndʑɯxtɤɣ	k ɤ n d ʑ ɯ x t ɤ ɣ
kɯjpum	k ɯ j p u m
kɯrmi	k ɯ r m i
mɤkɯnaχtɕɯɣ	m ɤ k ɯ n a χ t ɕ ɯ ɣ
ndze	n d z e
nɤʑɯɣ	n ɤ ʑ ɯ ɣ
pamto	p a m t o
pamtshɤm	p a m t s h ɤ m
pjɯɕe	p j ɯ ɕ e
pɤjka	p ɤ j k a
totindʑi	t o t i n d ʑ i
totsu	t o t s u
tumbri	t u m b r i
tɕeki	t ɕ e k i
tɤlu	t ɤ l u
tɤrga	t ɤ r g a
tɤri	t ɤ r i
tɯspra	t ɯ s p r a
tɯtu	t ɯ t u
xɕiri	x ɕ i r i
zrɯɣ	z r ɯ ɣ
ɕɤɣ	ɕ ɤ ɣ
ɣzɯ	ɣ z ɯ
ɯfkaβ	ɯ f k a β
ɯkɯki	ɯ k ɯ k i
ɯkɯndo	ɯ k ɯ n d o
ɯɕna	ɯ ɕ n a
ɲɯsɤŋo	ɲ ɯ s ɤ ŋ o
cɯβloʁ	c ɯ β l o ʁ
juɕenɯ	j u ɕ e n ɯ
kundzoʁ	k u n d z o ʁ
kɤrɤʑi	k ɤ r ɤ ʑ i
kɤɕe	k ɤ ɕ e
lɤpɯɣ	l ɤ p ɯ ɣ
mɤkɯra	m ɤ k ɯ r a
pjɤnɯʑɯβ	p j ɤ n ɯ ʑ ɯ β
roŋri	r o ŋ r i
tshitsuku	t s h i t s u k u
tɤwi	t ɤ w i
woju	w o j u
znde	z n d e
ɯkɤpa	ɯ k ɤ p a
ɯmbrɯ	ɯ m b r ɯ
ɯmphru	ɯ m p h r u
ɯphɯ	ɯ p h ɯ
ɯse	ɯ s e
ɯβra	ɯ β r a
ɲɯxtɕi	ɲ ɯ x t ɕ i
ɲɯ́wɣβzu	ɲ ɯ ́ w ɣ β z u
ʑakastaka	ʑ a k a s t a k a
amu	a m u
chɯ́wɣβzu	c h ɯ ́ w ɣ β z u
juɣinɯ	j u ɣ i n ɯ
kɯrɟaʁ	k ɯ r ɟ a ʁ
kɯrɯtshoŋpa	k ɯ r ɯ t s h o ŋ p a
mɤnaχtɕɯɣ	m ɤ n a χ t ɕ ɯ ɣ
pri	p r i
raʁ	r a ʁ
rkɯn	r k ɯ n
tonɤla	t o n ɤ l a
tukɯɬoʁ	t u k ɯ ɬ o ʁ
tulɤtnɯ	t u l ɤ t n ɯ
tɤjwaʁ	t ɤ j w a ʁ
tɯjaʁndzu	t ɯ j a ʁ n d z u
tɯphɯ	t ɯ p h ɯ
ɕe	ɕ e
ɯrŋa	ɯ r ŋ a
ɯʑoz	ɯ ʑ o z
ɲɤ	ɲ ɤ
ɲɯrmi	ɲ ɯ r m i
ɲɯɲaʁ	ɲ ɯ ɲ a ʁ
ca	c a
chɯlɤt	c h ɯ l ɤ t
kondo	k o n d o
kundɤm	k u n d ɤ m
kɯrga	k ɯ r g a
kɯsɤscit	k ɯ s ɤ s c i t
kɯzɯzri	k ɯ z ɯ z r i
kɯɤrqhi	k ɯ ɤ r q h i
ndʑu	n d ʑ u
pjɤrmi	p j ɤ r m i
rgɤm	r g ɤ m
stonka	s t o n k a
tatɯt	t a t ɯ t
tɕhɯpɣa	t ɕ h ɯ p ɣ a
tɯtsɣe	t ɯ t s ɣ e
zdɯm	z d ɯ m
ɕɤrpɣa	ɕ ɤ r p ɣ a
ɯloʁ	ɯ l o ʁ
ɲɤkɤtɯɣci	ɲ ɤ k ɤ t ɯ ɣ c i
ɲɯpa	ɲ ɯ p a
ɲɯrɯmɯntoʁ	ɲ ɯ r ɯ m ɯ n t o ʁ
χsɯsŋi	χ s ɯ s ŋ i
chɤrɯsɯso	c h ɤ r ɯ s ɯ s o
jo	j o
khɯɣɲɟɯ	k h ɯ ɣ ɲ ɟ ɯ
kɯrɲɟɯrɲɟi	k ɯ r ɲ ɟ ɯ r ɲ ɟ i
kɯwɣrɯwɣrum	k ɯ w ɣ r ɯ w ɣ r u m
kɯxtshɯxtshɯm	k ɯ x t s h ɯ x t s h ɯ m
kɯɲɯɲaʁ	k ɯ ɲ ɯ ɲ a ʁ
lúwɣji	l u ́ w ɣ j i
mɤkɯpe	m ɤ k ɯ p e
nɯsi	n ɯ s i
pjɤŋgrɤl	p j ɤ ŋ g r ɤ l
pjɯŋu	p j ɯ ŋ u
srɯnmɯ	s r ɯ n m ɯ
tamar	t a m a r
thi	t h i
tondza	t o n d z a
tshupa	t s h u p a
tɕiʑo	t ɕ i ʑ o
tɤrka	t ɤ r k a
tɯlɤt	t ɯ l ɤ t
tɯpu	t ɯ p u
tɯrtsɤɣ	t ɯ r t s ɤ ɣ
yangyu	y a n g y u
ŋɤn	ŋ ɤ n
ɯkɤndza	ɯ k ɤ n d z a
ɯkɯndza	ɯ k ɯ n d z a
ɯlocu	ɯ l o c u
ɯmtsioʁ	ɯ m t s i o ʁ
ɯntsi	ɯ n t s i
ɯ́jɤɣ	ɯ ́ j ɤ ɣ
ɲɤnɤre	ɲ ɤ n ɤ r e
chɯɬoʁ	c h ɯ ɬ o ʁ
cɤmi	c ɤ m i
jorɟɯɣ	j o r ɟ ɯ ɣ
jɤɣe	j ɤ ɣ e
kɤrŋi	k ɤ r ŋ i
kɤsɯso	k ɤ s ɯ s o
kɤtsa	k ɤ t s a
kɯmɯm	k ɯ m ɯ m
kɯɕɤɣ	k ɯ ɕ ɤ ɣ
kɯɤɣɯrnɯɕɯr	k ɯ ɤ ɣ ɯ r n ɯ ɕ ɯ r
mbraj	m b r a j
mɯtokhɯ	m ɯ t o k h ɯ
pha	p h a
pjɤtunɯ	p j ɤ t u n ɯ
thɤlwa	t h ɤ l w a
toɣɤɕqali	t o ɣ ɤ ɕ q a l i
tunɯ	t u n ɯ
tuŋke	t u ŋ k e
tɕhoma	t ɕ h o m a
tɤtsu	t ɤ t s u
ŋkhorwapa	ŋ k h o r w a p a
ɯqiɯ	ɯ q i ɯ
ɯsroʁ	ɯ s r o ʁ
ɯsŋi	ɯ s ŋ i
ɯɕɣa	ɯ ɕ ɣ a
ɯβlu	ɯ β l u
χɕitka	χ ɕ i t k a
aj	a j
ajaʁ	a j a ʁ
alibaba	a l i b a b a
cinɤ	c i n ɤ
je	j e
jɤɣi	j ɤ ɣ i
koɕe	k o ɕ e
kuɕe	k u ɕ e
kɤcha	k ɤ c h a
kɤmɲɯ	k ɤ m ɲ ɯ
kɯfsɯfse	k ɯ f s ɯ f s e
kɯmna	k ɯ m n a
kɯsɤscɯscit	k ɯ s ɤ s c ɯ s c i t
ldʑaŋkɯ	l d ʑ a ŋ k ɯ
masɤrɯrju	m a s ɤ r ɯ r j u
mɤjɤɣ	m ɤ j ɤ ɣ
nɯŋga	n ɯ ŋ g a
pjɤsi	p j ɤ s i
pɯkɯfse	p ɯ k ɯ f s e
pɯrɲota	p ɯ r ɲ o t a
