Reference,Prediction
tʰv̩˧v̩˧ʂɯ˧se˥kwɤ˩tɕɯ˩lɑ˩|kʰv̩˧ʈʂʰɯ˧|ɲi˧kʰv̩˧so˧kʰv̩˥|le˧ʂɯ˧ze˧le˧ʂe˧mɤ˧ɖɯ˧|ɲi˧kʰv̩˧so˧kʰv̩˥|le˧ʂɯ˧ze˧le˧ʂe˧mɤ˧ɖɯ˧|ʈʂʰɯ˧|tsʰe˩kʰv̩˩hĩ˥|ɖɯ˧v̩˧ɳɯ˧ʈʂʰɯ˧|ʈʂʰɯ˧lɑ˩|ɑ˩ʁo˧|tʰi˧pʰæ˧dʑo˥|hɑ˧|tʰi˧ki˧dʑo˩|gɯ˩ʝi˥|tsʰe˩kʰv̩˩ze˩gv̩˩ɳɯ˥|ʂɯ˧|,ʈʂʰɯ˧v̩˧ʂɯ˧se˥kʰwɤ˩tɕɯ˩ɑ kʰv̩˧ʈʂʰɯ˧ ɲi˧kʰv̩˧sʰo˧kʰwɤ˥ le˧ʂɯ˧ze˧ ɲi˧kʰv̩˧tsʰo˧kʰv̩˥ le˧ʂɯ˧ze˧ ʈʂʰɯ˧ tsʰe˩kʰv̩˩hĩ˥ ɖɯ˧v̩˧ɳɯ˧ ʈʂʰɯ˧ ʈʂʰɯ˧lɑ˩ ɑ˩ʁo˧ tʰi˧pʰæ˧dʑo˥ hɑ˧ tʰi˧ki˧ dʑo˩ gɯ˩ʝi˥ tsʰe˩kʰv̩˩ze˩gv̩˩ɳɯ˥ʂɯ˩
ə˧mi˧|dzɑ˧hĩ˧ki˧|ə˧sɯ˩kv̩˩|tɑ˧ho˧bi˧ze˧|pi˧|dʑɤ˩hĩ˧ki˧|tɑ˧ho˧bi˧ze˧|pi˧|,ə˧mi˧dzɑ˧hĩ˧ki˧ ə˩sɯ˩kv̩˩ tɑ˧ho˧bi˩ze˩ pi˧ dʑɤ˩hĩ˧ki˥ tɑ˧hwɤ˧bi˧ze˩ pi˧
qwæ˩ʈʂæ˩qo˥|sɑ˧|tʰi˧ʈʰæ˧˥|ʈʂʰɖɯ˧kʰwɤ˥ɖɯ˩kʰwɤ˩|le˧kʰi˥|ʈʂʰɯ˧ne˧ʝi˥|le˧ɲi˩|,qwæ˩ɖʐæ˩qo˥ sɑ˧ tʰi˧ʈʰæ˧˥ ɖɯ˧ʈʰɯ˧kʰwɤ˥ɖɯ˩kʰwɤ˩ le˧ʝi˧kʰi˧˥ ʈʂʰɯ˧ne˧ʝi˥ le˧ɲi˩
njæ˧ɻæ˩dʑo˩|kʰv̩˩mi˩pi˥hĩ˩dʑo˩|ɑ˩ʁo˥|ʈʰææ̃˧|kʰv̩˧ʂe˧|le˧ʁhĩ˧ɻæ˥|ʝi˧kʰv̩˥|ɑ˩ʁo˥|kʰv̩˧ʂe˧tɕɤ˧kʰɯ˥|mɤ˧kv̩˧˥|,nij̃˧ɻæ˩dʑo˩ kʰv̩˩mi˩pi˥hĩ˩dʑo˩ ɑ˩ʁo˧ ʈʰææ̃˧ kʰv̩˧ɯ le˧ʁohĩ˧ɻæ˥ ʝi˧kʰv̩˥ ɑ˩ʁo˧ kʰv̩˧ʂe˧ tɕɤ˩kʰɯ˥ mɤ˧kv̩˧
ʈʂʰɯ˧ne˧ʝi˥|ɖɯ˧hɑ̃˧˥|ɖɯ˧hɑ̃˧˥|ɖɯ˧hɑ̃˧ɳɯ˥|tʰi˩˥|bi˧lo˧gv̩˩|so˩hɑ̃˩hɑ̃˥kv̩˩tsɯ˩|mv̩˩,ʈʂʰɯ˧ne˧ʝi˥ ɖɯ˧hɑ̃˧ ɖɯ˧hɑ̃˧ ɖɯ˧hɑ̃˧ɳɯ˥ tʰi˩˥ bi˧ lo˧gv̩˩ so˩hɑ̃˩hɑ̃˥kv̩˩tsɯ˩ mv̩˩
ə˧tso˧ɲi˩kv̩˩hɤ˩|pi˧zo˩|,ə˧tso˧hĩ˧ɲi˩kv̩˩hɯ˩ pi˧zo˩
zo˩no˧ne˩ʝi˩zo˩|ə˧tso˧ə˧tso˥|ɖɯ˧qʰwɤ˧ɖɯ˥qʰwɤ˩|pi˧zo˩|ɖɯ˧ʈʂo˩ɖɯ˩ʈʂo˩|dʑo˧mɤ˧kv̩˧˥|,zo˩no˧ni˩dzo˩ ə˧tso˧ə˧tso˥ ɖɯ˧qʰwɤ˧ɖɯ˧qʰwɤ˧pi˥zo˩ ɖɯ˧ʈʂo˩ɖɯ˧ʈʂo˩ dʑo˩mɤ˩kv̩˩
le˧dzɯ˥zo˩|tʰi˩˥|ʈʂʰɯ˧ne˧ʝi˥|le˧ʈʰæ˧˥|dʑo˩|mɤ˩ʈʂʰɯ˥|tʰi˧di˩|le˧tsʰɯ˩tsɯ˩mv̩˩|,le˧dzɯ˧zo˥ tʰi˩˥ ʈʂʰɯ˧ne˧ʝi˥ le˧ʈʰæ˧˥ dʑo˩ mo˩ʈʂʰɯ˥ tʰi˧di˩le˩tsɯ˩tsɯ˩ mv̩˩
tʰi˩˥|dɑ˧pɤ˧|ʈʂʰɯ˧v̩˧ɳɯ˩|ɖɯ˧ʑi˩ɖɯ˩ʑi˩|mv̩˧ɻwæ˧kv̩˩ze˩|,tʰi˩˥ dɑ˧pɤ˧ ʈʂʰɯ˧v̩˧ɳɯ˧ ɖɯ˧ʑi˩ɖɯ˩ʑi˩ mv̩˧ɻæ˩kv̩˩ze˩mæ˩
tʰi˩˥|ə˧ʑi˧˥|ʁɑ˩mi˧|njɤ˧|tso˩bi˩zo˩ʝi˩˥|ʁɑ˩mi˧|tʰi˩˥|qʰɑ˩ne˩˥|tso˩bi˩˥|pi˧tsɯ˩|mv̩˩|,tʰi˩˥ ə˧ʑi˧˥ ʁɑ˩mi˧ njɤ˧ tso˧bi˧ zo˩ʝi˥ ʁɑ˩mi˧ tʰi˩˥ qʰɑ˩ne˩˥ tso˩bi˩˥ pi˧tsɯ˩ mv̩˩
ə˧dɑ˧|no˧|qʰɑ˩ne˩ʝi˥tso˩ɲi˩|ʈʂʰɯ˧ne˧ʝi˥se˩|hɑ˧ʐwɤ˩zo˩,ə˧dɑ˥ɳɯ˩ qʰɑ˩ne˩ʝi˥tso˧ɲi˩ ʈʂʰɯ˧ne˧ʝi˥se˩ hɑ˧ʐwɤ˩zo˩
ʈʂʰɯ˧ɲi˥kv̩˩qo˩|kʰɯ˧le˧po˧tsʰɯ˧˥|mv̩˩zɯ˩˥|tʰi˧lɑ˧˥|dʑo˩|zo˩no˥|zo˩no˥|njæ˧sɯ˩kv̩˩|ə˧ʝi˧ʂɯ˥ʝi˩|zo˩no˥|hĩ˧ɻæ˥|ʈæ˧bɤ˧ʁɑ˧ʂe˩|ə˩gi˩|,ʈʂʰɯ˧ɲi˥kʰv̩˩qo˩kʰɯ˩le˧po˧tsʰɯ˧˥ mv̩˩dzɯ˩˥ tʰi˧lɑ˧˥ dʑo˩ zo˩no˥ zo˩no˥ njæ˧sɯ˩kv̩˩ ə˧ʝi˧ʂɯ˥ʝi˩ zo˩no˥ hĩ˧ɻæ˥ ʈæ˧bɤ˧ʁɑ˧ʂe˩ ə˩gi˩
ʂe˧ʐe˧|ɖɯ˧ʐe˥|ʂe˧sɑ˩|ɖɯ˧sɑ˧˥|əʐɯ˧ɖɯ˧kɤ˩|əəə…pɤ˩jɤ˧ɖɯ˧qo˧ho˩|dze˧|pɤ˩jɤ˧|ʈʂwæ˧ʈʂwæ˧|ɖɯ˧qo˧ho˩|tʰi˩˥|le˧pɤ˥pɤ˩|,ʂe˧ʐe˧ɖɯ˧ʐɯ˧˥ ʂe˧sɑ˩ ɖɯ˧sɑ˥ əʐɯ˧ ɖɯ˧kɤ˩ əə…pɤ˩jɤ˧˥ ɖɯ˧qo˥ho˩ dze˧ pɤ˩jɤ˧˥ ʈʂwæ˩ʈʂwæ˧˥ ɖɯ˧qo˧ho˩ tʰi˩˥ le˧pɤ˥pɤ˩
ə˧ʝi˧ʂɯ˥ʝi˩|le˧go˩|le˧go˩|le˧go˩|le˧go˩dʑo˩|tsʰi˧ɲi˧|le˧go˩|ʈʂʰæ˧ɣɯ˧mɤ˧dʑo˧|hu˧mi˧ʈʂʰæ˧ɣɯ˧mɤ˧dʑo˧|ə˩gi˩|,ə˧ʝi˧ʂɯ˥ʝi˩ le˧go˩ le˧go˩ le˧go˩ le˧wgo˩dʑo˩ tsʰi˧ɲi˧ le˧go˩ ʈʂʰæ˧ɣɯ˧mɤ˧dʑo˧ hu˧mi˧ʈʂʰæ˧ɣɯ˧ mɤ˧dʑo˧ ə˩gi˩
kv̩˧tʰv̩˧|õ˧bv̩˥õ˩le˩tv̩˩|ɖɯ˧ʑi˩ɳɯ˩|kv̩˧|ɲi˧ɭɯ˧so˩ɭɯ˩po˩|ɖɯ˧v̩˧tʰi˧tɕɤ˧˥|,kv̩˧tɕʰo˧ õ˧bv̩˥õ˩ le˧tv̩˧˥ ɖɯ˧ʑi˩ɳɯ˩kv̩˩˥ ɲi˧ɭɯ˧so˧ɭɯ˩po˩ ɖɯ˧wɤ˧ tʰi˧tɕɤ˧˥
tʰi˧dʑo˧|tʰi˧wɤ˧|wɤ˧mɤ˧kv̩˩lɑ˩|tʰi˧ʂe˧|tʰi˧kʰɤ˧ɕjɤ˧ɻ˧ɲi˥jɤjɤ|,tʰi˧dʑo˧ tʰi˧wɤ˧ wɤ˧mɤ˧kv̩˩lɑ˩ tʰi˧ʂe˧ tʰi˧kʰɤ˧ɕjɤ˧ɻ˧ɲi˥jɤ
hĩ˧ʈʂʰɯ˧|qʰɑ˩jɤ˩dʑo˩ɲi˥tsɯ˩mv̩˩|tʰi˩˥|ʈʂʰɯ˧ne˧ʝi˥|ʈʂʰɯ˧dʑo˩|zo˩no˥|pʰe˧|ʈʂʰɯ˧ɻ̍˩se˩|mi˩zɯ˩dʑo˩˥|se˩|ɖwæ˩mɤ˧zo˧|ʂɯ˧ɬi˧mi˧mo˧ɖʐv̩˥ne˩|ɖʐv̩˧kv̩˧mæ˩|pi˧|,hĩ˧ʈʂʰɯ˧ qʰɑ˩jɤ˩dʑo˩ɲi˥tsɯ˩ mv̩˩ tʰi˩˥ ʈʂʰɯ˧ne˧ʝi˥ ʈʂʰɯ˧dʑo˩ zo˩no˥ pʰe˧ ʈʂʰɯ˧ɻ̍se˩ mi˩zɯ˩dʑo˩˥se˩ ɖwɯ˧mɤ˥zo˧ ʂɯ˧ɬi˧mi˧mo˧ɖʐv̩˥ni˩ ɖʐv̩˧kv̩˩mæ˩ pi˧
ə˧mi˧ɻæ˩|ɲi˧mi˧qʰæ˧ʂæ˧|pʰi˩dɑ˩˥|sɑ˧le˧ɲi˩|,ə˧mi˧ɻæ˩ ɲi˧mi˧ʈʰɯqʰæ˧ʂʂæ˧ pʰi˩dɑ˧˥ sɑ˧ le˧ɲi˩
ə˧ʝi˧ʂɯ˥ʝi˩|ɬɑ˧sɑ˧hɯ˧dʑo˥|zo˧ʈʂʰɯ˧|le˧wo˥|le˧jo˩mɤ˩kv̩˩ze˩tsɯ˩|mv̩˩,ə˧ʝi˧ʂɯ˥ʝi˩ ɬɑ˧sɑ˧hɯ˧dʑo˥ zo˧ʈʂʰɯ˧ le˧wo˥ le˧jo˩mɤ˩kv̩˩ze˩tsɯ˩ mv̩˩
no˧mɤ˧dʑo˧|njɤ˧ki˧ki˩|njɤ˧mɤ˧dʑo˧|no˧ki˧ki˩|,no˧ mɤ˧dʑo˧ njɤ˧ki˧ki˩ njɤ˧mɤ˧dʑo˧ no˧ki˧ki˩
zo˩no˥|to˩mi˩˥|ɑ˩ʁo˧|to˩mi˩˥|ə˧mɑ˧ki˩|tʰi˧di˩mɤ˩di˩|ə˩gi˩|m|,zo˩no˥ to˩mi˩˥ ɑ˩ʁo˧ to˩mi˥ ə˧mɑ˧ki˩ tʰi˧di˩mɤ˩di˩ ə˩gi˩ hĩ
wɤ˩˥|ʐɯ˧|ɖɯ˧ʈʰɤ˥tʰi˩kʰɯ˩|dɑ˧pɤ˧|tʰv̩˧v̩˧ɳɯ˩|le˧ʈʂʰo˥|le˧ʈʂʰo˥|,wɤ˩˥ ɖʐɯ˧ ɖɯ˧ʈʰɤ˥tʰi˩kʰɯ˩ dɑ˧pɤ˧ tʂʰɯ˧v̩˧ɳɯ˩ le˧ʈʂʰo˧ le˧ʈʂʰo˧
əəə…ə˧zɯ˩|tsʰi˧qʰæ˧˥dʑo˩|tɕʰi˧mɤ˧bi˧ze˧|le˧wo˥|le˧bi˩ze˩|pi˧zo˩|ə˧mi˧lɑ˧|mv̩˩lɑ˥|tʰi˩˥|di˩li˩ʁo˩bv̩˥ʈʂʰɯ˩|ɖɯ˧v̩˧ɖɯ˧kɖɯ˧v̩˧ɖɯ˧kʰɤ˧ɖʐɤ˥|le˧po˧tsʰɯ˧ɲi˥tsɯ˩|mv̩˩,əə…ə˧zɯ˩ tsʰi˧qʰæ˧˥ dʑo˩ tɕʰi˧mɤ˧bi˧ze˧ le˧wo˥le˩bi˩ze˩ pi˧zo˩ ə˧mi˧lɑ˧ mv̩˩lɑ˥ tʰi˩˥ di˩li˩ʁo˩bv̩˥ tʰv̩˩v̩˩ ɖɯ˧v̩˧ ɖɯɖɯ˧v̩˧ɖɯ˧kʰɤ˧ɖʐɤ˥ le˧po˧tsʰɯ˧ɲi˥tsɯ˩ mv̩˩
dʑɯ˩ʁo˩di˥hĩ˩|v̩˩tsʰɤ˧˥|jɤ˧˥|vwo˩˥|õ˧ʈʂʰɯ˧lɑ˩dʑo˩|tʰi˩˥|,dʑɯ˩ʁo˩di˩hĩ˥ v̩˩tsʰɤ˧˥ jɤ˥ …wo˩˥ õ˧ʈʂʰɯ˧lɑ˩dʑo˩ tʰi˩˥
wo˩ɳɯ˥|ʈʂʰɯ˧ne˧ʝi˥|le˧ʝi˥kwɤ˩tɕɯ˩lɑ˩|tʰi˩˥|hɑ˧le˧dʑo˧|dʑi˧hṽ˧mv̩˩di˩|le˧dʑo˧|,wo˩ɳɯ˥ ʈʂʰɯ˧ne˧ʝi˥ le˧ʝi˥kwɤ˩tɕɯ˩lɑ˩ tʰi˩˥ hɑ˧ le˧dʑo˧ dʑi˧hṽ˧mv̩˩di˩ le˧dʑo˩
ə˧lɑ˧ʁwɤ˧|hĩ˧dzi˧kʰɯ˥dʑo˩|tʰi˩˥|zo˩no˥|ə˧lɑ˧tʰɑ˧mi˧ɻ̍˥|ə˧ʝi˧ʂɯ˥ʝi˩|hĩ˧mo˥hĩ˩dʑo˩|zo˧mv̩˥|mɤ˧dʑo˩ɲi˩tsɯ˩|mv̩˩|,ə˧lɑ˧ʁwɤ˧hĩ˧ dʑɯ˧kʰɯ˥dʑo˩ tʰi˩˥ zo˩no˥ ə˧lɑ˧tʰɑ˧mi˧ɻ̍˥ ə˧ʝi˧ʂɯ˥ʝi˩ hĩ˧mo˥hĩ˩dʑo˩ zo˧mv̩˥ mɤ˧dʑo˩ɲi˩tsɯ˩ mv̩˩
ɖʐe˧|dʑɤ˩˥|ɖɯ˧mɤ˧kv̩˧tsɯ˥|mv̩˩|,ɖʐe˧tɕɤ˩˥ ɖɯ˧mɤ˧kv̩˧tsɯ˥ mv̩˩
hɑ˩ʂɯ˧|dzɯ˧ɲi˥mæ˩|,ʁɑ˩ʂæ˧ dzɯ˧ɲi˥mæ˩
dʑɯ˩nɑ˩mi˩ʁo˩ɳɯ˥|ɖɯ˧gɤ˧˥|ɖɯ˧gɤ˧˥|ɖɯ˧gɤ˧˥|ɖɯ˧gɤ˧ɳɯ˥|ɑ˩ʁo˧kʰi˥qʰv̩˩|no˩qo˥tʰv̩˩ɲi˩|qʰwɤ˧tsʰi˩|no˩qo˥kʰɯ˩ɲi˩wɤ˩|,dʑɯ˩nɑ˩mi˩ʁo˥ɳɯ˩ ɖɯ˧gɤ˧ɖɯ˧gɤ˧ ɖɯ˧gɤ˧ ɖɯ˧gɤ˧ɳɯ˧ ɑ˩ʁo˧kʰi˩qʰɑ˩nɑ˩qo˩tʰv̩˩˩ qʰwɤ˧tɕɯ˩no˩qo˥kʰɯ˩zo˩
tʰi˩˥|tsʰo˩mo˩˥|ɖɯ˧v̩˧tsʰɯ˩zo˩|pʰe˧|no˧|ɖwæ˩mɤ˧zo˧|mi˩zɯ˩˥|ɖɯ˧v̩˧dʑo˩ze˩dʑo˩|ʂɯ˧ɬi˧mi˧|mo˧ɖʐv̩˥ne˩|hĩ˧|dʑo˩kv̩˩ze˥|no˧|ɖwæ˩mɤ˧zo˧|ʂɯ˧ɬi˧mi˧|mo˧ɖʐv̩˥ne˩|dʑo˩ʝi˩˥|pi˧zo˩|æ˧ʂæ˧qʰwɤ˧ʈʂʰɯ˧|ʈʂʰɯ˧ne˧ʝi˥|tʰi˧pi˥|,tʰi˩˥ tsʰo˩mo˧˥ ɖɯ˧v̩˧tsʰɯ˩zo˩ pʰe˥ no˧ ɖwæ˩mɤ˧zo˧ ɲi˩zɯ˩˥ ɖɯ˧v̩˧dʑo˧ʑe˩dʑo˩ ʂɯ˧ɬi˧mo˧hĩ˥ mo˧ɖʐv̩˥ni˩ hĩ˧ dʑo˧kv̩˧ze˥ no˧ ɖwæ˩mɤ˧zo˧ ʂɯ˧ɬi˧mi˧mo˧ɖʐv̩˥ni˩ ɖʐv̩˧ʝi˧ pi˧zo˩ æ˧ʂæ˧qʰwɤ˧ʈʂʰɯ˥ ʈʂʰɯ˧ne˧ʝi˥ tʰi˧pi˧˥
tʰi˩˥|qwɤ˧lɯ˧ʁo˧|ə˧tse˥|ʂɻ̩˧ɲi˥|pi˧|,tʰi˩˥ qwɤ˧ɭɯ˧ʁo ə˧tse˧˥ ʂv̩˧ɲi˥ pi˧
wɤ˩˥|ə˧ʑi˧ki˥ti˩|ə˧pʰv̩˧ki˧ti˥|ə˧v̩˧ki˥ti˩|ə˧mi˧tɕi˩ki˩ti˩|ə˧mi˧ɖɯ˩ki˩ti˩|tʰv̩˧ne˧ʝi˥|tɑ˧kɤ˧kɤ˩|le˧ti˩le˧ti˩|,wɤ˩˥ ə˧ʑi˧ki˥ti˩ ə˧pʰv̩˧ki˧ti˥ ə˧v̩˧ki˥ti˩ ə˧mi˧tɕi˩ki˩ti˩ ə˧mi˧ɖɯ˧ki˩ tʰi˩˥ tʰv̩˧ɳɯ˧ʝ˥ tɑ˧kɤ˥kʰɯ˩ le˧ti˩
õtsʰo˧pæ˧ʝi˧kʰɯ˩ɲi˩mæ˩|njɤ˧|ə˧v̩˧ɖɯ˧hĩ˥dʑo˩|tsʰo˧pæ˧tʰi˧tɕʰo˩|,õ˧tsʰo˧pæ˧ʝi˥kʰɯ˩ɲi˩mæ˩ njɤ˧ ə˧v̩˧˥ɖɯ˧hĩ˥ dʑo˩ tsʰo˧pæ˧ tʰi˧tɕʰo˥
ʐɤ˩mi˩ʈɤ˥ʈɤ˩tɕɯ˩ɑ˩ʁo˧|ʐɤ˩mi˩qo˥|ə˩gi˩||,ʐɤ˩mi˩ʈɯ˥ʈɤ˩ ʈʂʰɤ˩ wɤ˩˥ ʂɤ˧ʝi˧mi˩qo˥ ə˩gi˩
tsʰe˩kʰv̩˩˥|le˧gv̩˧ze˧|bɑ˩˥|tsʰe˩kʰv̩˩ʁʁo˩dɑ˩˥|dʑo˩|qʰæ˧˥|tsʰe˩kʰv̩˩ʁo˩tʰo˥dʑo˩|mɤ˧qʰæ˧ze˥|,tsʰe˩kʰv̩˥ le˩gv̩˩ze˩bæ˩ tsʰe˧kʰv̩˧˥ ʁo˩dɑ˧˥ dʑo˩ qʰæ˧˥ tsʰe˩kʰv̩˩ʁo˩tʰo˥dʑo˩ mɤ˧qʰæ˧ze˥
õ|õ˧ʈʂʰɯ˧ne˧ʝi˥zo˩|tʰi˩˥|ʑi˧qʰwɤ˧gv̩˩ʈʂʰɯ˩dʑo˩|ɖwæ˧˥|lo˧hɑ˧ɲi˥|ə˧sɯ˩kv̩˩|nɑ˩ʑi˧mi˧|ʈʂʰɯ˧dʑo˩|ɬɬɬ,õ˥ õ˧ʈʂʰɯ˧ne˧ʝi˥zo˩ tʰi˩˥ ʑi˧qʰwɤ˧gv̩˩ʈʂʰɯ˧dʑo˩ ɖwæ˧˥ lo˧hɑ˧ɲi˥ ə˧sɯ˩kv̩˩ nɑ˩ʑi˧mi˧ʈʂʰɯ˧dʑo˩
ʈʂʰɯ˧|ə˧mi˧|ʈʂʰɯ˧jɤ˩ɳɯ˩|ə˧mi˧|ə˧mɑ˧|tʰɑ˧kɤ˧ʈʂɯ˩le˩|njæ˧zɯ˩|mv̩˩tɕʰi˩bi˩pi˥|kʰi˧˥|dʑo˩,ʈʂɤ˧ə˧mi˧ ʈʂʰɯ˧njɤ˥ɳɯ˩ ə˧mi˧ ə˧mɑ˧ tʰɑ˧kɤ˧ʈʂɯ˧ɻ̍˧ njɤ˧ɻ̍˩zɯ˩ mv̩˩tɕʰi˩bi˩pi˥kʰi˩dʑo˩
gɤ˩ʈi˥|ʈʰææ̃˧|hɑ˧ʈʂʰɯ˧|æpi˧|ɖɯ˧kʰwɤ˥ɖɯ˩kʰwɤ˩lɑ˩|dzɯ˧ʁo˧|,gɤ˩ʈi˧ ʈʰɑ˧hɑ˧ʂe˥ jæpi˧ ɖɯ˧kʰwɤ˥ɖɯ˩kʰwɤ˩lɑ˩dzɯ˩ʁo˩
tʰi˩˥|lo˧ʂv̩˩|hi˩nɑ˧mi˧|pi˧dʑo˩|tʰi˩˥|zo˩no˥mmm…|,tʰi˩˥ lo˧ʂv̩˩hi˩nɑ˧mi˧ pi˧dʑo˩ tʰi˩˥ zo˩no˥mm…
