Reference	Prediction	Ref_noTones	Pred_noTones	Ref_words_noTones	Pred_words_noTones	Diff_num_words	Lev_distance_noTones	Lev_distance_words_notones	Average_lev_dist_notones
mmm…ʁo˧qʰwɤ˩ le˧pv̩˩kʰɯ˩	mm…ʁo˧qʰwɤ˩ le˧pv̩˩kʰɯ˩	mmm…ʁoqʰwɤ lepv̩kʰɯ	mm…ʁoqʰwɤ lepv̩kʰɯ	['mmm…ʁoqʰwɤ', 'lepv̩kʰɯ']	['mm…ʁoqʰwɤ', 'lepv̩kʰɯ']	0	0.972972972972973	[0.9473684210526315, 1.0]	0.9736842105263157
tʰi˩˥ njæ˧sɯ˩kv̩˩ hĩ˧ ɲi˧tsi˧kv̩˧ɲi˥ ə˩gi˩ lɑ˧tʰɑ˧mi˧ɻ̍˧pi˥	tʰi˩˥ njæ˧sɯ˩kv̩˩ hĩ˧ ɲi˧tsi˧kv̩˧ɲi˥ ə˩gi˩˥ lɑ˧tʰɑ˧mi˧ɻ̍˧pi˥	tʰi njæsɯkv̩ hĩ ɲitsikv̩ɲi əgi lɑtʰɑmiɻ̍pi	tʰi njæsɯkv̩ hĩ ɲitsikv̩ɲi əgi lɑtʰɑmiɻ̍pi	['tʰi', 'njæsɯkv̩', 'hĩ', 'ɲitsikv̩ɲi', 'əgi', 'lɑtʰɑmiɻ̍pi']	['tʰi', 'njæsɯkv̩', 'hĩ', 'ɲitsikv̩ɲi', 'əgi', 'lɑtʰɑmiɻ̍pi']	0	1.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	1.0
tʰv̩˧v̩˧ʂɯ˧se˥kwɤ˩tɕɯ˩lɑ˩ kʰv̩˧ʈʂʰɯ˧ ɲi˧kʰv̩˧so˧kʰv̩˥ le˧ʂɯ˧ze˧le˧ʂe˧mɤ˧ɖɯ˧ ɲi˧kʰv̩˧so˧kʰv̩˥ le˧ʂɯ˧ze˧le˧ʂe˧mɤ˧ɖɯ˧ ʈʂʰɯ˧ tsʰe˩kʰv̩˩hĩ˥ ɖɯ˧v̩˧ɳɯ˧ʈʂʰɯ˧ ʈʂʰɯ˧lɑ˩ ɑ˩ʁo˧ tʰi˧pʰæ˧dʑo˥ hɑ˧ tʰi˧ki˧dʑo˩ gɯ˩ʝi˥ tsʰe˩kʰv̩˩ze˩gv̩˩ɳɯ˥ ʂɯ˧	ʈʂʰɯ˧v̩˧ʂɯ˧se˥kʰwɤ˩tɕɯ˩ɑ kʰv̩˧ʈʂʰɯ˧ ɲi˧kʰv̩˧sʰo˧kʰwɤ˥ le˧ʂɯ˧ze˧ ɲi˧kʰv̩˧tsʰo˧kʰv̩˥ le˧ʂɯ˧ze˧ ʈʂʰɯ˧ tsʰe˩kʰv̩˩hĩ˥ ɖɯ˧v̩˧ɳɯ˧ ʈʂʰɯ˧ ʈʂʰɯ˧lɑ˩ ɑ˩ʁo˧ tʰi˧pʰæ˧dʑo˥ hɑ˧ tʰi˧ki˧ dʑo˩ gɯ˩ʝi˥ tsʰe˩kʰv̩˩ze˩gv̩˩ɳɯ˥ʂɯ˩	tʰv̩v̩ʂɯsekwɤtɕɯlɑ kʰv̩ʈʂʰɯ ɲikʰv̩sokʰv̩ leʂɯzeleʂemɤɖɯ ɲikʰv̩sokʰv̩ leʂɯzeleʂemɤɖɯ ʈʂʰɯ tsʰekʰv̩hĩ ɖɯv̩ɳɯʈʂʰɯ ʈʂʰɯlɑ ɑʁo tʰipʰædʑo hɑ tʰikidʑo gɯʝi tsʰekʰv̩zegv̩ɳɯ ʂɯ	ʈʂʰɯv̩ʂɯsekʰwɤtɕɯɑ kʰv̩ʈʂʰɯ ɲikʰv̩sʰokʰwɤ leʂɯze ɲikʰv̩tsʰokʰv̩ leʂɯze ʈʂʰɯ tsʰekʰv̩hĩ ɖɯv̩ɳɯ ʈʂʰɯ ʈʂʰɯlɑ ɑʁo tʰipʰædʑo hɑ tʰiki dʑo gɯʝi tsʰekʰv̩zegv̩ɳɯʂɯ	['tʰv̩v̩ʂɯsekwɤtɕɯlɑ', 'kʰv̩ʈʂʰɯ', 'ɲikʰv̩sokʰv̩', 'leʂɯzeleʂemɤɖɯ', 'ɲikʰv̩sokʰv̩', 'leʂɯzeleʂemɤɖɯ', 'ʈʂʰɯ', 'tsʰekʰv̩hĩ', 'ɖɯv̩ɳɯʈʂʰɯ', 'ʈʂʰɯlɑ', 'ɑʁo', 'tʰipʰædʑo', 'hɑ', 'tʰikidʑo', 'gɯʝi', 'tsʰekʰv̩zegv̩ɳɯ', 'ʂɯ']	['ʈʂʰɯv̩ʂɯsekʰwɤtɕɯɑ', 'kʰv̩ʈʂʰɯ', 'ɲikʰv̩sʰokʰwɤ', 'leʂɯze', 'ɲikʰv̩tsʰokʰv̩', 'leʂɯze', 'ʈʂʰɯ', 'tsʰekʰv̩hĩ', 'ɖɯv̩ɳɯ', 'ʈʂʰɯ', 'ʈʂʰɯlɑ', 'ɑʁo', 'tʰipʰædʑo', 'hɑ', 'tʰiki', 'dʑo', 'gɯʝi', 'tsʰekʰv̩zegv̩ɳɯʂɯ']	1	0.8950617283950617	[0.7777777777777778, 1.0, 0.8, 0.6, 0.9230769230769231, 0.6, 1.0, 1.0, 0.75, 0.8, 0.2222222222222222, 0.16666666666666666, 0.0, 0.0, 0.2222222222222222, 0.0, 0.3333333333333333]	0.5408999497234791
ə˧mi˧ dzɑ˧hĩ˧ki˧ ə˧sɯ˩kv̩˩ tɑ˧ho˧bi˧ze˧ pi˧ dʑɤ˩hĩ˧ki˧ tɑ˧ho˧bi˧ze˧ pi˧	ə˧mi˧dzɑ˧hĩ˧ki˧ ə˩sɯ˩kv̩˩ tɑ˧ho˧bi˩ze˩ pi˧ dʑɤ˩hĩ˧ki˥ tɑ˧hwɤ˧bi˧ze˩ pi˧	əmi dzɑhĩki əsɯkv̩ tɑhobize pi dʑɤhĩki tɑhobize pi	əmidzɑhĩki əsɯkv̩ tɑhobize pi dʑɤhĩki tɑhwɤbize pi	['əmi', 'dzɑhĩki', 'əsɯkv̩', 'tɑhobize', 'pi', 'dʑɤhĩki', 'tɑhobize', 'pi']	['əmidzɑhĩki', 'əsɯkv̩', 'tɑhobize', 'pi', 'dʑɤhĩki', 'tɑhwɤbize', 'pi']	-1	0.9615384615384616	[0.42857142857142855, 0.14285714285714285, 0.0, 0.2, 0.2, 0.23529411764705882, 0.2, 0.0]	0.17584033613445377
qwæ˩ʈʂæ˩qo˥ sɑ˧ tʰi˧ʈʰæ˧˥ ʈʂʰɖɯ˧kʰwɤ˥ɖɯ˩kʰwɤ˩ le˧kʰi˥ ʈʂʰɯ˧ne˧ʝi˥ le˧ɲi˩	qwæ˩ɖʐæ˩qo˥ sɑ˧ tʰi˧ʈʰæ˧˥ ɖɯ˧ʈʰɯ˧kʰwɤ˥ɖɯ˩kʰwɤ˩ le˧ʝi˧kʰi˧˥ ʈʂʰɯ˧ne˧ʝi˥ le˧ɲi˩	qwæʈʂæqo sɑ tʰiʈʰæ ʈʂʰɖɯkʰwɤɖɯkʰwɤ lekʰi ʈʂʰɯneʝi leɲi	qwæɖʐæqo sɑ tʰiʈʰæ ɖɯʈʰɯkʰwɤɖɯkʰwɤ leʝikʰi ʈʂʰɯneʝi leɲi	['qwæʈʂæqo', 'sɑ', 'tʰiʈʰæ', 'ʈʂʰɖɯkʰwɤɖɯkʰwɤ', 'lekʰi', 'ʈʂʰɯneʝi', 'leɲi']	['qwæɖʐæqo', 'sɑ', 'tʰiʈʰæ', 'ɖɯʈʰɯkʰwɤɖɯkʰwɤ', 'leʝikʰi', 'ʈʂʰɯneʝi', 'leɲi']	0	0.9090909090909091	[0.75, 1.0, 1.0, 0.8666666666666667, 0.8333333333333334, 1.0, 1.0]	0.9214285714285715
njæ˧ɻæ˩dʑo˩ kʰv̩˩mi˩pi˥hĩ˩dʑo˩ ɑ˩ʁo˥ ʈʰææ̃˧ kʰv̩˧ʂe˧ le˧ʁhĩ˧ɻæ˥ ʝi˧kʰv̩˥ ɑ˩ʁo˥ kʰv̩˧ʂe˧tɕɤ˧kʰɯ˥ mɤ˧kv̩˧˥	nij̃˧ɻæ˩dʑo˩ kʰv̩˩mi˩pi˥hĩ˩dʑo˩ ɑ˩ʁo˧ ʈʰææ̃˧ kʰv̩˧ɯ le˧ʁohĩ˧ɻæ˥ ʝi˧kʰv̩˥ ɑ˩ʁo˧ kʰv̩˧ʂe˧ tɕɤ˩kʰɯ˥ mɤ˧kv̩˧	njæɻædʑo kʰv̩mipihĩdʑo ɑʁo ʈʰææ̃ kʰv̩ʂe leʁhĩɻæ ʝikʰv̩ ɑʁo kʰv̩ʂetɕɤkʰɯ mɤkv̩	nij̃ɻædʑo kʰv̩mipihĩdʑo ɑʁo ʈʰææ̃ kʰv̩ɯ leʁohĩɻæ ʝikʰv̩ ɑʁo kʰv̩ʂe tɕɤkʰɯ mɤkv̩	['njæɻædʑo', 'kʰv̩mipihĩdʑo', 'ɑʁo', 'ʈʰææ̃', 'kʰv̩ʂe', 'leʁhĩɻæ', 'ʝikʰv̩', 'ɑʁo', 'kʰv̩ʂetɕɤkʰɯ', 'mɤkv̩']	['nij̃ɻædʑo', 'kʰv̩mipihĩdʑo', 'ɑʁo', 'ʈʰææ̃', 'kʰv̩ɯ', 'leʁohĩɻæ', 'ʝikʰv̩', 'ɑʁo', 'kʰv̩ʂe', 'tɕɤkʰɯ', 'mɤkv̩']	1	0.95	[0.8235294117647058, 1.0, 1.0, 1.0, 0.7272727272727273, 0.9411764705882353, 1.0, 1.0, 0.6666666666666666, 0.36363636363636365]	0.8522281639928698
ʈʂʰɯ˧ne˧ʝi˥ ɖɯ˧hɑ̃˧˥ ɖɯ˧hɑ̃˧˥ ɖɯ˧hɑ̃˧ɳɯ˥ tʰi˩˥ bi˧lo˧gv̩˩ so˩hɑ̃˩hɑ̃˥kv̩˩tsɯ˩ mv̩	ʈʂʰɯ˧ne˧ʝi˥ ɖɯ˧hɑ̃˧ ɖɯ˧hɑ̃˧ ɖɯ˧hɑ̃˧ɳɯ˥ tʰi˩˥ bi˧ lo˧gv̩˩ so˩hɑ̃˩hɑ̃˥kv̩˩tsɯ˩ mv̩˩	ʈʂʰɯneʝi ɖɯhɑ̃ ɖɯhɑ̃ ɖɯhɑ̃ɳɯ tʰi bilogv̩ sohɑ̃hɑ̃kv̩tsɯ mv̩	ʈʂʰɯneʝi ɖɯhɑ̃ ɖɯhɑ̃ ɖɯhɑ̃ɳɯ tʰi bi logv̩ sohɑ̃hɑ̃kv̩tsɯ mv̩	['ʈʂʰɯneʝi', 'ɖɯhɑ̃', 'ɖɯhɑ̃', 'ɖɯhɑ̃ɳɯ', 'tʰi', 'bilogv̩', 'sohɑ̃hɑ̃kv̩tsɯ', 'mv̩']	['ʈʂʰɯneʝi', 'ɖɯhɑ̃', 'ɖɯhɑ̃', 'ɖɯhɑ̃ɳɯ', 'tʰi', 'bi', 'logv̩', 'sohɑ̃hɑ̃kv̩tsɯ', 'mv̩']	1	0.9915966386554622	[1.0, 1.0, 1.0, 1.0, 1.0, 0.4444444444444444, 0.3157894736842105, 0.23529411764705882]	0.7494410044719643
ə˧tso˧ɲi˩kv̩˩hɤ˩ pi˧zo˩	ə˧tso˧hĩ˧ɲi˩kv̩˩hɯ˩ pi˧zo˩	ətsoɲikv̩hɤ pizo	ətsohĩɲikv̩hɯ pizo	['ətsoɲikv̩hɤ', 'pizo']	['ətsohĩɲikv̩hɯ', 'pizo']	0	0.8571428571428571	[0.8, 1.0]	0.9
zo˩no˧ne˩ʝi˩zo˩ ə˧tso˧ə˧tso˥ ɖɯ˧qʰwɤ˧ɖɯ˥qʰwɤ˩ pi˧zo˩ ɖɯ˧ʈʂo˩ɖɯ˩ʈʂo˩ dʑo˧mɤ˧kv̩˧˥	zo˩no˧ni˩dzo˩ ə˧tso˧ə˧tso˥ ɖɯ˧qʰwɤ˧ɖɯ˧qʰwɤ˧pi˥zo˩ ɖɯ˧ʈʂo˩ɖɯ˧ʈʂo˩ dʑo˩mɤ˩kv̩˩	zononeʝizo ətsoətso ɖɯqʰwɤɖɯqʰwɤ pizo ɖɯʈʂoɖɯʈʂo dʑomɤkv̩	zononidzo ətsoətso ɖɯqʰwɤɖɯqʰwɤpizo ɖɯʈʂoɖɯʈʂo dʑomɤkv̩	['zononeʝizo', 'ətsoətso', 'ɖɯqʰwɤɖɯqʰwɤ', 'pizo', 'ɖɯʈʂoɖɯʈʂo', 'dʑomɤkv̩']	['zononidzo', 'ətsoətso', 'ɖɯqʰwɤɖɯqʰwɤpizo', 'ɖɯʈʂoɖɯʈʂo', 'dʑomɤkv̩']	-1	0.9642857142857143	[0.8421052631578947, 1.0, 0.8571428571428571, 0.14285714285714285, 0.1111111111111111, 0.0]	0.4922027290448343
le˧dzɯ˥zo˩ tʰi˩˥ ʈʂʰɯ˧ne˧ʝi˥ le˧ʈʰæ˧˥ dʑo˩ mɤ˩ʈʂʰɯ˥ tʰi˧di˩ le˧tsʰɯ˩tsɯ˩mv̩˩	le˧dzɯ˧zo˥ tʰi˩˥ ʈʂʰɯ˧ne˧ʝi˥ le˧ʈʰæ˧˥ dʑo˩ mo˩ʈʂʰɯ˥ tʰi˧di˩le˩tsɯ˩tsɯ˩ mv̩˩	ledzɯzo tʰi ʈʂʰɯneʝi leʈʰæ dʑo mɤʈʂʰɯ tʰidi letsʰɯtsɯmv̩	ledzɯzo tʰi ʈʂʰɯneʝi leʈʰæ dʑo moʈʂʰɯ tʰidiletsɯtsɯ mv̩	['ledzɯzo', 'tʰi', 'ʈʂʰɯneʝi', 'leʈʰæ', 'dʑo', 'mɤʈʂʰɯ', 'tʰidi', 'letsʰɯtsɯmv̩']	['ledzɯzo', 'tʰi', 'ʈʂʰɯneʝi', 'leʈʰæ', 'dʑo', 'moʈʂʰɯ', 'tʰidiletsɯtsɯ', 'mv̩']	0	0.954954954954955	[1.0, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 0.5555555555555556, 0.4]	0.8486111111111111
