Reference	Prediction	Ref_words	Pred_words	Diff_num_words	Lev_distance	Lev_distance_words	Average_lev_dist_words
mmm…ʁo˧qʰwɤ˩ le˧pv̩˩kʰɯ˩	mm…ʁo˧qʰwɤ˩ le˧pv̩˩kʰɯ˩	['mmm…ʁo˧qʰwɤ˩', 'le˧pv̩˩kʰɯ˩']	['mm…ʁo˧qʰwɤ˩', 'le˧pv̩˩kʰɯ˩']	0	0.9787234042553191	[0.9565217391304348, 1.0]	0.9782608695652174
tʰi˩˥ njæ˧sɯ˩kv̩˩ hĩ˧ ɲi˧tsi˧kv̩˧ɲi˥ ə˩gi˩ lɑ˧tʰɑ˧mi˧ɻ̍˧pi˥	tʰi˩˥ njæ˧sɯ˩kv̩˩ hĩ˧ ɲi˧tsi˧kv̩˧ɲi˥ ə˩gi˩˥ lɑ˧tʰɑ˧mi˧ɻ̍˧pi˥	['tʰi˩˥', 'njæ˧sɯ˩kv̩˩', 'hĩ˧', 'ɲi˧tsi˧kv̩˧ɲi˥', 'ə˩gi˩', 'lɑ˧tʰɑ˧mi˧ɻ̍˧pi˥']	['tʰi˩˥', 'njæ˧sɯ˩kv̩˩', 'hĩ˧', 'ɲi˧tsi˧kv̩˧ɲi˥', 'ə˩gi˩˥', 'lɑ˧tʰɑ˧mi˧ɻ̍˧pi˥']	0	0.9917355371900827	[1.0, 1.0, 1.0, 1.0, 0.9090909090909091, 1.0]	0.9848484848484849
tʰv̩˧v̩˧ʂɯ˧se˥kwɤ˩tɕɯ˩lɑ˩ kʰv̩˧ʈʂʰɯ˧ ɲi˧kʰv̩˧so˧kʰv̩˥ le˧ʂɯ˧ze˧le˧ʂe˧mɤ˧ɖɯ˧ ɲi˧kʰv̩˧so˧kʰv̩˥ le˧ʂɯ˧ze˧le˧ʂe˧mɤ˧ɖɯ˧ ʈʂʰɯ˧ tsʰe˩kʰv̩˩hĩ˥ ɖɯ˧v̩˧ɳɯ˧ʈʂʰɯ˧ ʈʂʰɯ˧lɑ˩ ɑ˩ʁo˧ tʰi˧pʰæ˧dʑo˥ hɑ˧ tʰi˧ki˧dʑo˩ gɯ˩ʝi˥ tsʰe˩kʰv̩˩ze˩gv̩˩ɳɯ˥ ʂɯ˧	ʈʂʰɯ˧v̩˧ʂɯ˧se˥kʰwɤ˩tɕɯ˩ɑ kʰv̩˧ʈʂʰɯ˧ ɲi˧kʰv̩˧sʰo˧kʰwɤ˥ le˧ʂɯ˧ze˧ ɲi˧kʰv̩˧tsʰo˧kʰv̩˥ le˧ʂɯ˧ze˧ ʈʂʰɯ˧ tsʰe˩kʰv̩˩hĩ˥ ɖɯ˧v̩˧ɳɯ˧ ʈʂʰɯ˧ ʈʂʰɯ˧lɑ˩ ɑ˩ʁo˧ tʰi˧pʰæ˧dʑo˥ hɑ˧ tʰi˧ki˧ dʑo˩ gɯ˩ʝi˥ tsʰe˩kʰv̩˩ze˩gv̩˩ɳɯ˥ʂɯ˩	['tʰv̩˧v̩˧ʂɯ˧se˥kwɤ˩tɕɯ˩lɑ˩', 'kʰv̩˧ʈʂʰɯ˧', 'ɲi˧kʰv̩˧so˧kʰv̩˥', 'le˧ʂɯ˧ze˧le˧ʂe˧mɤ˧ɖɯ˧', 'ɲi˧kʰv̩˧so˧kʰv̩˥', 'le˧ʂɯ˧ze˧le˧ʂe˧mɤ˧ɖɯ˧', 'ʈʂʰɯ˧', 'tsʰe˩kʰv̩˩hĩ˥', 'ɖɯ˧v̩˧ɳɯ˧ʈʂʰɯ˧', 'ʈʂʰɯ˧lɑ˩', 'ɑ˩ʁo˧', 'tʰi˧pʰæ˧dʑo˥', 'hɑ˧', 'tʰi˧ki˧dʑo˩', 'gɯ˩ʝi˥', 'tsʰe˩kʰv̩˩ze˩gv̩˩ɳɯ˥', 'ʂɯ˧']	['ʈʂʰɯ˧v̩˧ʂɯ˧se˥kʰwɤ˩tɕɯ˩ɑ', 'kʰv̩˧ʈʂʰɯ˧', 'ɲi˧kʰv̩˧sʰo˧kʰwɤ˥', 'le˧ʂɯ˧ze˧', 'ɲi˧kʰv̩˧tsʰo˧kʰv̩˥', 'le˧ʂɯ˧ze˧', 'ʈʂʰɯ˧', 'tsʰe˩kʰv̩˩hĩ˥', 'ɖɯ˧v̩˧ɳɯ˧', 'ʈʂʰɯ˧', 'ʈʂʰɯ˧lɑ˩', 'ɑ˩ʁo˧', 'tʰi˧pʰæ˧dʑo˥', 'hɑ˧', 'tʰi˧ki˧', 'dʑo˩', 'gɯ˩ʝi˥', 'tsʰe˩kʰv̩˩ze˩gv̩˩ɳɯ˥ʂɯ˩']	1	0.8955916473317865	[0.8163265306122449, 1.0, 0.8484848484848485, 0.6, 0.9411764705882353, 0.6, 1.0, 1.0, 0.782608695652174, 0.7692307692307693, 0.3076923076923077, 0.11764705882352941, 0.13333333333333333, 0.14285714285714285, 0.15384615384615385, 0.08333333333333333, 0.2222222222222222]	0.5599269921574291
ə˧mi˧ dzɑ˧hĩ˧ki˧ ə˧sɯ˩kv̩˩ tɑ˧ho˧bi˧ze˧ pi˧ dʑɤ˩hĩ˧ki˧ tɑ˧ho˧bi˧ze˧ pi˧	ə˧mi˧dzɑ˧hĩ˧ki˧ ə˩sɯ˩kv̩˩ tɑ˧ho˧bi˩ze˩ pi˧ dʑɤ˩hĩ˧ki˥ tɑ˧hwɤ˧bi˧ze˩ pi˧	['ə˧mi˧', 'dzɑ˧hĩ˧ki˧', 'ə˧sɯ˩kv̩˩', 'tɑ˧ho˧bi˧ze˧', 'pi˧', 'dʑɤ˩hĩ˧ki˧', 'tɑ˧ho˧bi˧ze˧', 'pi˧']	['ə˧mi˧dzɑ˧hĩ˧ki˧', 'ə˩sɯ˩kv̩˩', 'tɑ˧ho˧bi˩ze˩', 'pi˧', 'dʑɤ˩hĩ˧ki˥', 'tɑ˧hwɤ˧bi˧ze˩', 'pi˧']	-1	0.9041095890410958	[0.47619047619047616, 0.1, 0.2857142857142857, 0.26666666666666666, 0.2857142857142857, 0.3333333333333333, 0.26666666666666666, 0.0]	0.2517857142857143
qwæ˩ʈʂæ˩qo˥ sɑ˧ tʰi˧ʈʰæ˧˥ ʈʂʰɖɯ˧kʰwɤ˥ɖɯ˩kʰwɤ˩ le˧kʰi˥ ʈʂʰɯ˧ne˧ʝi˥ le˧ɲi˩	qwæ˩ɖʐæ˩qo˥ sɑ˧ tʰi˧ʈʰæ˧˥ ɖɯ˧ʈʰɯ˧kʰwɤ˥ɖɯ˩kʰwɤ˩ le˧ʝi˧kʰi˧˥ ʈʂʰɯ˧ne˧ʝi˥ le˧ɲi˩	['qwæ˩ʈʂæ˩qo˥', 'sɑ˧', 'tʰi˧ʈʰæ˧˥', 'ʈʂʰɖɯ˧kʰwɤ˥ɖɯ˩kʰwɤ˩', 'le˧kʰi˥', 'ʈʂʰɯ˧ne˧ʝi˥', 'le˧ɲi˩']	['qwæ˩ɖʐæ˩qo˥', 'sɑ˧', 'tʰi˧ʈʰæ˧˥', 'ɖɯ˧ʈʰɯ˧kʰwɤ˥ɖɯ˩kʰwɤ˩', 'le˧ʝi˧kʰi˧˥', 'ʈʂʰɯ˧ne˧ʝi˥', 'le˧ɲi˩']	0	0.912751677852349	[0.8181818181818182, 1.0, 1.0, 0.8717948717948718, 0.7777777777777778, 1.0, 1.0]	0.923964923964924
njæ˧ɻæ˩dʑo˩ kʰv̩˩mi˩pi˥hĩ˩dʑo˩ ɑ˩ʁo˥ ʈʰææ̃˧ kʰv̩˧ʂe˧ le˧ʁhĩ˧ɻæ˥ ʝi˧kʰv̩˥ ɑ˩ʁo˥ kʰv̩˧ʂe˧tɕɤ˧kʰɯ˥ mɤ˧kv̩˧˥	nij̃˧ɻæ˩dʑo˩ kʰv̩˩mi˩pi˥hĩ˩dʑo˩ ɑ˩ʁo˧ ʈʰææ̃˧ kʰv̩˧ɯ le˧ʁohĩ˧ɻæ˥ ʝi˧kʰv̩˥ ɑ˩ʁo˧ kʰv̩˧ʂe˧ tɕɤ˩kʰɯ˥ mɤ˧kv̩˧	['njæ˧ɻæ˩dʑo˩', 'kʰv̩˩mi˩pi˥hĩ˩dʑo˩', 'ɑ˩ʁo˥', 'ʈʰææ̃˧', 'kʰv̩˧ʂe˧', 'le˧ʁhĩ˧ɻæ˥', 'ʝi˧kʰv̩˥', 'ɑ˩ʁo˥', 'kʰv̩˧ʂe˧tɕɤ˧kʰɯ˥', 'mɤ˧kv̩˧˥']	['nij̃˧ɻæ˩dʑo˩', 'kʰv̩˩mi˩pi˥hĩ˩dʑo˩', 'ɑ˩ʁo˧', 'ʈʰææ̃˧', 'kʰv̩˧ɯ', 'le˧ʁohĩ˧ɻæ˥', 'ʝi˧kʰv̩˥', 'ɑ˩ʁo˧', 'kʰv̩˧ʂe˧', 'tɕɤ˩kʰɯ˥', 'mɤ˧kv̩˧']	1	0.9245283018867925	[0.8695652173913043, 1.0, 0.8, 1.0, 0.7142857142857143, 0.9565217391304348, 1.0, 0.8, 0.6666666666666666, 0.375]	0.8182039337474121
ʈʂʰɯ˧ne˧ʝi˥ ɖɯ˧hɑ̃˧˥ ɖɯ˧hɑ̃˧˥ ɖɯ˧hɑ̃˧ɳɯ˥ tʰi˩˥ bi˧lo˧gv̩˩ so˩hɑ̃˩hɑ̃˥kv̩˩tsɯ˩ mv̩	ʈʂʰɯ˧ne˧ʝi˥ ɖɯ˧hɑ̃˧ ɖɯ˧hɑ̃˧ ɖɯ˧hɑ̃˧ɳɯ˥ tʰi˩˥ bi˧ lo˧gv̩˩ so˩hɑ̃˩hɑ̃˥kv̩˩tsɯ˩ mv̩˩	['ʈʂʰɯ˧ne˧ʝi˥', 'ɖɯ˧hɑ̃˧˥', 'ɖɯ˧hɑ̃˧˥', 'ɖɯ˧hɑ̃˧ɳɯ˥', 'tʰi˩˥', 'bi˧lo˧gv̩˩', 'so˩hɑ̃˩hɑ̃˥kv̩˩tsɯ˩', 'mv̩']	['ʈʂʰɯ˧ne˧ʝi˥', 'ɖɯ˧hɑ̃˧', 'ɖɯ˧hɑ̃˧', 'ɖɯ˧hɑ̃˧ɳɯ˥', 'tʰi˩˥', 'bi˧', 'lo˧gv̩˩', 'so˩hɑ̃˩hɑ̃˥kv̩˩tsɯ˩', 'mv̩˩']	1	0.9753086419753086	[1.0, 0.9333333333333333, 0.9333333333333333, 1.0, 1.0, 0.46153846153846156, 0.3076923076923077, 0.18181818181818182]	0.7272144522144522
ə˧tso˧ɲi˩kv̩˩hɤ˩ pi˧zo˩	ə˧tso˧hĩ˧ɲi˩kv̩˩hɯ˩ pi˧zo˩	['ə˧tso˧ɲi˩kv̩˩hɤ˩', 'pi˧zo˩']	['ə˧tso˧hĩ˧ɲi˩kv̩˩hɯ˩', 'pi˧zo˩']	0	0.88	[0.8333333333333334, 1.0]	0.9166666666666667
zo˩no˧ne˩ʝi˩zo˩ ə˧tso˧ə˧tso˥ ɖɯ˧qʰwɤ˧ɖɯ˥qʰwɤ˩ pi˧zo˩ ɖɯ˧ʈʂo˩ɖɯ˩ʈʂo˩ dʑo˧mɤ˧kv̩˧˥	zo˩no˧ni˩dzo˩ ə˧tso˧ə˧tso˥ ɖɯ˧qʰwɤ˧ɖɯ˧qʰwɤ˧pi˥zo˩ ɖɯ˧ʈʂo˩ɖɯ˧ʈʂo˩ dʑo˩mɤ˩kv̩˩	['zo˩no˧ne˩ʝi˩zo˩', 'ə˧tso˧ə˧tso˥', 'ɖɯ˧qʰwɤ˧ɖɯ˥qʰwɤ˩', 'pi˧zo˩', 'ɖɯ˧ʈʂo˩ɖɯ˩ʈʂo˩', 'dʑo˧mɤ˧kv̩˧˥']	['zo˩no˧ni˩dzo˩', 'ə˧tso˧ə˧tso˥', 'ɖɯ˧qʰwɤ˧ɖɯ˧qʰwɤ˧pi˥zo˩', 'ɖɯ˧ʈʂo˩ɖɯ˧ʈʂo˩', 'dʑo˩mɤ˩kv̩˩']	-1	0.8717948717948718	[0.8571428571428571, 1.0, 0.7894736842105263, 0.3, 0.32, 0.0]	0.5444360902255639
le˧dzɯ˥zo˩ tʰi˩˥ ʈʂʰɯ˧ne˧ʝi˥ le˧ʈʰæ˧˥ dʑo˩ mɤ˩ʈʂʰɯ˥ tʰi˧di˩ le˧tsʰɯ˩tsɯ˩mv̩˩	le˧dzɯ˧zo˥ tʰi˩˥ ʈʂʰɯ˧ne˧ʝi˥ le˧ʈʰæ˧˥ dʑo˩ mo˩ʈʂʰɯ˥ tʰi˧di˩le˩tsɯ˩tsɯ˩ mv̩˩	['le˧dzɯ˥zo˩', 'tʰi˩˥', 'ʈʂʰɯ˧ne˧ʝi˥', 'le˧ʈʰæ˧˥', 'dʑo˩', 'mɤ˩ʈʂʰɯ˥', 'tʰi˧di˩', 'le˧tsʰɯ˩tsɯ˩mv̩˩']	['le˧dzɯ˧zo˥', 'tʰi˩˥', 'ʈʂʰɯ˧ne˧ʝi˥', 'le˧ʈʰæ˧˥', 'dʑo˩', 'mo˩ʈʂʰɯ˥', 'tʰi˧di˩le˩tsɯ˩tsɯ˩', 'mv̩˩']	0	0.9271523178807947	[0.8, 1.0, 1.0, 1.0, 1.0, 0.875, 0.56, 0.4]	0.829375
tʰi˩˥ dɑ˧pɤ˧ ʈʂʰɯ˧v̩˧ɳɯ˩ ɖɯ˧ʑi˩ɖɯ˩ʑi˩ mv̩˧ɻwæ˧kv̩˩ze˩	tʰi˩˥ dɑ˧pɤ˧ ʈʂʰɯ˧v̩˧ɳɯ˧ ɖɯ˧ʑi˩ɖɯ˩ʑi˩ mv̩˧ɻæ˩kv̩˩ze˩mæ˩	['tʰi˩˥', 'dɑ˧pɤ˧', 'ʈʂʰɯ˧v̩˧ɳɯ˩', 'ɖɯ˧ʑi˩ɖɯ˩ʑi˩', 'mv̩˧ɻwæ˧kv̩˩ze˩']	['tʰi˩˥', 'dɑ˧pɤ˧', 'ʈʂʰɯ˧v̩˧ɳɯ˧', 'ɖɯ˧ʑi˩ɖɯ˩ʑi˩', 'mv̩˧ɻæ˩kv̩˩ze˩mæ˩']	0	0.9259259259259259	[1.0, 1.0, 0.9090909090909091, 1.0, 0.8125]	0.9443181818181818
