Reference	Prediction	Ref_char	Pred_char	F_score_char	Precision_char	Recall_char
nɯnɯ pjɯ́wɣtɕɤt khɯ tɕe	nɯnɯ pjɯ́wɣtɕɤt khɯ tɕe	['n', 'ɯ', 'n', 'ɯ', 'S', 'p', 'j', 'ɯ', '́', 'w', 'ɣ', 't', 'ɕ', 'ɤ', 't', 'S', 'k', 'h', 'ɯ', 'S', 't', 'ɕ', 'e']	['n', 'ɯ', 'n', 'ɯ', 'S', 'p', 'j', 'ɯ', '́', 'w', 'ɣ', 't', 'ɕ', 'ɤ', 't', 'S', 'k', 'h', 'ɯ', 'S', 't', 'ɕ', 'e']	1.0	1.0	1.0
tɕe nɯnɯ ɣɯ ɯjwaʁ nɯ rʁɤβrʁɤβ kɯpa ci ŋu tɕe	tɕe nɯnɯ ɣɯ ɯjwaʁ nɯ rʁɤβrʁɤβ kɯpa ci ŋu tɕe	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'ɣ', 'ɯ', 'S', 'ɯ', 'j', 'w', 'a', 'ʁ', 'S', 'n', 'ɯ', 'S', 'r', 'ʁ', 'ɤ', 'β', 'r', 'ʁ', 'ɤ', 'β', 'S', 'k', 'ɯ', 'p', 'a', 'S', 'c', 'i', 'S', 'ŋ', 'u', 'S', 't', 'ɕ', 'e']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'ɣ', 'ɯ', 'S', 'ɯ', 'j', 'w', 'a', 'ʁ', 'S', 'n', 'ɯ', 'S', 'r', 'ʁ', 'ɤ', 'β', 'r', 'ʁ', 'ɤ', 'β', 'S', 'k', 'ɯ', 'p', 'a', 'S', 'c', 'i', 'S', 'ŋ', 'u', 'S', 't', 'ɕ', 'e']	1.0	1.0	1.0
tɕendɤre iɕqha nɯ maka ɯʑo ʑo tonɯʑɣɤnɯkon qhe joɕe ɲɯŋu	tɕendɤre iɕqha nɯ maka ɯʑo ʑo tonɯʑɣɤnɯkonɯ qhe joɕe ɲɯŋu	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'm', 'a', 'k', 'a', 'S', 'ɯ', 'ʑ', 'o', 'S', 'ʑ', 'o', 'S', 't', 'o', 'n', 'ɯ', 'ʑ', 'ɣ', 'ɤ', 'n', 'ɯ', 'k', 'o', 'n', '*', 'S', 'q', 'h', 'e', 'S', 'j', 'o', 'ɕ', 'e', 'S', 'ɲ', 'ɯ', 'ŋ', 'u']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 'n', 'ɯ', 'S', 'm', 'a', 'k', 'a', 'S', 'ɯ', 'ʑ', 'o', 'S', 'ʑ', 'o', 'S', 't', 'o', 'n', 'ɯ', 'ʑ', 'ɣ', 'ɤ', 'n', 'ɯ', 'k', 'o', 'n', 'ɯ', 'S', 'q', 'h', 'e', 'S', 'j', 'o', 'ɕ', 'e', 'S', 'ɲ', 'ɯ', 'ŋ', 'u']	0.953	0.993	0.957
tɕendɤre sŋi χsɯsŋi ɲówɣznɤʁaʁ ʑo tɕendɤre 	tɕendɤre li χsɯsŋi ɲɤ́wɣznɤʁaʁ ʑo tɕe tɕendɤre	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 's', 'ŋ', 'i', 'S', 'χ', 's', 'ɯ', 's', 'ŋ', 'i', 'S', 'ɲ', 'o', '́', 'w', 'ɣ', 'z', 'n', 'ɤ', 'ʁ', 'a', 'ʁ', 'S', 'ʑ', 'o', '*', '*', '*', '*', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', '*', 'l', 'i', 'S', 'χ', 's', 'ɯ', 's', 'ŋ', 'i', 'S', 'ɲ', 'ɤ', '́', 'w', 'ɣ', 'z', 'n', 'ɤ', 'ʁ', 'a', 'ʁ', 'S', 'ʑ', 'o', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', '*']	0.846	0.863	0.896
ɯjwaʁ nɯra qandzɤjo ɯjwaʁ tsa ɲɯfse	ɯjwaʁ nɯra qandzɤ jo ɯjwaʁ tsa ɲɯfse	['ɯ', 'j', 'w', 'a', 'ʁ', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'q', 'a', 'n', 'd', 'z', 'ɤ', '*', 'j', 'o', 'S', 'ɯ', 'j', 'w', 'a', 'ʁ', 'S', 't', 's', 'a', 'S', 'ɲ', 'ɯ', 'f', 's', 'e']	['ɯ', 'j', 'w', 'a', 'ʁ', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'q', 'a', 'n', 'd', 'z', 'ɤ', 'S', 'j', 'o', 'S', 'ɯ', 'j', 'w', 'a', 'ʁ', 'S', 't', 's', 'a', 'S', 'ɲ', 'ɯ', 'f', 's', 'e']	0.943	0.991	0.947
ɲɤnɤrɯra ri rcanɯ ɯtɯqanɯ pjɤsɤre ʑo 	ɲɤnɤrɯra ri rcanɯ ɯtɯqa nɯ pjɤsɤre ʑo	['ɲ', 'ɤ', 'n', 'ɤ', 'r', 'ɯ', 'r', 'a', 'S', 'r', 'i', 'S', 'r', 'c', 'a', 'n', 'ɯ', 'S', 'ɯ', 't', 'ɯ', 'q', 'a', '*', 'n', 'ɯ', 'S', 'p', 'j', 'ɤ', 's', 'ɤ', 'r', 'e', 'S', 'ʑ', 'o', 'S']	['ɲ', 'ɤ', 'n', 'ɤ', 'r', 'ɯ', 'r', 'a', 'S', 'r', 'i', 'S', 'r', 'c', 'a', 'n', 'ɯ', 'S', 'ɯ', 't', 'ɯ', 'q', 'a', 'S', 'n', 'ɯ', 'S', 'p', 'j', 'ɤ', 's', 'ɤ', 'r', 'e', 'S', 'ʑ', 'o', '*']	0.935	0.935	0.935
tɕendɤre nɤkinɯ tɕe nɯra pɯfse nɯra pɯraŋ tɕe kɯre jɤɣea pɯra toti	tɕendɤre nɤkinɯ tɕe nɯra pɯfse nɯra pɯraŋ tɕe kɯre jɤɣia pɯra toti	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 't', 'ɕ', 'e', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'p', 'ɯ', 'f', 's', 'e', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'p', 'ɯ', 'r', 'a', 'ŋ', 'S', 't', 'ɕ', 'e', 'S', 'k', 'ɯ', 'r', 'e', 'S', 'j', 'ɤ', 'ɣ', 'e', 'a', 'S', 'p', 'ɯ', 'r', 'a', 'S', 't', 'o', 't', 'i']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 't', 'ɕ', 'e', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'p', 'ɯ', 'f', 's', 'e', 'S', 'n', 'ɯ', 'r', 'a', 'S', 'p', 'ɯ', 'r', 'a', 'ŋ', 'S', 't', 'ɕ', 'e', 'S', 'k', 'ɯ', 'r', 'e', 'S', 'j', 'ɤ', 'ɣ', 'i', 'a', 'S', 'p', 'ɯ', 'r', 'a', 'S', 't', 'o', 't', 'i']	0.985	0.982	0.992
ɯqhu nɯ tɕu zdɯm kɯɲaʁ ci luɣi ŋu tɕe	aqhu nɯtɕu ɯqhu nɯ tɕu zdɯm kɯɲaʁ ci luɣi ŋu tɕe	['*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', 'ɯ', 'q', 'h', 'u', 'S', 'n', 'ɯ', 'S', 't', 'ɕ', 'u', 'S', 'z', 'd', 'ɯ', 'm', 'S', 'k', 'ɯ', 'ɲ', 'a', 'ʁ', 'S', 'c', 'i', 'S', 'l', 'u', 'ɣ', 'i', 'S', 'ŋ', 'u', 'S', 't', 'ɕ', 'e']	['a', 'q', 'h', 'u', 'S', 'n', 'ɯ', 't', 'ɕ', 'u', 'S', 'ɯ', 'q', 'h', 'u', 'S', 'n', 'ɯ', 'S', 't', 'ɕ', 'u', 'S', 'z', 'd', 'ɯ', 'm', 'S', 'k', 'ɯ', 'ɲ', 'a', 'ʁ', 'S', 'c', 'i', 'S', 'l', 'u', 'ɣ', 'i', 'S', 'ŋ', 'u', 'S', 't', 'ɕ', 'e']	0.857	0.845	0.955
ɯmɯntoʁ wuma ʑo mpɕɤr ɯdi sɤjloʁ	ɯmɯntoʁ wuma ʑo mpɕɤr ɯdi sɤjloʁ	['ɯ', 'm', 'ɯ', 'n', 't', 'o', 'ʁ', 'S', 'w', 'u', 'm', 'a', 'S', 'ʑ', 'o', 'S', 'm', 'p', 'ɕ', 'ɤ', 'r', 'S', 'ɯ', 'd', 'i', 'S', 's', 'ɤ', 'j', 'l', 'o', 'ʁ']	['ɯ', 'm', 'ɯ', 'n', 't', 'o', 'ʁ', 'S', 'w', 'u', 'm', 'a', 'S', 'ʑ', 'o', 'S', 'm', 'p', 'ɕ', 'ɤ', 'r', 'S', 'ɯ', 'd', 'i', 'S', 's', 'ɤ', 'j', 'l', 'o', 'ʁ']	1.0	1.0	1.0
chɯtɯt tɕe tɕe nɯnɯ thɯtɯt ri tɕe tɕendɤre	chɯtɯt tɕe tɕe nɯnɯ thɯtɯt ri tɕe tɕendɤre	['c', 'h', 'ɯ', 't', 'ɯ', 't', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 't', 'h', 'ɯ', 't', 'ɯ', 't', 'S', 'r', 'i', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e']	['c', 'h', 'ɯ', 't', 'ɯ', 't', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 't', 'h', 'ɯ', 't', 'ɯ', 't', 'S', 'r', 'i', 'S', 't', 'ɕ', 'e', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e']	1.0	1.0	1.0
tɕendɤre iɕqha tɤrte ɯkɯnɤrte tɯrme nɯ kɯ wo mɤʁdɯɣ manɯtɯ manɯtɯnɯzdɯɣnɯ kɤmbɣom mɤra ma aʑo aβlu tu toti	tɕendɤre iɕqha tɤrte ɯkɯnɤrte tɯrme nɯ kɯ wo mɤʁdɯɣ manɯtɯ manɯtɯnɯzdɯɣ nɯ kɤmbɣo mɤra ma aʑo aβlu tu toti	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 't', 'ɤ', 'r', 't', 'e', 'S', 'ɯ', 'k', 'ɯ', 'n', 'ɤ', 'r', 't', 'e', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'w', 'o', 'S', 'm', 'ɤ', 'ʁ', 'd', 'ɯ', 'ɣ', 'S', 'm', 'a', 'n', 'ɯ', 't', 'ɯ', 'S', 'm', 'a', 'n', 'ɯ', 't', 'ɯ', 'n', 'ɯ', 'z', 'd', 'ɯ', 'ɣ', '*', 'n', 'ɯ', 'S', 'k', 'ɤ', 'm', 'b', 'ɣ', 'o', 'm', 'S', 'm', 'ɤ', 'r', 'a', 'S', 'm', 'a', 'S', 'a', 'ʑ', 'o', 'S', 'a', 'β', 'l', 'u', 'S', 't', 'u', 'S', 't', 'o', 't', 'i']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'i', 'ɕ', 'q', 'h', 'a', 'S', 't', 'ɤ', 'r', 't', 'e', 'S', 'ɯ', 'k', 'ɯ', 'n', 'ɤ', 'r', 't', 'e', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'w', 'o', 'S', 'm', 'ɤ', 'ʁ', 'd', 'ɯ', 'ɣ', 'S', 'm', 'a', 'n', 'ɯ', 't', 'ɯ', 'S', 'm', 'a', 'n', 'ɯ', 't', 'ɯ', 'n', 'ɯ', 'z', 'd', 'ɯ', 'ɣ', 'S', 'n', 'ɯ', 'S', 'k', 'ɤ', 'm', 'b', 'ɣ', 'o', '*', 'S', 'm', 'ɤ', 'r', 'a', 'S', 'm', 'a', 'S', 'a', 'ʑ', 'o', 'S', 'a', 'β', 'l', 'u', 'S', 't', 'u', 'S', 't', 'o', 't', 'i']	0.958	0.959	0.957
ɯŋgɯ lɤɣi jɤɣ ma sɤcɯ mɤalɤt nɯra toti 	ɯŋgɯ lɤɣi jɤɣ ma sɤcɯ malɤt nɯra toti	['ɯ', 'ŋ', 'g', 'ɯ', 'S', 'l', 'ɤ', 'ɣ', 'i', 'S', 'j', 'ɤ', 'ɣ', 'S', 'm', 'a', 'S', 's', 'ɤ', 'c', 'ɯ', 'S', 'm', 'ɤ', 'a', 'l', 'ɤ', 't', 'S', 'n', 'ɯ', 'r', 'a', 'S', 't', 'o', 't', 'i', 'S']	['ɯ', 'ŋ', 'g', 'ɯ', 'S', 'l', 'ɤ', 'ɣ', 'i', 'S', 'j', 'ɤ', 'ɣ', 'S', 'm', 'a', 'S', 's', 'ɤ', 'c', 'ɯ', 'S', 'm', '*', 'a', 'l', 'ɤ', 't', 'S', 'n', 'ɯ', 'r', 'a', 'S', 't', 'o', 't', 'i', '*']	0.935	0.944	0.982
ɯβri chɤmar rcanɯ tɕendɤre 	ɯβri chɤma rcanɯ tɕendɤre	['ɯ', 'β', 'r', 'i', 'S', 'c', 'h', 'ɤ', 'm', 'a', 'r', 'S', 'r', 'c', 'a', 'n', 'ɯ', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S']	['ɯ', 'β', 'r', 'i', 'S', 'c', 'h', 'ɤ', 'm', 'a', '*', 'S', 'r', 'c', 'a', 'n', 'ɯ', 'S', 't', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', '*']	0.92	0.938	0.969
